Question	Which human organ system exchanges gases with the environment?	question
Answer	respiratory	answer
0	the respiratory system is a kind of human; organ; body system	gold
1	the lungs are a part of the body of an animal used for breathing air	nongold
2	the lungs are a part of the respiratory system	gold
3	blood absorbs oxygen in the lungs	nongold
4	the respiratory system takes in oxygen from the air	gold
5	breathing  is when a lung converts from oxygen in air into oxygen in blood	nongold
6	the absorption of oxygen through the blood occurs in the lungs	nongold
7	a lung is a kind of organ for breathing air	nongold
8	air is a part of the environment	nongold
9	organ system means body system	nongold
10	blood is a vehicle for carrying oxygen from the lungs to the cells; rest of the body	nongold
11	oxygen is a kind of gas at room temperature	gold
12	the respiratory system performs respiration	nongold
13	gaseous means of gas	nongold
14	air is a kind of gas	nongold
15	breathing in is when animals inhale air into their lungs	nongold
16	breathing is a kind of  function	nongold
17	the mouth is a part of the respiratory system	nongold
18	transferring is similar to supplying	nongold
19	all animals breathe	nongold
20	exhaling  is when an animal expels air from the lungs	nongold
21	a human is a kind of animal	gold
22	breathing is a kind of process	nongold
23	the respiratory system transfers oxygen to the circulatory system	nongold
24	to convert means to exchange	nongold
25	the circulatory system absorbs; carries food; substances; oxygen from the digestive and respiratory systems to the rest of the body	nongold
26	oxygenated means having oxygen	nongold
27	breathing is when animals convert oxygen into carbon dioxide	nongold
28	atmosphere means  air	gold
29	the stomach is a kind of organ	nongold
30	gas is a kind of substance	nongold
31	human is a kind of organism	nongold
32	to breathe in means to absorb air	nongold
33	an animal; bacterium requires oxygen for survival; to breathe	nongold
34	breath contains water vapor	nongold
35	the digestive system is a kind of body; organ system	nongold
36	the digestive system is a kind of body; human system	nongold
37	bringing oxygen to the body is a kind of function	nongold
38	internal organs are a part of the body	nongold
39	the diaphragm is a part of the respiratory system	nongold
40	the nervous system is a kind of body; organ system	nongold
41	to transfer is similar to transport	nongold
42	to conduct is similar to to transfer	nongold
43	lungs are used for breathing air by land animals; birds	nongold
44	convert is similar to transfer	nongold
45	if something transfers something else then that something is a source of something else	nongold
46	carbon dioxide is a kind of gas	gold
47	breathing out is when animals exhale carbon dioxide from their lungs into the air	gold
48	transfer is a kind of process	nongold
49	organisms are a part of an environment	nongold
50	the nose is a part of the respiratory system	nongold
51	the atmosphere contains gases; liquids; solids	nongold
52	transferring is similar to giving	nongold
53	the body is a part of an organism	nongold
54	person is synonymous with human	nongold
55	carbon dioxide can be found in the air	nongold
56	the air is a kind of substance	nongold
57	a body system is a part of the body; an animal	nongold
58	oxygen gas is made of only  oxygen element	nongold
59	transferring is similar to adding	nongold
60	gas is a kind of material	nongold
61	an animal is a kind of organism	nongold
62	to send means to transfer	nongold
63	the small intestine is a kind of organ	nongold
64	the integumentary system is a kind of body; organ system	nongold
65	the endocrine system is a kind of body; organ system	nongold
66	taking in and releasing means exchanging	gold
67	to exhale means to release	gold
68	a source of something emits; produces; generates; provides that something	nongold
69	a heart is a kind of organ	nongold
70	the circulatory system brings oxygen from the lungs to the rest of the body	nongold
71	the air is a kind of mixture	nongold
72	O2 means oxygen	nongold
73	an animal requires air for survival	nongold
74	to emit means to release	nongold
75	organisms mean life	nongold
76	hydrogen is a kind of gas at room temperature	nongold
77	water is made of hydrogen and oxygen	nongold
78	to flow is similar to to transfer	nongold
79	an animal is a kind of living thing	nongold
80	the excretory system is a kind of body system	nongold
81	take in oxygen means get oxygen into the blood	nongold
82	life means living things	nongold
83	an environment means an area	nongold
84	an event is a kind of action	nongold
85	air is a kind of matter	nongold
86	the function of something is what that something  is used to do	nongold
87	an organism is a living thing	nongold
88	the stomach is a part of the  digestive system	nongold
89	swallowing  is when the esophagus carries; transports food from the mouth to the stomach	nongold
90	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
91	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
92	the  chemical symbol for oxygen is O	nongold
93	emit means produce	nongold
94	affected means changed	nongold
95	water contains dissolved oxygen	nongold
96	conducting is similar to exchanging	nongold
97	a  gas is a kind of  element	nongold
98	nitrogen is a kind of gas	nongold
99	organs are a smaller level of organization than organ systems in living things	nongold
