Question	When a light bulb is turned on, energy changes from one form to another. Which of the following best describes this change?	question
Answer	electrical energy to light energy	answer
0	a light bulb converts electrical energy; electricity into light energy; light energy and heat energy when it is turned on	nongold
1	some light bulbs convert electrical energy; electricity into light energy and heat energy	gold
2	a light bulb is a kind of electrical device	nongold
3	a light bulb is a part of a  lamp	nongold
4	a light bulb requires electrical energy to produce light	nongold
5	the properties of something are used for describing that something	nongold
6	form means kind	nongold
7	state means form	nongold
8	light bulb means lightbulb	nongold
9	a light bulb generates visible light when it is turned on	nongold
10	electrical energy is a kind of energy	nongold
11	light is a kind of energy	nongold
12	light is a kind of energy	nongold
13	light means light energy	gold
14	an incandescent light bulb converts electrical energy; electricity into light energy and heat energy by sending electricity through a filament	nongold
15	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
16	when electricity flows to a light bulb , the light bulb will turn on; come on	nongold
17	to convert means to change	gold
18	energy transformation means one kind of energy changes into another kind of energy	nongold
19	electricity means electrical energy	gold
20	to turn means to convert	nongold
21	forming something is a kind of change	nongold
22	forming is similar to converting	nongold
23	to change into means to form	nongold
24	to turn means to change	nongold
25	an increase is a kind of change	nongold
26	can be means able to be	nongold
27	to transform means to convert	nongold
28	a light bulb is used for seeing in the dark	nongold
29	phase means state	nongold
30	heat is a kind of energy	nongold
31	objects are made of materials; substances; matter	nongold
32	a source of something emits; produces; generates; provides that something	nongold
33	the heat energy produced by the light bulb is not used	nongold
34	sunlight is a kind of light	nongold
35	substances are made of matter	nongold
36	a light bulb is a kind of tool for seeing in the dark	nongold
37	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
38	materials are made of matter	nongold
39	convert is similar to transfer	nongold
40	variable means able to change	nongold
41	to add means to increase	nongold
42	to change means to cause a change	nongold
43	solid is a kind of state of matter	nongold
44	turns is similar to changes	nongold
45	turning on is a kind of process	nongold
46	light is a kind of wave	nongold
47	structure is a property of an object; a material; a substance	nongold
48	heat energy can change the state of matter	nongold
49	affected means changed	nongold
50	to make means to form	nongold
51	if the component of something changed , then the whole thing will change	nongold
52	gas is a kind of state of matter	nongold
53	to be made of something means to be formed of that something	nongold
54	measuring is used for describing an object	nongold
55	matter; materials; substances are made of atoms; particles	nongold
56	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
57	electricity is used as an energy source by electrical devices	nongold
58	a device is a kind of object	nongold
59	transfer is a kind of change	nongold
60	formation of a state of matter is a kind of process	nongold
61	material means substance	nongold
62	UV light is a kind of light	nongold
63	something's function can be used to describe; identify that something	nongold
64	heat means heat energy	nongold
65	energy conversion is similar to energy transformation	nongold
66	to be formed by is similar to being produced by	nongold
67	liquid is a kind of state of matter	nongold
68	converting is similar to producing	nongold
69	converting is similar to turning into	nongold
70	to form means to create	nongold
71	high is similar to increase	nongold
72	an electrical device requires electricity to turn on	nongold
73	composed of means made of	nongold
74	to conduct is similar to to transfer	nongold
75	composition is a property of an object; matter	nongold
76	to change means to have an effect	nongold
77	information is used to describe something	nongold
78	temperature is a measure of heat energy	nongold
79	a decrease is a kind of change	nongold
80	form is similar to body	nongold
81	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
82	state of matter means physical state	nongold
83	physical state means state of matter	nongold
84	to modify means to change	nongold
85	change is a kind of process	nongold
86	adding something is a kind of change	nongold
87	to generate means to form	nongold
88	particles in objects are a kind of matter	nongold
89	conductivity is a property of a material; substance	nongold
90	electric devices require electrical energy to function	nongold
91	to give off means to be the source of	nongold
92	the properties of something can be used to identify; used to describe that something	nongold
93	products are formed; are produced; are created	nongold
94	electricity is made of moving charges; moving charged particles	nongold
95	becoming is similar to changing	nongold
96	chemical energy is a kind of energy	nongold
97	reducing is a kind of change	nongold
98	evaporating is a kind of phase change	nongold
99	a type is synonymous with a kind	nongold
