Question	The invention of the telescope allowed which of the following to take place?	question
Answer	detailed observation of planets	answer
0	inventing a tool allows; enables that tool to be used	gold
1	detailed observation of celestial objects requires a telescope	gold
2	take place means happen	nongold
3	a telescope is used for observing stars;planets;moons;distant objects; the sky; celestial objects by astronomers	nongold
4	an invention is a kind of tool	nongold
5	a planet is a kind of celestial object; body	gold
6	to enable means to allow	nongold
7	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
8	a planet is a kind of place	nongold
9	a telescope is a kind of optical instrument for observing celestial objects; observing the sky	gold
10	astronomy is the study of celestial (objects, bodies)	nongold
11	to be used for is similar to allowing	nongold
12	instrument means tool	gold
13	to make means to invent	nongold
14	Earth is a kind of planet	nongold
15	Galileo Galilei made improvements to the telescope to make better observations of celestial bodies	nongold
16	if something is required for something else then that something allows that something else	nongold
17	instrument means device	nongold
18	to enable is similar to cause	nongold
19	a planet is a kind of location	nongold
20	scientists make observations	nongold
21	a vehicle for something allows; enables that something to occur	nongold
22	measuring is a kind of observing	nongold
23	an instrument is a piece of equipment	nongold
24	astronomical body means celestial body	nongold
25	to happen means to occur	nongold
26	astronomy is a kind of branch of science	nongold
27	answering questions requires information	nongold
28	to be used for something means to be required by that something	nongold
29	making discoveries requires observing	nongold
30	look at means observe	nongold
31	causing is similar to allowing	nongold
32	to make possible means to be required	nongold
33	an event is a kind of action	nongold
34	a process is a kind of event	nongold
35	a tool is a kind of object	nongold
36	measuring is used for describing an object	nongold
37	can be means able to be	nongold
38	a star is a kind of celestial object; celestial body	nongold
39	events occur at a specific place; at a specific time; with a specific frequency	nongold
40	planets reflect the light of the sun	nongold
41	studying is similar to observing	nongold
42	optical tools are used for observing materials up close; in greater detail	nongold
43	observe means see	nongold
44	Mars is a kind of planet	nongold
45	planets orbit stars	nongold
46	viewing means observing light	nongold
47	place is synonymous with location	nongold
48	calculation means measurement	nongold
49	work is a kind of place	nongold
50	humans usually develop inventions that they require	nongold
51	a human requires new information to invent things	nongold
52	place means space	nongold
53	device means tool	nongold
54	if an event is required for a process then that event must occur before that process can occur	nongold
55	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
56	a motion is a kind of event; action	nongold
57	a change is a kind of event	nongold
58	a part of a process means a stage in a process	nongold
59	to create means to make	nongold
60	to observe means to gather information	nongold
61	something that happens is a kind of event	nongold
62	a process usually requires all of the stages in that process	nongold
63	a lens is a part of a telescope	nongold
64	a type is synonymous with a kind	nongold
65	objects are made of materials; substances; matter	nongold
66	the function of something is what that something  is used to do	nongold
67	a source of something emits; produces; generates; provides that something	nongold
68	Jupiter is a kind of planet	nongold
69	a component means a part of	nongold
70	developing means creating; inventing	nongold
71	observations; data are a part of the results of an experiment	nongold
72	no longer means used to be	nongold
73	recording an observation sometimes requires measuring	nongold
74	to produce means to create	nongold
75	inspect; observe means examine	nongold
76	if a technology that is used to study something is still being developed then that something can not be discovered; studied	nongold
77	place means area	nongold
78	an object is made of its parts	nongold
79	scientific discoveries sometimes require specific technologies	nongold
80	to cause means to make	nongold
81	an increase is a kind of change	nongold
82	a component of something means a part of that something	nongold
83	the Sun is a kind of star	nongold
84	movements of celestial bodies are a kind of event	nongold
85	placing is a kind of action	nongold
86	composed of means made of	nongold
87	Saturn is a kind of planet	nongold
88	place; location is synonymous with position	nongold
89	technology is similar to tool	nongold
90	to make means to form	nongold
91	a scientist is a kind of human	nongold
92	if something causes a process then that something is required for that process	nongold
93	classifying is when one sorts something by kind; type	nongold
94	form means kind	nongold
95	a description sometimes provides information	nongold
96	process is similar to method	nongold
97	creating means making	nongold
98	a device is a kind of object	nongold
99	using an object often requires creating that object	nongold
