Question	From smallest to largest, the levels of organization in living things are	question
Answer	cells, tissues, organs, organ systems.	answer
0	greatest means largest; highest; most amount of something	nongold
1	organs are a smaller level of organization than organ systems in living things	gold
2	tissues are a smaller level of organization than organs in living things	gold
3	cells are a smaller level of organization than tissues in living things	gold
4	largest means greatest in size	nongold
5	the cell is the smallest unit of an organism that can perform all of the processes of life	nongold
6	organ system means body system	nongold
7	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
8	a living thing is made of cells	nongold
9	an organism is a living thing	nongold
10	life means living things	nongold
11	a cell is very small	nongold
12	a living thing is a kind of object	nongold
13	an animal is a kind of living thing	nongold
14	organizing is sorting something by their properties in order	nongold
15	organs are made of different types of  cellular tissues	nongold
16	shortest means least; smallest in length	nongold
17	the majority of is similar to largest	nongold
18	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
19	a body system is a part of the body; an animal	nongold
20	smaller means less; lower in size	nongold
21	organisms mean life	nongold
22	the body is a part of an organism	nongold
23	basic life functions occur in the cells of organisms	nongold
24	highest means largest; greatest; most in height	nongold
25	level is similar to amount; quantity	nongold
26	the cell is the most basic structural unit of life	nongold
27	small is the opposite of large	nongold
28	largest amount means most	nongold
29	an organ system is made of different parts of the body working together	nongold
30	what something is made of is a property of the organization or that something	nongold
31	cells are a part of the body	nongold
32	an animal cell is a kind of cell	nongold
33	larger means greater; higher; more; increase in size	nongold
34	all living things are made of cells according to the cell theory	nongold
35	larger; bigger is the opposite of smaller	gold
36	an animal is a kind of organism	nongold
37	system means a set of objects	nongold
38	living things carry out basic life functions	nongold
39	all living things have life cycles	nongold
40	living things perform biological processes	nongold
41	a body system is a kind of object	nongold
42	tissue is a kind of group of cells with a common structure that work together to perform a similar function	nongold
43	a cell is a kind of object	nongold
44	a structure of something is synonymous with a part of that something	nongold
45	to be made of means to consist of	nongold
46	a producer is a kind of living thing	nongold
47	live means to be alive	nongold
48	a component means a part of	nongold
49	a single-celled organism is a kind of living thing	nongold
50	the integumentary system is a kind of body; organ system	nongold
51	unit is similar to part	nongold
52	an part of an object is smaller than the entire object	nongold
53	a type is synonymous with a kind	nongold
54	biotic means living	nongold
55	a component of something means a part of that something	nongold
56	size; amount of space means volume	nongold
57	dying is the opposite of living; surviving	nongold
58	length is a part of size	nongold
59	answering questions requires information	nongold
60	a human cell is a kind of cell	nongold
61	a multicellular organism is a kind of living thing	nongold
62	a single-celled organism is a kind of organism	nongold
63	little means small	nongold
64	size is an extensive property	nongold
65	system is similar to structure	nongold
66	trait is synonymous with characteristic	nongold
67	a body cell means a somatic cell	nongold
68	form means kind	nongold
69	internal organs are a part of the body	nongold
70	composed of means made of	nongold
71	can be means able to be	nongold
72	lowest means least in value; amount; number	nongold
73	an animal; living thing requires nutrients for survival	nongold
74	the stomach is a kind of organ	nongold
75	a brain is a kind of internal organ	nongold
76	structure is a property of an object; a material; a substance	nongold
77	an object is made of its parts	nongold
78	living things can all reproduce	nongold
79	a whole is formed by its parts	nongold
80	living things eat their food source	nongold
81	a single-cell organism cannot specialize	nongold
82	the number of parts of something is a property of that something	nongold
83	a food contains nutrients for living things	nongold
84	to belong to a class means to be a kind of something	nongold
85	variable means able to change	nongold
86	the neuron is the smallest functional unit; structural unit of the nervous system	nongold
87	affected means changed	nongold
88	made up of means contains; made of	nongold
89	the endocrine system is a kind of body; organ system	nongold
90	high is similar to increase	nongold
91	a single-celled organism's organelles are like the organs of a multi-celled organism	nongold
92	a brain is a part of an animal	nongold
93	classifying means grouping objects; materials by their properties	nongold
94	to be made of something means to be formed of that something	nongold
95	the size of an organism is an inherited characteristic	nongold
96	survive means live	nongold
97	survive means live	nongold
98	usually means most of the time	nongold
99	increasing is a kind of order	nongold
