Question	Humans cannot survive without clean, fresh water. Reservoirs of liquid water vary, but all water spends time as a gas in the atmosphere. What is the source of most of the water in the atmosphere?	question
Answer	oceans	answer
0	oceans are the source of most of water vapor in the atmosphere	gold
1	a water reservoir contains; stores water	nongold
2	humans require fresh water to survive	gold
3	a reservoir is a kind of body of water	nongold
4	organism requires liquid water to survive	nongold
5	an ocean is a kind of body of water	nongold
6	oceans contains most of  earth's water	gold
7	animals; living things require water for survival	nongold
8	liquid water is available  for organisms	nongold
9	most means over 50% of something	nongold
10	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	gold
11	a human is a kind of animal	nongold
12	water is a kind of liquid at room temperature	nongold
13	a source of something emits; produces; generates; provides that something	nongold
14	to vary means to change	nongold
15	the atmosphere contains gases; liquids; solids	nongold
16	survive means live	nongold
17	survive means live	nongold
18	an animal; bacterium requires oxygen for survival; to breathe	nongold
19	water is a kind of substance	nongold
20	a liquid is a kind of substance	nongold
21	sea means ocean	nongold
22	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
23	fresh water means freshwater	nongold
24	usually means most of the time	nongold
25	water is a part of an environment	nongold
26	the atmosphere is a part of nature; the environment	nongold
27	to provide something means to be the source of that something	nongold
28	gas is a kind of substance	nongold
29	an organism is a living thing	nongold
30	if something requires something else then that something requires a source of that something else	nongold
31	a body of water is a source of water	nongold
32	mostly means being the most	nongold
33	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
34	a plants; living things require water for survival; to grow	nongold
35	a supply of something is a source of that something	nongold
36	water contains dissolved oxygen	nongold
37	to depend on; to rely on; to need means to require	nongold
38	an animal is a kind of living thing	nongold
39	animals are a source of carbon dioxide by exhaling	nongold
40	requiring something means needing that something	nongold
41	if something comes from something else then that something else is a source of that something	nongold
42	a body of water contains water	nongold
43	atmosphere means  air	nongold
44	an animal; living thing requires nutrients for survival	nongold
45	an animal is a kind of organism	nongold
46	human is a kind of organism	nongold
47	temperature is a measure of heat energy	nongold
48	an object; material; substance comes from that object or material's source	nongold
49	where something  comes from is a source of that something	nongold
50	if something transfers something else then that something is a source of something else	nongold
51	if something releases something else then that something is the source of that something else	nongold
52	organisms are a part of an environment	nongold
53	dying is the opposite of living; surviving	nongold
54	oceans are located on Earth	nongold
55	nonliving; non-living; die is the opposite of living; alive; live	nongold
56	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
57	to be used for something means to be required by that something	nongold
58	atmospheric means of the atmosphere	nongold
59	heat means heat energy	nongold
60	largest amount means most	nongold
61	survival means to survive	nongold
62	high is similar to increase	nongold
63	requiring is similar to needing help	nongold
64	an increase is the opposite of a decrease	nongold
65	to give off means to be the source of	nongold
66	low is similar to decrease	nongold
67	an ocean is a kind of habitat	nongold
68	if something causes a process then that something is required for that process	nongold
69	releasing something into the atmosphere increases the amount of that something in the atmosphere	nongold
70	to lower means to decrease	nongold
71	death means to die	nongold
72	a body of water is a kind of environment	nongold
73	if something gains something from something else then that something else is a source of that something	nongold
74	water is a kind of matter	nongold
75	to vary means to differ	nongold
76	the ocean contains large amounts of salt water	nongold
77	life means living things	nongold
78	humans cause pollution	nongold
79	less is similar to decrease	nongold
80	to emit means to release	nongold
81	to add means to increase	nongold
82	something that contains water is similar to a body of water	nongold
83	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
84	an animal requires air for survival	nongold
85	water vapor is found in the atmosphere	nongold
86	if something is a source of something else then that something usually contains that something else	nongold
87	ocean animal is similar to water animal	nongold
88	to be filled with means to contain	nongold
89	gaseous means of gas	nongold
90	a liquid is a kind of fluid	nongold
91	oceans cover 70% of the surface of the earth	nongold
92	person is synonymous with human	nongold
93	to be a source of something means to cause that something	nongold
94	deplete is similar to decrease	nongold
95	a producer is a kind of living thing	nongold
96	to provide means to supply	nongold
97	moisture means liquid; liquid water	nongold
98	water is a kind of natural resource	nongold
99	water is a kind of natural resource	nongold
