Question	Burning coal and natural gas are ways to produce electricity. Both coal and natural gas are nonrenewable resources. Which is an example of producing electricity using a renewable source of energy?	question
Answer	heating a home with energy collected by solar panels	answer
0	a solar panel converts sunlight; solar energy into electrical energy; electricity	gold
1	An example of using natural gas is heating homes	nongold
2	coal is used to produce electricity by burning in coal-fire power stations	nongold
3	solar energy is a source of electricity	nongold
4	producing renewable electric energy requires renewable resources	nongold
5	solar panels are a kind of power supplies	nongold
6	producing electricity sometimes requires burning oil	nongold
7	using coal requires burning coal	nongold
8	natural gas is used for heating building by burning	nongold
9	natural gas is a source of heat by burning	nongold
10	natural gas is a nonrenewable resource	nongold
11	solar energy is a renewable; inexhaustible resource	gold
12	coal is a nonrenewable resource	nongold
13	the sun is the source of solar energy called sunlight	nongold
14	coal is used for generating heat by burning	nongold
15	solar power means solar energy	nongold
16	solar energy is a kind of energy	gold
17	solar energy is a kind of heat energy	nongold
18	coal is a kind of fossil fuel	nongold
19	electricity sometimes is used for heating buildings; substances	gold
20	fossil fuels are a nonrenewable resource	nongold
21	energy is used for heating a building by a heating system	nongold
22	sunlight is a kind of solar energy	gold
23	natural gas is a kind of fossil fuel	nongold
24	to be made of is similar to collection	nongold
25	natural gas is used for generating electricity by burning in a power plant	nongold
26	electricity means electrical energy	nongold
27	electricity is used as an energy source by electrical devices	nongold
28	coal is a kind of fuel	nongold
29	renewable is the opposite of nonrenewable	nongold
30	solar radiation means solar energy	nongold
31	an energy source is a kind of resource	gold
32	a source of something emits; produces; generates; provides that something	nongold
33	generate means produce	nongold
34	a solar panel is made of solar cells	nongold
35	sunlight means solar energy	nongold
36	heating means adding heat	nongold
37	a heating element converts electrical energy; electricity into heat energy for heating	nongold
38	a fossil fuel is a kind of natural resource	nongold
39	electrical energy is a kind of energy	nongold
40	natural gas is used for generating heat by burning in a furnace; in a stove	nongold
41	converting is similar to producing	gold
42	a renewable resource is a kind of natural resource	nongold
43	emit means produce	nongold
44	producing is a kind of process	nongold
45	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
46	a kind of something is an example of that something	nongold
47	fossil fuels are a kind of energy resource	nongold
48	solar energy is a kind of light	nongold
49	resources sometimes are used for energy	nongold
50	oil is used for producing electricity	nongold
51	a producer is a source of energy for consumers	nongold
52	a home is a kind of building	gold
53	to be used for something means to be required by that something	nongold
54	fuel is a kind of energy source	nongold
55	heat is a kind of energy	nongold
56	if something is powered by something else then that something requires a source of that something else	nongold
57	heat energy is synonymous with thermal energy	nongold
58	fire causes burning	nongold
59	to produce means to provide	nongold
60	sunlight produces heat	nongold
61	if something transfers something else then that something is a source of something else	nongold
62	consumption means use	nongold
63	fuel is a source of energy	nongold
64	both means two	nongold
65	the sun is a source of light; light energy called sunlight	nongold
66	heat means heat energy	nongold
67	producing is similar to releasing	nongold
68	solar energy is an inexhaustible resource	nongold
69	a house is a kind of home	nongold
70	if something causes an increase in something else then that something produces that something else	nongold
71	to power means to provide energy for	nongold
72	thermal energy is a kind of energy	nongold
73	if something requires something else then that something requires a source of that something else	nongold
74	wind is used for producing electricity	nongold
75	burning coal is a source of air pollution	nongold
76	a producer is a kind of living thing	nongold
77	the sun is a source of radiation; heat called sunlight	nongold
78	producing is a kind of function	nongold
79	a panel is a kind of object	nongold
80	solar cells convert solar energy into electrical energy	nongold
81	natural gas is used for cooking food by burning	nongold
82	to collect means to gather	nongold
83	burning is a kind of action	nongold
84	biofuel is used to produce electricity by burning	nongold
85	producing is similar to causing	nongold
86	fire gives off light; heat; smoke	nongold
87	collecting is similar to absorbing	nongold
88	generating power is a kind of positive impact	nongold
89	a homeowner is a kind of human	nongold
90	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
91	to provide something means to be the source of that something	nongold
92	combustion means fire converts chemical energy into light energy and heat energy	nongold
93	condensing is similar to collecting	nongold
94	the solar system is a kind of system	nongold
95	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
96	fire transfers heat through waves	nongold
97	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
98	oil is a nonrenewable resource	nongold
99	if something is a raw material in a process then that something is required for that process	nongold
