Question	In December, one side of Earth will receive less energy from the Sun than the other side. Which statement best explains this fact?	question
Answer	Earth is tilted on its axis.	answer
0	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	gold
1	the Earth rotates on its axis	nongold
2	Earth is a kind of planet	nongold
3	sunlight is a kind of solar energy	nongold
4	the Earth revolves around the sun	nongold
5	less is similar to decrease	nongold
6	the sun  is the source of energy for physical cycles on Earth	nongold
7	less means a reduced amount	nongold
8	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
9	the sun is a source of light; light energy called sunlight	nongold
10	sunlight means solar energy	nongold
11	December is during the winter in the northern hemisphere	nongold
12	the Sun is a kind of star	nongold
13	when a hemisphere is tilted away from the sun , that hemisphere receives less direct sunlight	nongold
14	when a hemisphere is tilted towards the sun , that hemisphere receives more direct sunlight	nongold
15	the sun is a source of radiation; heat called sunlight	nongold
16	receive means get	nongold
17	less is the opposite of more	nongold
18	sunlight is a kind of light	nongold
19	increase means more	nongold
20	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
21	December is a kind of month	nongold
22	inclined means sloping	nongold
23	an increase is the opposite of a decrease	nongold
24	the sun is the source of solar energy called sunlight	nongold
25	solar energy is a kind of energy	nongold
26	a planet is a kind of celestial object; body	nongold
27	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
28	when sunlight strikes something , that something receives sunlight	nongold
29	December is during the summer in the southern hemisphere	nongold
30	a star is a kind of celestial object; celestial body	nongold
31	solar energy is a kind of heat energy	nongold
32	the equator receives more sunlight than the poles on Earth	nongold
33	the tilt of Earth's axis causes certain latitudes of Earth to be heated at a greater rate	nongold
34	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
35	Earth's angle of tilt causes the length of day and night to vary	nongold
36	lower means less	nongold
37	the sun is the strongest source of gravity in the solar system	nongold
38	receiving sunlight  is synonymous with absorbing sunlight	nongold
39	to receive sunlight means to absorb sunlight	nongold
40	revolving is a kind of motion	nongold
41	lowering is a kind of motion	nongold
42	setting is a kind of motion	nongold
43	solar energy is a kind of light	nongold
44	closer means lower; less; a decrease in distance	nongold
45	rotate means turn	nongold
46	a source of something emits; produces; generates; provides that something	nongold
47	to lower means to decrease	nongold
48	an increase is a kind of change	nongold
49	high is similar to increase	nongold
50	best means most positive	nongold
51	rotation is a kind of motion	nongold
52	obtain is similar to receive	nongold
53	the sun is the source of energy for life on Earth	nongold
54	an object; material; substance comes from that object or material's source	nongold
55	a source of something increases the amount of that something	nongold
56	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
57	Earth is a planet that is closer to the  Sun than Jupiter	nongold
58	the Earth absorbs more energy than it loses	nongold
59	the sun rises in the east	nongold
60	the winter solstice is on December 21st in the northern hemisphere	nongold
61	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
62	moving changes position	nongold
63	a decrease is a kind of change	nongold
64	temperature is a measure of heat energy	nongold
65	if something is passed down to something else then that something else receives that something	nongold
66	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
67	Earth rotating on its axis occurs once per day	nongold
68	rising is a kind of motion	nongold
69	low means down	nongold
70	the Sun is the  star that is closest to Earth	nongold
71	the equator receives the most direct sunlight throughout the year	nongold
72	to add means to increase	nongold
73	diurnal motion is when  objects in the sky appear  to move due to Earth's rotation on its axis	nongold
74	low is similar to decrease	nongold
75	heat is a kind of energy	nongold
76	sunlight produces heat	nongold
77	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
78	heat means heat energy	nongold
79	a motion is a kind of event; action	nongold
80	if something comes from something else then that something else is a source of that something	nongold
81	as the amount of a source of something decreases , the amount of that something will decrease	nongold
82	the sun sets in the west	nongold
83	Earth is the planet that is third closest to the  Sun	nongold
84	Earth's rotation causes time zones	nongold
85	a rotation is a kind of movement	nongold
86	distance is a property of space and includes ordered values of close; far	nongold
87	length is a measure of distance from one end of an object to the other end of that object	nongold
88	north is the opposite of south	nongold
89	when one kind of energy changes into another kind of energy , the total amount of energy is constant	nongold
90	upward is the opposite of downward	nongold
91	flat means level	nongold
92	to reduce means to decrease	nongold
93	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
94	shift means move	nongold
95	greatest means largest; highest; most amount of something	nongold
96	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
97	as distance from a source of something increases , that something will decrease	nongold
98	to turn means to change	nongold
99	turning is a kind of motion	nongold
