Question	Coal was made from the remains of which ancient ecosystem?	question
Answer	green swamps	answer
0	fossil fuels; fossils are formed from dead organisms over time	nongold
1	a swamp is a kind of environment	gold
2	forming coal; fossil fuels requires decaying vegetation	nongold
3	a marsh is a kind of body of water	nongold
4	fossil means preserved remains of ancient organisms	nongold
5	peat is made of decaying vegetation compacted by soil in a swamp over a long period of time	gold
6	coal is a kind of fossil fuel	nongold
7	the formation of peat occurs at the bottom of swamps	gold
8	coal is a kind of fuel	nongold
9	remains mean parts of a dead organism	gold
10	coal is a kind of sedimentary rock	nongold
11	coal is a kind of rock	nongold
12	being buried under soil and mud changes dead vegetation; dead plant matter into peat through extreme heat and pressure in a swamp over a long period of time	gold
13	being buried under soil and mud changes peat into coal through extreme heat and pressure in a swamp over a long period of time	gold
14	fossil fuels; fossils forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
15	an ecosystem is a kind of habitat	nongold
16	a coal mine is a source of coal under the ground	nongold
17	remains is similar to dead organisms	nongold
18	coal is a kind of object	nongold
19	a wetland is a kind of ecosystem	nongold
20	a fossil fuel is a kind of natural resource	nongold
21	a swamp is a kind of land feature	nongold
22	natural gas is a kind of fossil fuel	nongold
23	an aquatic animal is a kind of animal	nongold
24	aquatic animals; plants live in bodies of water	nongold
25	coal; uranium is acquired by mining the lithosphere	nongold
26	petroleum is a kind of fossil fuel	nongold
27	an ecosystem contains a large community of; large numbers of living organisms	nongold
28	made up of means contains; made of	nongold
29	an environment is similar to an ecosystem	gold
30	sinkholes; caves are formed by precipitation; infiltration	nongold
31	natural gas is formed by heat and pressure acting on the remains of prehistoric animals	nongold
32	make means produce	nongold
33	coal is a nonrenewable resource	nongold
34	aquatic animal means water animal	nongold
35	a decomposer is a kind of living thing	nongold
36	preserved means from the past; from long ago	nongold
37	to decompose means to decay	nongold
38	the Earth contains many ecosystems	nongold
39	oil is a kind of fossil fuel	nongold
40	made of is similar to is built from	nongold
41	green plants are a kind of producer	nongold
42	ancient means a long time in the past	gold
43	to cause means to make	nongold
44	an environment means an area	nongold
45	organisms are a part of an environment	nongold
46	organisms mean life	nongold
47	coal is used for generating heat by burning	nongold
48	fossil fuel contains chemical energy	nongold
49	plants can be fossilized	nongold
50	burning coal is a source of air pollution	nongold
51	soil contains water; humus; weathered rocks; organic matter	nongold
52	a microorganism is a kind of decomposer	nongold
53	a plant is a kind of living thing	nongold
54	a plant is a kind of organism	gold
55	water is a part of an environment	nongold
56	to create means to make	nongold
57	where something  comes from is a source of that something	nongold
58	to be made of something means to be formed of that something	nongold
59	being buried under soil and mud changes dead plant matter; dead animal matter into oil; natural gas through extreme heat and pressure at the bottom of the sea over a long period of time	nongold
60	using coal requires burning coal	nongold
61	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past	nongold
62	to be formed by is similar to being produced by	nongold
63	an object; material; substance comes from that object or material's source	nongold
64	if something comes from something else then that something else is a source of that something	nongold
65	an organism is a living thing	nongold
66	a forest is a kind of ecosystem	nongold
67	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
68	soil is usually part of an environment	nongold
69	coal is used to produce electricity by burning in coal-fire power stations	nongold
70	composed of means made of	nongold
71	fossils are formed when layers of sediment cover the remains of organisms over time	nongold
72	a body of water is a kind of environment	nongold
73	freshwater is a kind of water	nongold
74	coal is black in color	nongold
75	an animal is a kind of organism	nongold
76	an animal is a kind of living thing	nongold
77	dead organisms decay	gold
78	if something is made of something; a material then that something contains that something; that material	nongold
79	dead plants means dead plant material	nongold
80	manufacture means make	nongold
81	to produce means to create	nongold
82	dead organisms are the source of nutrients for decomposers	nongold
83	emit means produce	nongold
84	mining changes an ecosystem	nongold
85	the formation of something is a kind of process	nongold
86	a source of something emits; produces; generates; provides that something	nongold
87	a worm is a kind of decomposer	nongold
88	production is similar to making	nongold
89	soil is made of very small rocks; minerals	nongold
90	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
91	a body of water contains water	nongold
92	soil is a kind of material	nongold
93	to contain means to have inside	nongold
94	dead organisms are a kind of waste	nongold
95	something that contains water is similar to a body of water	nongold
96	vegetation means plants	gold
97	burning coal is a kind of exothermic reaction	nongold
98	if fossils of an animal or plant are found in a place then that animal or plant used to live in that place	nongold
99	products are formed; are produced; are created	nongold
