Question	Which of the following changes occurs as a solid is heated?	question
Answer	The average molecular speed in the solid increases.	answer
0	as the heat of matter increases , the  average molecular speed in that matter increases	gold
1	as temperature increases , the speed of molecules will increase	nongold
2	temperature is a measure of heat energy	nongold
3	as the kinetic energy of a molecule increases , the temperature will increase	nongold
4	an increase is a kind of change	gold
5	heat means temperature increases	gold
6	temperature is a measure of kinetic energy of molecules	nongold
7	heat means heat energy	nongold
8	heating means adding heat	nongold
9	a decrease is a kind of change	nongold
10	solid is a kind of state of matter	gold
11	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
12	adding heat means increasing temperature	nongold
13	to add means to increase	nongold
14	liquid is a kind of state of matter	nongold
15	a molecule is a kind of particle	nongold
16	a solid is a kind of substance	nongold
17	rate is similar to speed	nongold
18	speed up means increase	nongold
19	to change means to cause a change	nongold
20	heat energy can change the state of matter	nongold
21	as the temperature of a substance increases , the molecules in that substance will move faster; farther apart	nongold
22	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
23	an increase is the opposite of a decrease	nongold
24	as the temperature of a substance; of an object decreases , the molecules in that substance will move slower; closer	nongold
25	a phase change is a kind of physical change	nongold
26	affected means changed	nongold
27	increase means more	nongold
28	a liquid is a kind of substance	nongold
29	chemical change is the opposite of physical change	nongold
30	faster means an increase; higher in speed	nongold
31	matter; materials; substances are made of atoms; particles	nongold
32	a source of something increases the amount of that something	nongold
33	high is similar to increase	nongold
34	variable means able to change	nongold
35	as the specific heat of a material decreases , the temperature of the material will increase given the same amount of energy	nongold
36	a pure substance is made of only one kind of atom; molecule	nongold
37	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
38	matter is made of molecules	nongold
39	the heat energy in the cooler object increases in thermal conduction	nongold
40	boiling is a kind of phase change	nongold
41	speed is a property of an object and includes values of slow; fast	nongold
42	boiling is when liquids are heated above their boiling point	nongold
43	substances are made of molecules	nongold
44	as the amount of heat energy of a substance; of an object increases , the amount of kinetic energy will increase	nongold
45	to happen means to occur	nongold
46	to slow; to slow down decreases speed	nongold
47	cooling means temperature decreases	nongold
48	speed is a measure of how fast an object is moving	nongold
49	a molecule is made of atoms chemically combined; bonded	nongold
50	heating is the opposite of cooling	nongold
51	when a cooler object touches a warmer object , thermal conduction occurs	nongold
52	evaporating is a kind of phase change	nongold
53	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
54	heat means the transfer of thermal energy	nongold
55	to reduce means to decrease	nongold
56	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
57	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
58	a molecule is a kind of object	nongold
59	if something emits something else then that something increases the amount of that something else	nongold
60	if the component of something changed , then the whole thing will change	nongold
61	to lower means to decrease	nongold
62	state of matter means physical state	nongold
63	change is a kind of impact	nongold
64	water is a kind of liquid at room temperature	nongold
65	melting is a kind of phase change	nongold
66	average is similar to usual	nongold
67	state of matter at room temperature is a kind of physical property	nongold
68	conductivity is a property of a material; substance	nongold
69	adding something is a kind of change	nongold
70	high speed means fast	nongold
71	as the temperature of a liquid increases , the rate of evaporation of that liquid will increase	nongold
72	as the  amount of heat energy of a substance; of an object decreases , the amount of kinetic energy will decrease	nongold
73	temperature changing can cause phase changes	nongold
74	an  element is a kind of atom	nongold
75	heat energy is synonymous with thermal energy	nongold
76	warm up means increase temperature	nongold
77	friction causes speed to decrease	nongold
78	an element is made of one kind of atoms	nongold
79	an atom is a kind of object	nongold
80	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
81	state of matter is a kind of physical property	nongold
82	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
83	a hot substance is a source of heat	nongold
84	as the temperature of a chemical reaction increases , the rate of the reaction will increase	nongold
85	an atom is the smallest particle; unit that has the properties of an element	nongold
86	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
87	thermal conduction is when heat flows from warmer object to cooler object	nongold
88	water is an thermal; thermal energy conductor	nongold
89	ability to undergo a phase change is a property of a substance; material	nongold
90	material means substance	nongold
91	reducing is a kind of change	nongold
92	a molecule is the smallest particle; unit that has the properties of a compound	nongold
93	as the speed of an object increases , the force that object exerts will increase	nongold
94	a change is a kind of event	nongold
95	movement is a kind of change	nongold
96	melting is when solids are heated above their melting point	nongold
97	a measure of time is a length of time	nongold
98	atoms are made of particles	nongold
99	condensing is when gasses are  cooled below their boiling point	nongold
