Question	To conserve the supply of nonrenewable resources, it is best to recycle	question
Answer	soda cans.	answer
0	to conserve means to not change	nongold
1	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	gold
2	a soda can is made of aluminum	gold
3	a nonrenewable resource is limited in supply	nongold
4	a can is a kind of container	nongold
5	to recycle means return	nongold
6	soda bottles are a kind of manufactured product	nongold
7	if a resource is limited in supply then that resource should be recycled	nongold
8	recyclable means a material can be recycled	nongold
9	recycling means reusing	nongold
10	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
11	aluminum is a nonrenewable resource	nongold
12	recycling has a  positive impact on the environment	nongold
13	to provide means to supply	nongold
14	recycling reduces the resources needed to make something	nongold
15	soft drink means soda	nongold
16	renewable is the opposite of nonrenewable	nongold
17	nonrenewable resources will eventually be depleted	nongold
18	soda water is a kind of carbonated beverage	nongold
19	metal is a nonrenewable resource	gold
20	discarding aluminum cans wastes aluminum	nongold
21	recycling is similar to reusing	nongold
22	soda is a kind of carbonated beverage	nongold
23	a container contains objects; material; substances	nongold
24	a can is a kind of object	nongold
25	recycling means using over again	nongold
26	a beverage is a kind of liquid	nongold
27	a supply of something is a source of that something	nongold
28	when available resources decrease in an environment , organisms have to conserve those resources	nongold
29	if use of a nonrenewable resources increases then the nonrenewable resource will be depleted	nongold
30	recycling is a kind of method of disposal	nongold
31	recycling is a kind of action	nongold
32	best means most positive	nongold
33	a beverage is a kind of food	nongold
34	trash is synonymous with waste	nongold
35	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
36	a jar is a kind of container	nongold
37	recycling reduces; decreases the amount of waste sent to landfills	nongold
38	a trashcan contains trash; garbage; waste	nongold
39	if a human discards an object then that object will become waste	nongold
40	a liquid is a kind of substance	nongold
41	a source of something supplies that something	nongold
42	a cup is a kind of drinking container	nongold
43	An example of recycling is using an object to make a new object	nongold
44	baking soda is a kind of solid	nongold
45	minerals are a nonrenewable resource	nongold
46	a material is a kind of resource	nongold
47	a container is a kind of object	nongold
48	aluminum is a kind of metal	gold
49	a bottle is a kind of container	nongold
50	the supply of an inexhaustible resource does not change over a long period of time	nongold
51	a carbonated beverage contains dissolved carbon dioxide	nongold
52	aluminum is recyclable	nongold
53	water is a kind of substance	nongold
54	a garbage can is a kind of container	nongold
55	answering questions requires information	nongold
56	contents means the substance in a container	nongold
57	waste has a  negative impact on the environment	nongold
58	if something is required then that something must be provided	nongold
59	reusing is similar to using many times	nongold
60	plastic is a nonrenewable resource	nongold
61	requiring something means needing that something	nongold
62	a solid is a kind of substance	nongold
63	water is a kind of liquid at room temperature	nongold
64	a source of something emits; produces; generates; provides that something	nongold
65	a bottle is a kind of object	nongold
66	deplete is similar to decrease	nongold
67	if a resource is limited in supply then that resource needs to be replaced	nongold
68	something reusable can be used more than once	nongold
69	metal is a kind of material	nongold
70	if a resource is limited in supply then that resource will run out	nongold
71	aluminum is a kind of element	nongold
72	renewable resources are replenished more quickly than they are used	nongold
73	waste must be removed	nongold
74	solution is similar to a positive impact	nongold
75	good means positive	nongold
76	harming something has a  negative impact on; effect on that something	nongold
77	to be used for something means to be required by that something	nongold
78	helping something has a  positive impact on that something	nongold
79	less is similar to decrease	nongold
80	a garbage can is made of metal	nongold
81	objects are made of materials; substances; matter	nongold
82	transferring is similar to supplying	nongold
83	mixing baking soda; water causes an explosion	nongold
84	replenish is similar to replace	nongold
85	a process is a kind of event	nongold
86	an increase is a kind of change	nongold
87	resources becoming available has a positive impact on the things that need those resources	nongold
88	an element is a kind of material	nongold
89	fossil fuels are a nonrenewable resource	nongold
90	to create means to make	nongold
91	if an object is made of a material then that object has the properties of that material	nongold
92	negative impact is the opposite of positive impact	nongold
93	replacing is similar to recycling	nongold
94	temperature is a measure of heat energy	nongold
95	an event is a kind of action	nongold
96	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
97	to provide something means to be the source of that something	nongold
98	an object; material; substance comes from that object or material's source	nongold
99	greatest means largest; highest; most amount of something	nongold
