Question	Which object refracts light?	question
Answer	glass prism	answer
0	a prism is used for refracting light	nongold
1	a prism refracts light	gold
2	a prism is made of glass	nongold
3	a prism is a kind of object	gold
4	a prism is a kind of tool for refracting light	nongold
5	glass; objects made of glass cause refraction of light	nongold
6	refraction is when light passes from one medium to another medium	nongold
7	glass is a kind of object	nongold
8	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
9	refraction is a property of light	nongold
10	glass is a kind of material	nongold
11	water causes refraction of light	nongold
12	sunlight is a kind of light	nongold
13	refraction is when light bends	nongold
14	refraction changes the length and the direction of light	nongold
15	refraction is a kind of process	nongold
16	glass is a kind of open container	nongold
17	refraction causes something to appear; to look different	nongold
18	glass is a kind of medium	nongold
19	a convex lens causes light to refract and concentrate to magnify distant objects	nongold
20	a source of something emits; produces; generates; provides that something	nongold
21	objects are made of materials; substances; matter	nongold
22	refracting sunlight; light causes sunlight; light to split into different colors	nongold
23	glass is a kind of solid at room temperature	nongold
24	refraction of light can split light into lights of different color	nongold
25	light is a kind of wave	nongold
26	if an object is made of a material then that object has the properties of that material	nongold
27	light is made of photons	nongold
28	light means light energy	nongold
29	to give off means to be the source of	nongold
30	emit means produce	nongold
31	visible light is a kind of  light	nongold
32	glass is recyclable	nongold
33	material means substance	nongold
34	UV light is a kind of light	nongold
35	can be means able to be	nongold
36	to be formed by is similar to being produced by	nongold
37	shiny things; objects reflect light	nongold
38	glass is a kind of product	nongold
39	an object has properties	nongold
40	to illuminate means to light up	nongold
41	form means kind	nongold
42	materials are made of matter	nongold
43	a rainbow is formed by refraction of light by separating light; splitting light into all different colors	nongold
44	converting is similar to producing	nongold
45	glass is made of sand	nongold
46	refractions of light can be used to help a person see	nongold
47	an object is made of its parts	nongold
48	matter; materials; substances are made of atoms; particles	nongold
49	structure is a property of an object; a material; a substance	nongold
50	to emit means to release	nongold
51	a container contains objects; material; substances	nongold
52	to convert means to change	nongold
53	to reflect light means to scatter light	nongold
54	a structure of something is synonymous with a part of that something	nongold
55	an part of an object is smaller than the entire object	nongold
56	composed of means made of	nongold
57	an object; material; substance comes from that object or material's source	nongold
58	a device is a kind of object	nongold
59	a type is synonymous with a kind	nongold
60	reflection is when light is reflected from one object; one place to  another object; another place	nongold
61	light is a kind of energy	nongold
62	light is a kind of energy	nongold
63	make means produce	nongold
64	if an object is in the light then that object is blocking the light	nongold
65	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
66	substances are made of matter	nongold
67	to turn means to convert	nongold
68	a container is a kind of object	nongold
69	sunlight contains infrared light	nongold
70	to disperse means to separate	nongold
71	a living thing is a kind of object	nongold
72	sunlight is a kind of solar energy	nongold
73	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
74	variable means able to change	nongold
75	the ability to refract is a property of waves	nongold
76	intense means high in intensity	nongold
77	affected means changed	nongold
78	to add means to increase	nongold
79	a component means a part of	nongold
80	a window is a kind of object	nongold
81	made of is similar to contains	nongold
82	if an object is translucent , then some light will scatter	nongold
83	reflecting light; sound is the opposite of absorbing light; sound	nongold
84	light is a kind of electromagnetic radiation	nongold
85	to transform means to convert	nongold
86	convert is similar to transfer	nongold
87	provide is similar to give; make	nongold
88	forming is similar to converting	nongold
89	to turn means to change	nongold
90	clear glass is transparent	nongold
91	high is similar to increase	nongold
92	to make means to form	nongold
93	causing is similar to generating	nongold
94	a tool is a kind of object	nongold
95	generate means produce	nongold
96	sunlight produces heat	nongold
97	a window is made of glass	nongold
98	size; amount of space means volume	nongold
99	to cause means to make	nongold
