Question	Why should plants be included in investigations about the water cycle?	question
Answer	Plants are part of the water cycle through the process of transpiration.	answer
0	transpiration is a kind of process of the water cycle	nongold
1	a cycle is a kind of process	nongold
2	investigating a stage of something means investigating that something	gold
3	investigating is a kind of process	nongold
4	evaporation is a stage in the water cycle process	gold
5	a part of a process means a stage in a process	gold
6	In the water cycle , transpiration always follows plant uptake	nongold
7	transpiration is when water vapor moves from plants;leaves into the atmosphere	gold
8	An example of a physical cycle is the water cycle	nongold
9	investigating the life cycle of a living thing requires that living thing to be alive	nongold
10	the water cycle occurs on Earth	nongold
11	infiltration is a stage in the water cycle process	nongold
12	evaporation is when water is drawn back up into the air in the water cycle	gold
13	In the water cycle , condensation always follows transpiration	nongold
14	water absorbs solar energy in the water cycle	nongold
15	investigating sometimes requires measuring	nongold
16	transpiration usually happens in the leaves of a plant	nongold
17	a cycle happens; occurs repeatedly	nongold
18	precipitation is a stage in the water cycle process	nongold
19	In the water cycle , plant uptake can follow collection in groundwater	nongold
20	In the water cycle , evaporation always follows collection in bodies of water	nongold
21	investigating requires gathering information	nongold
22	plants control the amount of water in their leaves through transpiration	nongold
23	In the water cycle , collection in groundwater always follows infiltration	nongold
24	investigation sometimes requires experimentation	nongold
25	runoff is a stage in the water cycle process	nongold
26	the nitrogen cycle is a cyclical process, with stages of nitrogen fixation, nitrification, assimilation, ammonification, denitrification	nongold
27	condensation is a stage in the water cycle process	nongold
28	to be involved in something means to have a role in something	nongold
29	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
30	a plant is a kind of organism	nongold
31	Earth's revolution is a kind of cycle	nongold
32	a step in a process means a stage in a process	nongold
33	examining is a kind of process	nongold
34	In the water cycle , infiltration can follow runoff	nongold
35	vegetation means plants	nongold
36	decomposition is a stage in the carbon cycle process	nongold
37	a process usually requires all of the stages in that process	nongold
38	studying is similar to investigating	nongold
39	a process is a kind of event	nongold
40	a component means a part of	nongold
41	a plant is a kind of living thing	nongold
42	plants are a part of the environment	nongold
43	In the water cycle , condensation always follows evaporation	nongold
44	a component of something means a part of that something	nongold
45	In the water cycle , transportation can follow condensation	nongold
46	water is a part of an environment	nongold
47	part means role	nongold
48	water is a kind of liquid at room temperature	nongold
49	In the water cycle , collection in bodies of water can follow runoff	nongold
50	a tree is a kind of plant	nongold
51	In the water cycle , melting snow; melting ice always follows collection as snow; collection as ice	nongold
52	organisms are a part of an environment	nongold
53	a plant is a member of a plant species	nongold
54	In the water cycle , precipitation always follows transportation	nongold
55	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
56	roots are a part of a plant; tree	nongold
57	green plants are a kind of producer	nongold
58	a role in the ecosystem is a role in the food chain process	nongold
59	In the water cycle , collection as snow; collection as ice can follow precipitation	nongold
60	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
61	a river is a kind of flowing body of water	nongold
62	making a valid conclusion in an investigation requires collecting relevant evidence	nongold
63	plant parts are made of plants	nongold
64	plants are a source of oxygen through photosynthesis	nongold
65	In the water cycle , precipitation can follow condensation	nongold
66	a body of water contains water	nongold
67	evaporation is a kind of process	nongold
68	to exhale means to release	nongold
69	the glaciers has the role of storing fresh water in the water cycle	nongold
70	an organism is a living thing	nongold
71	examining sometimes requires measuring	nongold
72	water is a kind of substance	nongold
73	making a valid conclusion in an investigation requires a testable hypothesis	nongold
74	if something performs a task then that task is that something's function	nongold
75	helping something has a  positive impact on that something	nongold
76	process is similar to method	nongold
77	a source of something emits; produces; generates; provides that something	nongold
78	In the water cycle , runoff always follows collection as snow; collection as ice	nongold
79	the function of something is what that something  is used to do	nongold
80	Charles Darwin studied plants; animals	nongold
81	a reaction is a kind of process	nongold
82	a plants; living things require water for survival; to grow	nongold
83	answering questions requires information	nongold
84	a plant is made of plant cells	nongold
85	an event is a kind of action	nongold
86	if something causes a process then that something is required for that process	nongold
87	water contains dissolved oxygen	nongold
88	inspect; observe means examine	nongold
89	a fungus is a kind of organism	nongold
90	In the food chain process a  green plant has the role of  producer	nongold
91	In the water cycle , runoff can follow precipitation	nongold
92	a leaf is a part of a  green plant	nongold
93	water is a kind of water phase	nongold
94	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
95	cellular respiration is a kind of process	nongold
96	change is a kind of process	nongold
97	scientists make observations	nongold
98	negative impact is the opposite of positive impact	nongold
99	if a technology that is used to study something is still being developed then that something can not be discovered; studied	nongold
