Question	Which is the best example a chemical change has occurred?	question
Answer	formation of a new substance	answer
0	chemical reactions cause new substances; different substances to form	gold
1	chemical reactions cause chemical change	gold
2	forming something is a kind of change	nongold
3	to cause the formation of means to form	nongold
4	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
5	chemical change is a kind of chemical reaction	nongold
6	to happen means to occur	nongold
7	chemicals means substances	nongold
8	to be made of something means to be formed of that something	nongold
9	the formation of something is a kind of process	nongold
10	a kind of something is an example of that something	nongold
11	formation of a state of matter is a kind of process	nongold
12	a change is a kind of event	nongold
13	An example of a chemical change is acid breaking down substances	nongold
14	if an object undergoes chemical change then that object will have new chemical properties	nongold
15	substances have chemical properties	nongold
16	to change means to cause a change	nongold
17	something that happens is a kind of event	nongold
18	form means kind	nongold
19	matter; materials; substances are made of atoms; particles	nongold
20	to make means to form	nongold
21	combining; mixing two substances chemically causes chemical reactions	nongold
22	combustion is a kind of chemical change	nongold
23	a process is a kind of event	nongold
24	to form means to create	nongold
25	to change into means to form	nongold
26	compound is a kind of chemical	nongold
27	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
28	forming is similar to converting	nongold
29	composed of means made of	nongold
30	if something is made of something else then the formation of that something requires that something else	nongold
31	chemical reaction means chemical bonds change	nongold
32	acid can cause chemical change	nongold
33	to be formed by is similar to being produced by	nongold
34	substances are made of matter	nongold
35	a chemical reaction is a kind of process	nongold
36	products are formed; are produced; are created	nongold
37	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
38	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
39	becoming is similar to forming	nongold
40	objects are made of materials; substances; matter	nongold
41	An example of a chemical change is electrical energy breaking down a compound	nongold
42	change is a kind of process	nongold
43	a compound is a kind of substance	nongold
44	gas is a kind of substance	nongold
45	breaking down is a kind of forming	nongold
46	reducing is a kind of change	nongold
47	events occur at a specific place; at a specific time; with a specific frequency	nongold
48	chemical change is the opposite of physical change	nongold
49	composition means the (materials, substances) of which something is composed	nongold
50	can be means able to be	nongold
51	to add means to increase	nongold
52	new means different from the former one	nongold
53	to give is similar to to cause	nongold
54	to cause an event is similar to being involved in that event	nongold
55	material means substance	nongold
56	an element is a kind of  substance	nongold
57	best means most positive	nongold
58	a reaction is a kind of process	nongold
59	an increase is a kind of change	nongold
60	a chemical compound is a kind of compound	nongold
61	most chemical reactions release or absorb heat energy	nongold
62	if something used to be in the past then that something  has changed	nongold
63	forming is a kind of action	nongold
64	no longer means used to be	nongold
65	a  gas is a kind of  element	nongold
66	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
67	to convert means to change	nongold
68	gaseous means of gas	nongold
69	a motion is a kind of event; action	nongold
70	if the component of something changed , then the whole thing will change	nongold
71	materials are made of matter	nongold
72	substances are made of molecules	nongold
73	to change means to have an effect	nongold
74	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
75	state means form	nongold
76	a liquid is a kind of substance	nongold
77	adding something is a kind of change	nongold
78	a compound is a kind of material	nongold
79	high is similar to increase	nongold
80	a compound can be chemically separated into the elements that it is made of	nongold
81	to cause means to make	nongold
82	chemical compounds contain chemical bonds between atoms; between elements	nongold
83	matter is made of molecules	nongold
84	gas is a kind of state of matter	nongold
85	affected means changed	nongold
86	to be formed by is to be the result of	nongold
87	event is similar to occurrence	nongold
88	to generate means to form	nongold
89	to turn means to change	nongold
90	composition is a property of an object; matter	nongold
91	to cause means to have an effect	nongold
92	to create means to make	nongold
93	liquid is a kind of state of matter	nongold
94	substances are made of elements	nongold
95	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
96	temperature is a measure of heat energy	nongold
97	a pure substance is made of only one kind of atom; molecule	nongold
98	made up of means contains; made of	nongold
99	vapor is synonymous with gas	nongold
