Question	What does a mirror do to light that causes objects to appear backwards?	question
Answer	reflects	answer
0	a mirror is used for reflecting light	nongold
1	a mirror reflects light	gold
2	a mirror is a kind of reflective object	gold
3	an image in a mirror is formed by reflecting light	nongold
4	shiny things; objects reflect light	nongold
5	reflection is a property of light	nongold
6	reflection is when light is reflected from one object; one place to  another object; another place	nongold
7	glass; objects made of glass cause refraction of light	nongold
8	a mirror has a shiny surface	nongold
9	to reflect light means to scatter light	nongold
10	refraction causes something to appear; to look different	nongold
11	how something  appears is how that something  looks	nongold
12	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
13	if an object reflects a light of a certain color then the object appears to be that color	nongold
14	appearing is similar to seeming	nongold
15	reflective obejcts cause objects to appear backwards	gold
16	objects are made of materials; substances; matter	nongold
17	reflection is when particles bounce off a surface	nongold
18	light is made of photons	nongold
19	sunlight is a kind of light	nongold
20	eyes are a part of a human for seeing	nongold
21	light is a kind of wave	nongold
22	glass is a kind of object	nongold
23	glass is a kind of material	nongold
24	if an object reflects light toward the eye then that object can be seen	nongold
25	eyes are usually part of an animal for seeing	nongold
26	appearance is a property of objects; materials	nongold
27	occur is similar to appear	nongold
28	to bounce back means to reflect	nongold
29	a surface is a part of an object	nongold
30	eyes are used for seeing by animals by sensing light	nongold
31	light reflecting off of an object causes that object to be visible to the observer	nongold
32	reflecting light; sound is the opposite of absorbing light; sound	nongold
33	light means light energy	nongold
34	to see means to look	nongold
35	a reflector is used to reflect light especially on vehicles	nongold
36	a white object reflects all visible light	nongold
37	to illuminate means to light up	nongold
38	a blue object reflects only blue light	nongold
39	a surface is a kind of object	nongold
40	if an object is blue then that object reflects only blue light	nongold
41	eyes can sense;detect light energy for seeing	nongold
42	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
43	refraction is a property of light	nongold
44	refraction is when light passes from one medium to another medium	nongold
45	the ability to reflect off of a surface is a kind of characteristic	nongold
46	reflection is a kind of process	nongold
47	a surface is a part of a material	nongold
48	if an object is white then that object reflects all visible light	nongold
49	a living thing is a kind of object	nongold
50	water causes refraction of light	nongold
51	seeing requires light	nongold
52	matter; materials; substances are made of atoms; particles	nongold
53	downward means down	nongold
54	glass is a kind of medium	nongold
55	a star is a kind of celestial object; celestial body	nongold
56	an animal is a kind of living thing	nongold
57	appearance  is a kind of physical property	nongold
58	brightness is a kind of property	nongold
59	the eyes are part of the head used for seeing	nongold
60	as lightness in color of an object increases , the ability of that object to reflect light will increase	nongold
61	phase means state	nongold
62	to be a source of something means to cause that something	nongold
63	materials are made of matter	nongold
64	an object has properties	nongold
65	substances are made of matter	nongold
66	can be means able to be	nongold
67	light is a kind of energy	nongold
68	light is a kind of energy	nongold
69	emit means produce	nongold
70	bouncing something back means reflecting that something	nongold
71	brightness is a property of a light source	nongold
72	refraction changes the length and the direction of light	nongold
73	if an object is made of a material then that object has the properties of that material	nongold
74	the function of something is what that something  is used to do	nongold
75	a human is a kind of animal	nongold
76	affected means changed	nongold
77	a source of something emits; produces; generates; provides that something	nongold
78	glass is a kind of solid at room temperature	nongold
79	appearance is sometimes a physical property	nongold
80	variable means able to change	nongold
81	person is synonymous with human	nongold
82	a wave is a kind of object	nongold
83	image means visual depiction of an object	nongold
84	seeing is used for sensing visual things	nongold
85	a glass contains water	nongold
86	to look like means to have the visual properties of	nongold
87	motion; movement means moving; to move	nongold
88	motion is when moves an object; something to a direction	nongold
89	an object is made of its parts	nongold
90	liquid is a kind of state of matter	nongold
91	high is similar to increase	nongold
92	color is a kind of physical; visual property	nongold
93	particles in objects are a kind of matter	nongold
94	form means kind	nongold
95	water is a kind of matter	nongold
96	an part of an object is smaller than the entire object	nongold
97	a photon is a kind of  particles	nongold
98	dark is the opposite of light	nongold
99	magnifying glass is used to see  small things by making objects appear bigger	nongold
