Question	Which of these describes a chemical change?	question
Answer	paper burning	answer
0	paper burns	gold
1	combustion is a kind of chemical change	nongold
2	paper is a kind of material	nongold
3	chemical reactions cause chemical change	gold
4	fire causes burning	gold
5	a paper is a kind of object	nongold
6	chemical change is a kind of chemical reaction	nongold
7	fire is a kind of chemical reaction	gold
8	the properties of something are used for describing that something	nongold
9	combustion means fire converts chemical energy into light energy and heat energy	nongold
10	to combust means to catch fire	nongold
11	a flame are a part of a fire	nongold
12	combustion is a kind of exergonic reaction	nongold
13	chemicals means substances	nongold
14	chemical reactions cause new substances; different substances to form	nongold
15	to change means to cause a change	nongold
16	acid can cause chemical change	nongold
17	a newspaper is made of paper	nongold
18	An example of a chemical change is acid breaking down substances	nongold
19	fire gives off light; heat; smoke	nongold
20	a change is a kind of event	nongold
21	a sheet of paper is a kind of object	nongold
22	gaseous means of gas	nongold
23	to give is similar to to cause	nongold
24	paper is recyclable	nongold
25	substances have chemical properties	nongold
26	a chemical reaction is a kind of process	nongold
27	wood burns	nongold
28	a burner is a kind of object; surface	nongold
29	burning is a kind of action	nongold
30	to cause means to make	nongold
31	An example of combustion is explosion	nongold
32	change is a kind of process	nongold
33	material means substance	nongold
34	rust forming is a kind of chemical change	nongold
35	to be formed by is similar to being produced by	nongold
36	chemical reaction means chemical bonds change	nongold
37	a process is a kind of event	nongold
38	lighting a match causes that match to burn	nongold
39	a reaction is a kind of process	nongold
40	measuring is used for describing an object	nongold
41	a lit candle converts chemical energy into light energy; heat energy	nongold
42	gas is a kind of substance	nongold
43	lighting a candle causes that candle to burn	nongold
44	form means kind	nongold
45	paper can  not be melted	nongold
46	to convert means to change	nongold
47	temperature is a measure of heat energy	nongold
48	a description sometimes provides information	nongold
49	burning wood is used to produce heat	nongold
50	chemical change is the opposite of physical change	nongold
51	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
52	most chemical reactions release or absorb heat energy	nongold
53	vapor is synonymous with gas	nongold
54	can be means able to be	nongold
55	information is used to describe something	nongold
56	adding heat to an object sometimes causes chemical reactions	nongold
57	a fire requires  oxygen to burn	nongold
58	paper cups are made of paper	nongold
59	heat means heat energy	nongold
60	reducing is a kind of change	nongold
61	gas is a kind of state of matter	nongold
62	affected means changed	nongold
63	if the component of something changed , then the whole thing will change	nongold
64	to modify means to change	nongold
65	to happen means to occur	nongold
66	a source of something emits; produces; generates; provides that something	nongold
67	a  gas is a kind of  element	nongold
68	trees are a source of paper	nongold
69	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
70	combining; mixing two substances chemically causes chemical reactions	nongold
71	variable means able to change	nongold
72	to turn means to change	nongold
73	fire transfers heat through waves	nongold
74	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
75	something's function can be used to describe; identify that something	nongold
76	if an object undergoes chemical change then that object will have new chemical properties	nongold
77	combustion is a kind of exothermic reaction	nongold
78	gas is a kind of material	nongold
79	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
80	an acid changes the color of litmus paper from blue to red	nongold
81	An example of a chemical property is how a material reacts chemically	nongold
82	a candle is a kind of object	nongold
83	a burner is a part of a  stove	nongold
84	to change means to have an effect	nongold
85	paper is flexible	nongold
86	something that happens is a kind of event	nongold
87	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
88	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
89	boiling is a kind of phase change	nongold
90	putting out a fire stops the burning of that fire	nongold
91	to cause an event is similar to being involved in that event	nongold
92	the properties of something can be used to identify; used to describe that something	nongold
93	phase means state	nongold
94	to add means to increase	nongold
95	adding something is a kind of change	nongold
96	a burner is made of metal	nongold
97	an increase is a kind of change	nongold
98	to cause means to have an effect	nongold
99	a liquid is a kind of substance	nongold
