Question	A group of students found metamorphic rocks near a campsite. The presence of metamorphic rocks is most likely evidence of	question
Answer	high pressure	answer
0	metamorphic is a kind of rock	nongold
1	metamorphic rock is a kind of rock	nongold
2	extreme heat and pressure change; metamorphose rock into metamorphic rock	gold
3	near means close	nongold
4	near means local	nongold
5	water pressure is a kind of pressure	nongold
6	extreme means very high in value	gold
7	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
8	if something is located in some place , then the presence of that something can be found in that location	nongold
9	usually something can be found  near a source in greater concentrations	nongold
10	pressure is a kind of condition	nongold
11	intense means extreme	nongold
12	a student is a kind of human	nongold
13	high is similar to increase	nongold
14	high pressure systems cause clear weather	nongold
15	low is similar to decrease	nongold
16	metamorphosed rock is a kind of rock	nongold
17	a camper is a kind of human	nongold
18	gas flows from high pressure area to low pressure area	nongold
19	near; close is the opposite of far; away	nongold
20	found in means existing in	nongold
21	a rock is a kind of object	nongold
22	if something does not move then that something can be found in the same location	nongold
23	intense means high in intensity	nongold
24	extreme heat and pressure is present in Earth's crust	nongold
25	often is similar to likely	nongold
26	a sign of something is evidence of that something	nongold
27	to lower means to decrease	nongold
28	a part of something is present in that something	nongold
29	high means a lot of something	nongold
30	air pressure is a property of air; the atmosphere	nongold
31	low means down	nongold
32	if something is a part of something then that something can be found in that something	nongold
33	a result of something is evidence of that something	nongold
34	cold  air is usually high in air pressure	nongold
35	low is the opposite of high	nongold
36	strong means high in strength	nongold
37	increase means more	nongold
38	to reduce means to decrease	nongold
39	attracting something to a location causes that something  to be near that location	nongold
40	rock is a kind of material	nongold
41	hot means high in heat energy; temperature	nongold
42	an increase is the opposite of a decrease	nongold
43	if something required by something else is in a place then that something else may be in that place	nongold
44	answering questions requires information	nongold
45	as rocks are buried deeper below other rocks , the pressure; heat on that rock will increase	nongold
46	low means low in elevation; height; altitude	nongold
47	to be found in means to be contained in	nongold
48	weak means low in strength	nongold
49	greater means higher; more in value	nongold
50	gneiss is a kind of metamorphic rock	nongold
51	higher means greater; above in value; amount; number	nongold
52	an environment means an area	nongold
53	a quartzite is a kind of metamorphic rock	nongold
54	igneous is a kind of rock	nongold
55	cloudy conditions cause a low-pressure weather system	nongold
56	low pressure systems cause precipitation	nongold
57	as altitude increases , air pressure will decrease	nongold
58	to belong to a group means to be a kind of something	nongold
59	an environment is a kind of place	nongold
60	a source of something increases the amount of that something	nongold
61	if something is located  in somewhere , then something can be found in somewhere	nongold
62	an increase is a kind of change	nongold
63	due to means caused by	nongold
64	close means low in distance	nongold
65	to slow; to slow down decreases speed	nongold
66	surroundings means environment	nongold
67	temperature is a measure of heat energy	nongold
68	metamorphosis is a kind of process	nongold
69	warm air is  usually low  in air pressure	nongold
70	to give off means to be the source of	nongold
71	a landform is a kind of object	nongold
72	closer means lower; less; a decrease in distance	nongold
73	event is similar to occurrence	nongold
74	a living thing is a kind of object	nongold
75	being around something means surrounding  that something	nongold
76	as temperature decreases , the air pressure will decrease	nongold
77	greatest means largest; highest; most amount of something	nongold
78	objects in an environment are a part of that environment	nongold
79	variable means able to change	nongold
80	compression is a kind of stress	nongold
81	affected means changed	nongold
82	an event is a kind of action	nongold
83	a decrease is a kind of change	nongold
84	a human is a kind of animal	nongold
85	as the cause of something decreases , that something will decrease	nongold
86	less is similar to decrease	nongold
87	material means substance	nongold
88	as an object descends into water , the pressure on that object will increase	nongold
89	events occur at a specific place; at a specific time; with a specific frequency	nongold
90	impact means effect	nongold
91	to impact means to affect	nongold
92	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
93	schist is a kind of metamorphic rock	nongold
94	to cause an event is similar to being involved in that event	nongold
95	air pressure affects wind speed	nongold
96	to give is similar to to cause	nongold
97	contains means located in	nongold
98	area is similar to location	nongold
99	to be a source of something means to cause that something	nongold
