Question	Scientists estimate that Maryland contains more than 850 million tons of coal. Coal is most commonly used to produce ___.	question
Answer	electricity	answer
0	coal is used to produce electricity by burning in coal-fire power stations	gold
1	coal is a kind of fossil fuel	nongold
2	oil is used for producing electricity	nongold
3	Maryland is a kind of region	nongold
4	coal is used for generating heat by burning	nongold
5	emit means produce	nongold
6	a source of something emits; produces; generates; provides that something	nongold
7	to produce means to provide	nongold
8	Maryland is a state located in the United States of America	nongold
9	electricity sometimes is used for heating buildings; substances	nongold
10	electricity means electrical energy	nongold
11	biofuel is used to produce electricity by burning	nongold
12	coal is a kind of fuel	nongold
13	producing is a kind of process	nongold
14	coal is a nonrenewable resource	nongold
15	producing electricity sometimes requires burning oil	nongold
16	generate means produce	nongold
17	producing renewable electric energy requires renewable resources	nongold
18	natural gas is used for generating electricity by burning in a power plant	nongold
19	a fossil fuel is a kind of natural resource	nongold
20	electricity is used as an energy source by electrical devices	nongold
21	processes sometimes produce waste products	nongold
22	if something is powered by something else then that something requires a source of that something else	nongold
23	wind is used for producing electricity	nongold
24	coal is a kind of rock	nongold
25	a scientist is a kind of human	nongold
26	fossil fuel contains chemical energy	nongold
27	if something is a source of something else then that something usually contains that something else	nongold
28	to be used for something means to be required by that something	nongold
29	make means produce	nongold
30	if something is a raw material in a process then that something is required for that process	nongold
31	using coal requires burning coal	nongold
32	a coal mine is a source of coal under the ground	nongold
33	converting is similar to producing	nongold
34	natural gas is a kind of fossil fuel	nongold
35	fossil fuels are a nonrenewable resource	nongold
36	most means over 50% of something	nongold
37	made up of means contains; made of	nongold
38	a power plant converts chemical energy from energy source into electricity	nongold
39	a billion is a kind of  number	nongold
40	coal; uranium is acquired by mining the lithosphere	nongold
41	natural gas is a nonrenewable resource	nongold
42	if something is a part of something else then that something else contains that something	nongold
43	a producer is a source of energy for consumers	nongold
44	coal is a kind of object	nongold
45	tidal energy can be used to produce electricity	nongold
46	fossil fuels are a kind of energy resource	nongold
47	to contain something means to have that something	nongold
48	to power means to provide energy for	nongold
49	if something causes an increase in something else then that something produces that something else	nongold
50	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
51	largest amount means most	nongold
52	if something transfers something else then that something is a source of something else	nongold
53	an electric outlet is a source of electricity	nongold
54	producing is a kind of function	nongold
55	burning coal is a source of air pollution	nongold
56	to be found in means to be contained in	nongold
57	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
58	made of is similar to contains	nongold
59	a complete electrical circuit is a source of  electrical energy	nongold
60	electrical current means electrical energy	nongold
61	producing is similar to releasing	nongold
62	to provide something means to be the source of that something	nongold
63	if something is a raw material then that something comes directly from a source	nongold
64	to produce means to create	nongold
65	if something is made of something; a material then that something contains that something; that material	nongold
66	if something contains something , then something is able to provide something	nongold
67	forming coal; fossil fuels requires decaying vegetation	nongold
68	solar energy is a source of electricity	nongold
69	metal is an  electrical; electrical energy conductor	nongold
70	operating electrical appliances requires electricity	nongold
71	oil is a nonrenewable resource	nongold
72	if something requires something else then that something requires a source of that something else	nongold
73	hydropower is when falling water produces electricity	nongold
74	oil is a kind of fossil fuel	nongold
75	answering questions requires information	nongold
76	contains means located in	nongold
77	electrical energy is a kind of energy	nongold
78	a battery is a source of electrical energy; electricity	nongold
79	power station means power plant	nongold
80	if something comes from something else then that something else is a source of that something	nongold
81	to contribute is similar to produce	nongold
82	An electrical conductor is a vehicle for the flow of electricity	nongold
83	production is similar to making	nongold
84	quantity means amount	nongold
85	automobiles; industrialization are a source of carbon dioxide	nongold
86	electricity is made of moving charges; moving charged particles	nongold
87	being buried under soil and mud changes peat into coal through extreme heat and pressure in a swamp over a long period of time	nongold
88	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
89	electrocution causes harm to an organism	nongold
90	contain is similar to store	nongold
91	if something releases something else then that something is the source of that something else	nongold
92	petroleum is a kind of fossil fuel	nongold
93	to contain means to have inside	nongold
94	a renewable resource is a kind of natural resource	nongold
95	renewable is the opposite of nonrenewable	nongold
96	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
97	a supply of something is a source of that something	nongold
98	the function of something is what that something  is used to do	nongold
99	using moving water to produce electricity may disrupt local ecosystems	nongold
