Question	The fossils that are found in the oldest layers of sedimentary rock were formed which types of organisms?	question
Answer	only organisms that lived in the sea	answer
0	only fossils formed from organisms that lived in the sea are found in the oldest layers of sedimentary rock	gold
1	nearly all fossils are found in sedimentary rock	nongold
2	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past	nongold
3	a type is synonymous with a kind	nongold
4	a deep sea animal is a kind of marine organism	nongold
5	fossils are formed when layers of sediment cover the remains of organisms over time	nongold
6	sedimentary is a kind of rock	nongold
7	if fossils of an animal or plant are found in a place then that animal or plant used to live in that place	nongold
8	an aquatic animal is a kind of animal	nongold
9	if something is a part of something then that something can be found in that something	nongold
10	found in means existing in	nongold
11	an ocean is a kind of body of water	nongold
12	fossil means preserved remains of ancient organisms	nongold
13	an animal is a kind of organism	nongold
14	sea means ocean	nongold
15	life means living things	nongold
16	an organism is a living thing	nongold
17	aquatic animal means water animal	nongold
18	sedimentary rocks are formed by deposition; cementation	nongold
19	organisms lived in the water when they first appeared on Earth	nongold
20	an animal is a kind of living thing	nongold
21	a body of water is a kind of environment	nongold
22	aquatic animals; plants live in bodies of water	nongold
23	deep sea animals live deep in the ocean	nongold
24	form means kind	nongold
25	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
26	sediment is formed from rock	nongold
27	organisms can be preserved in sedimentary rock	nongold
28	to be found in means to be contained in	nongold
29	classifying is when one sorts something by kind; type	nongold
30	organisms mean life	nongold
31	index fossils are formed from species that existed for a relatively short time	nongold
32	ocean animal is similar to water animal	nongold
33	the formation of organic rocks is usually found in ocean	nongold
34	sedimentary rocks are made of small particles	nongold
35	a body of water contains water	nongold
36	marine is similar to water	nongold
37	an environment is a kind of place	nongold
38	water is a part of an environment	nongold
39	different classes of rocks are formed by different methods	nongold
40	organisms are a part of an environment	nongold
41	an environment means an area	nongold
42	to be made of something means to be formed of that something	nongold
43	if fossils of an organism change depending on the level in which they were found then that species of organism changed over time	nongold
44	oceans contains most of  earth's water	nongold
45	class is a measure of how a rock is formed	nongold
46	to cause the formation of means to form	nongold
47	conclusions can be drawn about changes in organisms over time by determining the age of fossils of those organisms	nongold
48	animals; living things live and feed in their habitats; near their habitats	nongold
49	oceans cover 70% of the surface of the earth	nongold
50	a type of something is a kind of property of that something	nongold
51	variety means different kinds; different types	nongold
52	a coast is a kind of environment	nongold
53	oceans are located on Earth	nongold
54	prehistoric means before 300000000 years ago	nongold
55	a crab is a kind of water animal	nongold
56	bodies of water are located on Earth's surface	nongold
57	an environment is similar to an ecosystem	nongold
58	to form means to create	nongold
59	to belong to a class means to be a kind of something	nongold
60	if something is located  in somewhere , then something can be found in somewhere	nongold
61	to make means to form	nongold
62	to change into means to form	nongold
63	an ecosystem contains a large community of; large numbers of living organisms	nongold
64	mussels are a kind of aquatic animal	nongold
65	the ocean contains large amounts of salt water	nongold
66	the surface of the Earth is made of 70% ocean	nongold
67	a mollusk is a kind of animal	nongold
68	coral is a kind of aquatic animal	nongold
69	a fish is a kind of aquatic animal	nongold
70	an estuary is a kind of body of water	nongold
71	a kind of something is an example of that something	nongold
72	organisms can be found in their habitats	nongold
73	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
74	forming something is a kind of change	nongold
75	a sea turtle lives in the ocean	nongold
76	underwater means below water	nongold
77	to be formed by is to be the result of	nongold
78	if there is none of a thing then that thing does not exist	nongold
79	coral lives in the ocean	nongold
80	Atlantic Ocean is a kind of ocean	nongold
81	a sea turtle is a kind of animal	nongold
82	environments changing can cause layers of rock that are near each other or on top of each other to have different amounts of fossils; different kinds of rock	nongold
83	a coast is where land meets the edge of a body of water	nongold
84	a population is made of one type of organism in an area	nongold
85	tidal means related to tides	nongold
86	an animal is a member of an animal species	nongold
87	the ocean system is a kind of system	nongold
88	an ocean contains waves	nongold
89	sediment is formed by weathering	nongold
90	water is often brackish in an estuary	nongold
91	to create means to make	nongold
92	usually a body of water is located outside	nongold
93	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
94	a whole is formed by its parts	nongold
95	a coastal area is a kind of environment	nongold
96	a trilobite is a kind of water animal	nongold
97	plankton live in bodies of water	nongold
98	a bay is a kind of body of water	nongold
99	a body of water is a kind of land feature	nongold
