Question	A solar cell turns sunlight into another form of energy. A solar cell is most like what natural structure?	question
Answer	a plant's leaves	answer
0	a part of a living thing is a natural structure	gold
1	sunlight is a kind of solar energy	nongold
2	sunlight means solar energy	nongold
3	form means kind	nongold
4	a leaf is a kind of plant	nongold
5	a structure of something is synonymous with a part of that something	nongold
6	to turn means to convert	nongold
7	a leaf is a part of a  green plant	gold
8	sunlight is a kind of light	nongold
9	sunshine means sunlight	nongold
10	a leaf performs photosynthesis; gas exchange	gold
11	a  plant requires sunlight for photosynthesis	nongold
12	a plant cell is a kind of cell	nongold
13	a plant is a kind of living thing	gold
14	a plant is made of plant cells	nongold
15	solar energy is a kind of light	nongold
16	system is similar to structure	nongold
17	made by humans; artificial is the opposite of natural	nongold
18	a living thing is made of cells	nongold
19	solar energy is a kind of energy	nongold
20	solar cells convert solar energy into electrical energy	nongold
21	sunlight produces heat	nongold
22	a leaf absorbs sunlight to perform photosynthesis	nongold
23	converting is similar to turning into	nongold
24	the sun is the source of solar energy called sunlight	nongold
25	solar energy is a kind of heat energy	nongold
26	structure is a property of an object; a material; a substance	nongold
27	a chloroplast is a kind of plant cell structure	nongold
28	to turn means to change	nongold
29	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	gold
30	a leaf is a part of a tree	nongold
31	an animal cell is a kind of cell	nongold
32	a plant is a kind of organism	nongold
33	a leaf is a kind of plant organ	nongold
34	the sun is a source of light; light energy called sunlight	nongold
35	a cell wall is the outermost structure of a plant cell	nongold
36	light is a kind of energy	nongold
37	light is a kind of energy	nongold
38	forming is similar to converting	nongold
39	vegetation means plants	nongold
40	a leaf is a kind of object	nongold
41	all cells take in energy	nongold
42	a plant requires photosynthesis to grow; survive	nongold
43	an animal is a kind of living thing	nongold
44	solar power means solar energy	nongold
45	to be made of something means to be formed of that something	nongold
46	light means light energy	nongold
47	a  plant requires sunlight to  grow	nongold
48	a source of something emits; produces; generates; provides that something	nongold
49	a living thing is a kind of object	nongold
50	a cell membrane is a kind of cell structure	nongold
51	plant parts are made of plants	nongold
52	an organism is a living thing	nongold
53	a human cell is a kind of cell	nongold
54	solar radiation means solar energy	nongold
55	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
56	roots are a part of a plant; tree	nongold
57	to transform means to convert	nongold
58	plant cells can perform photosynthesis	nongold
59	a solar panel converts sunlight; solar energy into electrical energy; electricity	nongold
60	a plant cell contains chloroplasts	nongold
61	converting is similar to producing	nongold
62	a  cell wall provides support; protection; shape; structure for  a plant cell	nongold
63	heat is a kind of energy	nongold
64	an organism requires energy for growth; repair	nongold
65	a plant; living thing requires nutrients to grow	nongold
66	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
67	the cell is the most basic structural unit of life	nongold
68	all living things are made of cells according to the cell theory	nongold
69	to change into means to form	nongold
70	a cell wall is a part of a plant cell for supporting and protecting the cell membrane	nongold
71	if something generates energy for something else then that something powers that something else	nongold
72	all cells require energy	nongold
73	a solar panel is made of solar cells	nongold
74	photosynthesis stores; captures energy	nongold
75	solar cell is similar to photovoltaic cell	nongold
76	a cell is very small	nongold
77	a cell is a kind of object	nongold
78	nature means a natural environment	nongold
79	to convert means to change	nongold
80	a cell absorbs nutrients	nongold
81	made up of means contains; made of	nongold
82	chloroplast is a part of a plant cell	nongold
83	a plant cell is box-like in shape	nongold
84	heat means heat energy	nongold
85	most chloroplasts are found in the leaves of a plant	nongold
86	energy transformation means one kind of energy changes into another kind of energy	nongold
87	all living things grow	nongold
88	can be means able to be	nongold
89	to form means to create	nongold
90	to make means to form	nongold
91	large leaves are a kind of adaptation for absorbing sunlight	nongold
92	a flower is a kind of plant	nongold
93	an animal is a kind of organism	nongold
94	emit means produce	nongold
95	products are formed; are produced; are created	nongold
96	a tree is a kind of plant	nongold
97	to contain means to have inside	nongold
98	to generate means to form	nongold
99	the sun is a source of radiation; heat called sunlight	nongold
