Question	Which property of a mineral can be determined just by looking at it?	question
Answer	luster	answer
0	the luster of an object can be determined by looking at that object	gold
1	luster is a property of  an object; a material and includes ordered values of dull; shiny	gold
2	determining often requires measuring; observing	nongold
3	a type of something is a kind of property of that something	nongold
4	a mineral is a kind of object	gold
5	to see means to look	nongold
6	color is a property of  an object; a material	nongold
7	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
8	a mineral is a kind of solid; natural material	nongold
9	an object has properties	nongold
10	a property of something is a feature of that something	nongold
11	structure is a property of an object; a material; a substance	nongold
12	composition is a property of an object; matter	nongold
13	the color of an object can be discovered by looking at that object	nongold
14	objects are made of materials; substances; matter	nongold
15	rock is made of minerals	nongold
16	look at means observe	nongold
17	nonmetallic is a kind of luster	nongold
18	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
19	if an object is made of a material then that object has the properties of that material	nongold
20	mica has a nonmetallic luster	nongold
21	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
22	classifying means grouping objects; materials by their properties	nongold
23	thickness is a property of an object and includes ordered  values of thin; thick	nongold
24	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
25	eyes are a part of a human for seeing	nongold
26	shape of the parts of something is a property of that something	nongold
27	a rock is a kind of object	nongold
28	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
29	characteristic means property	nongold
30	hardness is a kind of physical property	nongold
31	looking is similar to observing	nongold
32	color is a kind of physical; visual property	nongold
33	texture is a kind of physical property	nongold
34	eyes are usually part of an animal for seeing	nongold
35	material composition is a kind of chemical property	nongold
36	the properties of something can be used to identify; used to describe that something	nongold
37	shape is a property of an object	nongold
38	the effects of something is a property of that something	nongold
39	a structure of something is synonymous with a part of that something	nongold
40	materials are made of matter	nongold
41	chemical composition is a kind of property	nongold
42	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
43	identifying is similar to determining	nongold
44	variability of shape; variability of volume is a kind of physical property	nongold
45	a chemical property is the opposite of a physical property	nongold
46	can be means able to be	nongold
47	as amount; size of something increases , the intensive properties of that something will not change	nongold
48	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
49	color is an intensive property	nongold
50	affected means changed	nongold
51	shape is a property of the appearance of an object	nongold
52	substances are made of matter	nongold
53	shape is a kind of physical property	nongold
54	a  chemical property is a kind of  property	nongold
55	determine is similar to cause	nongold
56	appearance is a property of objects; materials	nongold
57	the texture of an object can sometimes be told by looking at the object	nongold
58	definite is the opposite of variable	nongold
59	matter; materials; substances are made of atoms; particles	nongold
60	the properties of something are used for describing that something	nongold
61	rock is a kind of material	nongold
62	a property is similar to a factor	nongold
63	an object is made of its parts	nongold
64	conductivity is a property of a material; substance	nongold
65	soft is a kind of hardness	nongold
66	mass; weight is a property of matter; objects; materials	nongold
67	if a property affects a value then that property is needed to calculate that value	nongold
68	conductivity is a kind of physical property	nongold
69	high is similar to increase	nongold
70	state of matter is a kind of physical property	nongold
71	taste is a kind of property	nongold
72	an part of an object is smaller than the entire object	nongold
73	a structure is a kind of feature	nongold
74	property is similar to measurement	nongold
75	variable means able to change	nongold
76	form means kind	nongold
77	metal is reflective	nongold
78	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
79	a physical property is a kind of property	nongold
80	appearance  is a kind of physical property	nongold
81	material means substance	nongold
82	if an object is made of something then the parts of that object are made of that something	nongold
83	diamond is a kind of mineral	nongold
84	hardness is an intensive property	nongold
85	measuring the hardness of minerals requires  scratching those materials	nongold
86	an element is a kind of material	nongold
87	smooth is a kind of texture	nongold
88	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
89	a mineral usually has a crystal structure	nongold
90	to be made of something means to be formed of that something	nongold
91	a type is synonymous with a kind	nongold
92	hardness is a measure of a mineral's ability to resist scratching	nongold
93	texture means how an object feels	nongold
94	according to is similar to be determined by	nongold
95	calcium is a kind of element	nongold
96	strength is a property of an object; a material	nongold
97	mass; weight is an extensive property	nongold
98	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
99	length is a property of the shape of an object	nongold
