Question	During the Apollo 14 moon landing, astronauts played golf on the moon. Which of the following would be less on the moon than on Earth?	question
Answer	The weight of the golf ball	answer
0	an astronaut is a kind of human	nongold
1	mass; weight are the same on Earth	nongold
2	a ball is a kind of object	gold
3	astronauts live on a space station while in outer space	nongold
4	less is similar to decrease	nongold
5	less means a reduced amount	nongold
6	weight means the force of gravity acting on an object	nongold
7	fewer means lower; less in number	nongold
8	less is the opposite of more	gold
9	a moon is a kind of celestial object; body	gold
10	a weight is a kind of object	nongold
11	lighter means lower; less in weight	nongold
12	heavy means a large amount of weight	nongold
13	Weight is  the  force of gravity acting on an object	nongold
14	weight is a property of objects; matter	nongold
15	as the force of gravity increases , the weight of objects will increase	gold
16	greater means higher; more in value	nongold
17	as the force  of gravity decreases , the weight of the object will decrease	nongold
18	weight is a measure of the force of the gravity on the mass of an object	nongold
19	an animal is a kind of living thing	nongold
20	the moon orbits the Earth	nongold
21	an increase is the opposite of a decrease	nongold
22	increase means more	gold
23	to lower means to decrease	nongold
24	as the mass of an object decreases , the weight of that object will decrease	nongold
25	the Moon has less water; air than Earth	nongold
26	Earth is a kind of planet	gold
27	as the mass of an object increases ,  the weight of that object will increase	nongold
28	as the force  of gravity changes , the weight of the object will change	nongold
29	high is similar to increase	nongold
30	mass; weight is a property of matter; objects; materials	nongold
31	low is similar to decrease	nongold
32	to reduce means to decrease	nongold
33	a human is a kind of animal	nongold
34	lower means less	nongold
35	closer means lower; less; a decrease in distance	nongold
36	a planet's  moon is smaller than that planet	nongold
37	a living thing is a kind of object	nongold
38	a planet is a kind of celestial object; body	nongold
39	as the amount of food an animal eats increases , the weight of that animal will increase	nongold
40	the earth has more mass than the moon	gold
41	greatest means largest; highest; most amount of something	nongold
42	the moon is the celestial object that is closest to the  Earth	nongold
43	furthest; farthest means greatest; most; highest in distance	nongold
44	astronauts wear spacesuits in space	nongold
45	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	gold
46	as the mass of an object increases , the force of gravity on that object will increase	nongold
47	weight is a kind of property	nongold
48	being  on something; placed in something; placed over something means touching  that something	nongold
49	a planet is a kind of location	nongold
50	the lowest gravitational pull is during a quarter moon	nongold
51	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
52	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
53	motion; movement means moving; to move	nongold
54	an animal is a kind of organism	nongold
55	a decrease is a kind of change	nongold
56	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
57	a planet is a kind of place	nongold
58	the Moon is Earth's moon	nongold
59	a pool ball; billiard ball is a kind of ball	nongold
60	an part of an object is smaller than the entire object	nongold
61	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
62	the moon is less bright than the sun	nongold
63	an increase is a kind of change	nongold
64	person is synonymous with human	nongold
65	if there is no gravitational pull , then the weight of an object will be equal to zero	nongold
66	the Moon is closer to the Earth than the Sun	nongold
67	low is the opposite of high	nongold
68	as the cause of something decreases , that something will decrease	nongold
69	as distance from an object decreases , the the pull of gravity on that object increases	nongold
70	heaviest means greatest mass; weight	nongold
71	as the mass of an oject decreases , the force of gravity on that object will decrease	nongold
72	gravity causes orbits	nongold
73	as the distance from an object increases , the force of gravity on that object will decrease	nongold
74	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
75	light means low  in weight	nongold
76	affected means changed	nongold
77	higher means greater; above in value; amount; number	nongold
78	heat means heat energy	nongold
79	temperature is a measure of heat energy	nongold
80	heat means temperature increases	nongold
81	smaller means less; lower in size	nongold
82	a hand is a kind of object	nongold
83	an organism is a living thing	nongold
84	moons orbit planets	nongold
85	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
86	warmer means greater; higher in temperature; warmth	nongold
87	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
88	Earth is a planet that is closer to the  Sun than Jupiter	nongold
89	colder; cooler means lower in temperature	nongold
90	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
91	larger means greater; higher; more; increase in size	nongold
92	to add means to increase	nongold
93	objects are made of materials; substances; matter	nongold
94	strong means high in strength	nongold
95	a hand is a part of the body	nongold
96	flying an object requires lift to oppose the object's weight	nongold
97	warm means medium heat energy; temperature	nongold
98	adding heat means increasing temperature	nongold
99	extreme means very high in value	nongold
