Question	A student freezes some orange juice. Which of the following statements best describes how the orange juice is different after it is frozen?	question
Answer	It stays in one shape.	answer
0	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	gold
1	stay the same means not changing	nongold
2	frozen means solid	nongold
3	a student is a kind of human	nongold
4	form means kind	nongold
5	to remain means to stay the same	nongold
6	definite shape means the shape of an object stays the same when moved to different spot	nongold
7	if something is definite in shape then that something will not change shape easily	gold
8	to remain means to stay where it is	nongold
9	staying means not changing	gold
10	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
11	freezing causes a solid to form	nongold
12	to remain means to not change	nongold
13	Matter in the liquid phase has variable shape	gold
14	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
15	shape is a property of an object	nongold
16	Matter in the solid phase has definite shape	gold
17	matter with variable shape changes shape in different container	nongold
18	different is the opposite of the same	nongold
19	to change means to become different	gold
20	structure is similar to shape	nongold
21	shape is a property of the appearance of an object	nongold
22	juice is a kind of matter	gold
23	an orange is a kind of fruit	nongold
24	juice is a kind of liquid	gold
25	Matter in the gas phase has variable shape	nongold
26	state means form	nongold
27	different containers usually are different in shape	nongold
28	opposite is a kind of different	nongold
29	orange is a kind of color	nongold
30	shape of the parts of something is a property of that something	nongold
31	structure is a property of an object; a material; a substance	nongold
32	freezing is a kind of phase change	nongold
33	shape is a kind of physical property	nongold
34	variability of shape; variability of volume is a kind of physical property	nongold
35	length is a property of the shape of an object	nongold
36	phase means state	gold
37	different substances are different in density	nongold
38	changed is the opposite of unchanged	nongold
39	a structure of something is synonymous with a part of that something	nongold
40	form is similar to body	nongold
41	shape is a kind of characteristic	nongold
42	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
43	live is similar to stay	nongold
44	best means most positive	nongold
45	breaking down into pieces is a kind of change in shape	nongold
46	unchanged means not changed	nongold
47	variable means able to change	nongold
48	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
49	a human is a kind of animal	nongold
50	classifying is when one sorts something by kind; type	nongold
51	the  arrangement of particles is different in different substances	nongold
52	if something has no impact on something else then that something else stays the same	nongold
53	fruit juice is a kind of  drink	nongold
54	an increase is the opposite of a decrease	nongold
55	straight is a kind of shape	nongold
56	to vary means to change	nongold
57	a living thing is a kind of object	nongold
58	width is a property of size; shape and includes ordered values of narrow; wide	nongold
59	as the shape of an object changes , the mass of that object will stay the same	nongold
60	size; amount of space means volume	nongold
61	two objects are usually different in size	nongold
62	liquid is a kind of state of matter	gold
63	surface area is a property of shape	nongold
64	to keep something occurring means to cause that something to occur	nongold
65	if something changes , then that something is not the same	nongold
66	identical is the opposite of different	nongold
67	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
68	high is similar to increase	nongold
69	solid is a kind of state of matter	gold
70	a type is synonymous with a kind	nongold
71	becoming is similar to changing	nongold
72	another means different	nongold
73	to turn means to change	nongold
74	an increase is a kind of change	nongold
75	classifying means grouping objects; materials by their properties	nongold
76	temperature is a measure of heat energy	nongold
77	affected means changed	nongold
78	to keep a process or event happening is similar to causing that process or event to happen	nongold
79	a beverage is a kind of liquid	nongold
80	if something is not the same as something else then that something is different from that something else	nongold
81	new means different from the former one	nongold
82	to lower means to decrease	nongold
83	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
84	heat means heat energy	nongold
85	a circle is a kind of shape	nongold
86	motion; movement means moving; to move	nongold
87	increase means more	nongold
88	to maintain means to not change	nongold
89	the shape  of an object can be discovered through feeling that object; touching that object	nongold
90	if the component of something changed , then the whole thing will change	nongold
91	objects are made of materials; substances; matter	nongold
92	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
93	shift means move	nongold
94	as amount; size of something increases , the intensive properties of that something will not change	nongold
95	to retain means to not change	nongold
96	same means identical; equal in value; amount; number; quantity	nongold
97	crumple means change shape from smooth; flat into compacted;irregular by mechanical force; kinetic energy	nongold
98	sharpness is a property of shape	nongold
99	constant means not changing	nongold
