Question	A generator converts mechanical energy to electrical energy by using a conducting metal loop turning in a	question
Answer	magnetic field.	answer
0	a conducting metal loop is a kind of electromagnet	gold
1	to turn means to convert	nongold
2	a generator converts kinetic energy into electrical energy; electricity	gold
3	electromagnets generate magnetic fields	gold
4	a generator is a kind of  device	nongold
5	electric currents produce magnetic fields	nongold
6	passing a magnet through a closed loop of wire generates an electric current	nongold
7	an electric motor converts electrical energy into mechanical energy	nongold
8	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
9	rotate means turn	nongold
10	to turn means to change	nongold
11	magnetic energy is a kind of energy	nongold
12	mechanical energy is a kind of energy	nongold
13	an electromagnet is a kind of electric magnet	nongold
14	moving a coil of wire in the magnetic field generates electrical current	nongold
15	electricity means electrical energy	nongold
16	metal is sometimes magnetic	nongold
17	converting is similar to turning into	nongold
18	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
19	converting is similar to generating	nongold
20	electromagnets can be powered by electricity	nongold
21	electrical energy is a kind of energy	nongold
22	turning is a kind of motion	nongold
23	metal is an  electrical; electrical energy conductor	nongold
24	generate means produce	nongold
25	electricity is used as an energy source by electrical devices	nongold
26	an electromagnet is a kind of device	nongold
27	kinetic energy is a kind of mechanical energy	gold
28	an electromagnet contains a wire; cylindrical ferrous metal	nongold
29	flipping a switch completes an electrical circuit	nongold
30	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
31	a magnet is often made of magnetic metals; ferromagnetic metals	nongold
32	a complete electrical circuit is a source of  electrical energy	nongold
33	a magnet is a kind of object	nongold
34	a machine is a kind of  device	nongold
35	a simple machine requires mechanical energy to function	nongold
36	electric devices require electrical energy to function	nongold
37	turns is similar to changes	nongold
38	electrical current means electrical energy	nongold
39	a magnet will not attract nonmagnetic metals; nonmagnetic materials	nongold
40	completing a circuit causes electricity; electric current to flow  through that circuit	nongold
41	converting is similar to producing	nongold
42	a magnetic field is a kind of force	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	magnet can be  used for separating a magnetic material from a mixture of a magnetic and nonmagnetic material	nongold
45	a wire is a part of an electrical circuit for conducting electricity	nongold
46	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
47	electromagnetic energy is a kind of energy	nongold
48	if something generates energy for something else then that something powers that something else	nongold
49	emit means produce	nongold
50	to convert means to change	nongold
51	to power means to provide energy for	nongold
52	mechanical energy is used to move something by animals	nongold
53	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
54	generating power is a kind of positive impact	nongold
55	an electric motor is a kind of electrical device	nongold
56	instrument means device	nongold
57	a circuit is a kind of electrical component	nongold
58	an electrical device requires electricity to turn on	nongold
59	a electromagnet is formed by attaching an iron nail wrapped in a copper wire to a circuit	nongold
60	a device is a kind of object	nongold
61	mechanical energy can  cause objects to move	nongold
62	conductivity is a property of a material; substance	nongold
63	the core of an electromagnet is the metal	nongold
64	rotating is similar to moving	nongold
65	a machine is a kind of object	nongold
66	looping is similar to wrapping	nongold
67	a magnet moving in a coil of copper wire can cause an electric current	nongold
68	if something is powered by something else then that something requires a source of that something else	nongold
69	magnetic force means magnetism	nongold
70	a resistor is used to control the amount of current in the electric circuit	nongold
71	conductivity is a measure of how easily electricity travels through a material	nongold
72	to transform means to convert	nongold
73	causing is similar to generating	nongold
74	friction converts mechanical energy into heat energy	nongold
75	electromagnetic wave is not a mechanical wave	nongold
76	metal is a kind of material	nongold
77	closing an electric circuit causes an electrical device to function	nongold
78	conversion is a kind of process	nongold
79	magnetic separation is using a magnet to attract magnetic material from the mixture of magnetic and nonmagnetic material	nongold
80	a human is a kind of animal	nongold
81	a wheel is a kind of object	nongold
82	electricity is made of moving charges; moving charged particles	nongold
83	rotation is a kind of motion	nongold
84	magnetism is a kind of energy	nongold
85	an instrument is a piece of equipment	nongold
86	a heat engine converts heat energy into mechanical energy	nongold
87	metal is a kind of substance	nongold
88	turning on is a kind of process	nongold
89	a larger power source provides more current to a wire; a conductor; an electromagnet	nongold
90	motion; movement means moving; to move	nongold
91	if something contains a large amount of magnetic material then that something will attract magnets	nongold
92	a device requires energy to operate	nongold
93	conduction is a kind of process	nongold
94	flipping; pushing a switch means using; activating that switch	nongold
95	electrical signals are made of electrical energy	nongold
96	device means tool	nongold
97	a horseshoe magnet is a kind of magnet	nongold
98	revolving is a kind of motion	nongold
99	a lever is a kind of simple machine	nongold
