Question	Use The Periodic Table of the Elements and the information below to answer the question. Magnesium metal	question
Answer	and fluorine	answer
0	magnesium is a kind of substance	nongold
1	fluorine is not a metal	nongold
2	magnesium fluoride; MgF2 is made of magnesium metal and fluorine	nongold
3	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
4	Fluorine(F); Chlorine(Cl); Bromine(Br); Iodine(I); Astatine(At) is located in halogens family; group 17 on the periodic table	nongold
5	magnesium oxide is a kind of compound	nongold
6	magnesium is a kind of alkaline earth metal	gold
7	magnesium fluoride; MgF2 is a kind of substance	nongold
8	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
9	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
10	the Periodic Table is a table displays elements	nongold
11	fluorine is a kind of halogen	gold
12	a metal is a kind of element	nongold
13	answering questions requires information	nongold
14	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
15	aluminum is a kind of metal	nongold
16	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
17	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
18	aluminum is a kind of element	nongold
19	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
20	an  element is a kind of atom	nongold
21	an element is made of one kind of atoms	nongold
22	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
23	an element is a kind of material	nongold
24	substances are made of elements	nongold
25	the chemical symbol for magnesium is Mg	nongold
26	potassium is a kind of element	nongold
27	the majority of the elements on the periodic table are metals	nongold
28	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
29	an element is a kind of  substance	nongold
30	metal is a kind of material	nongold
31	metal is a kind of substance	nongold
32	elements in group 18 on the Periodic Table of Elements have full; complete outer electron shells	nongold
33	matter; materials; substances are made of atoms; particles	nongold
34	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
35	iron is a kind of metal	nongold
36	tungsten is a kind of metal	nongold
37	data means information	nongold
38	magnesium is less dense than iron	nongold
39	chromium is a kind of metal	nongold
40	the periodic table is arranged in rows and columns	nongold
41	a molecule is made of atoms chemically combined; bonded	nongold
42	zinc is a kind of metal	nongold
43	carbon is a kind of element	nongold
44	all elements are a kind of pure substance	nongold
45	a metal is usually a solid at room temperature	nongold
46	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
47	aluminum is a kind of matter	nongold
48	elements in the same group on the Periodic Table of Elements have similar properties	nongold
49	chlorine is a kind of element	nongold
50	materials are made of matter	nongold
51	noble gases elements; elements in group 18 on the periodic table usually are the most chemically unreactive	nongold
52	magnesium is less dense than nickel	nongold
53	substances are made of matter	nongold
54	aluminum is always nonmagnetic	nongold
55	iron is a kind of element	nongold
56	metals are found on the left side of the periodic table of elements	nongold
57	iron is a kind of solid	nongold
58	sodium is a kind of element	nongold
59	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
60	oxygen  is a kind of element	nongold
61	a table is a kind of object	nongold
62	steel is a kind of metal	nongold
63	a compound is made of two or more elements that have been chemically combined	gold
64	objects are made of materials; substances; matter	nongold
65	a compound can be chemically separated into the elements that it is made of	nongold
66	mass is a kind of information	nongold
67	an element is not an alloy	nongold
68	metals are made of metal	nongold
69	a Periodic Table is a kind of scientific  model	nongold
70	sodium is a kind of metal	nongold
71	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
72	hydrogen is a kind of element	nongold
73	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	nongold
74	a group; family in the periodic table means a column in the periodic table	nongold
75	silver is a kind of metal	nongold
76	information is used to describe something	nongold
77	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
78	soft iron; iron is always ferromagnetic; magnetic	nongold
79	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
80	the atomic number of elements increases by 1 from left to right on a row on the periodic table	nongold
81	composition is a kind of information	nongold
82	compound is a kind of chemical	nongold
83	a compound is a kind of material	nongold
84	copper is a kind of metal	nongold
85	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
86	the nitrogen family is a kind of group in periodic table	nongold
87	substances are made of molecules	nongold
88	copper is a kind of element	nongold
89	nickel is a kind of transition metal	nongold
90	different types of matter have different chemical properties	nongold
91	atoms are made of particles	nongold
92	if something is made of something else then that something can be broken down into that something else	nongold
93	an atom is a kind of object	nongold
94	silver is a kind of transition metal	nongold
95	a pure substance is made of only one kind of atom; molecule	nongold
96	the chemistry of something is similar to what that something is made of	nongold
97	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
98	copper is a kind of transition metal	nongold
99	chemical compounds contain chemical bonds between atoms; between elements	nongold
