Question	What do playing a guitar, banging a drum, and dropping a pebble in the water have in common?	question
Answer	They all cause vibrations.	answer
0	playing a drum means banging; hitting a drum	gold
1	a pebble is a kind of small rock	gold
2	pebbles are a kind of material	nongold
3	dropping an object into water causes vibrations in the water	gold
4	a drum is a kind of musical instrument	gold
5	vibration is a kind of motion	nongold
6	tapping two objects together causes the particles in those objects to vibrate	nongold
7	vibrations are a source of sound	nongold
8	a guitar is a kind of musical instrument	gold
9	drums are a kind of musical instrument	nongold
10	a drummer is someone who plays the drums	nongold
11	dropping something causes that something to fall	nongold
12	matter; molecules vibrating can cause sound	nongold
13	oscillation means physical vibration	nongold
14	a vibration is similar to a wave	nongold
15	musical instruments make sound when they are played	gold
16	in common is similar to the same	nongold
17	water easily passes through pebbles	nongold
18	lowering is a kind of motion	nongold
19	to bang means to hit	nongold
20	playing music causes sound to be produced	nongold
21	to cause means to have an effect	nongold
22	water is a kind of matter	nongold
23	hitting is a kind of motion	nongold
24	a living thing is a kind of object	nongold
25	a rock is a kind of object	gold
26	plucking; strumming a string can cause that string to vibrate	nongold
27	water is a kind of object	nongold
28	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
29	An example of hitting something is dropping an object onto that something	nongold
30	a musical instrument is a kind of object	nongold
31	An example of playing a musical instrument is strumming a guitar string	nongold
32	sound means sound energy	nongold
33	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
34	similar means in common	nongold
35	water is a kind of substance	nongold
36	a drop is a small amount of liquid	nongold
37	a hum is a kind of sound	nongold
38	a body of water is a source of water	nongold
39	a drop is a kind of liquid small amount	nongold
40	drop means decrease	nongold
41	to drop means to fall	nongold
42	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
43	water is a kind of liquid at room temperature	nongold
44	motion; movement means moving; to move	nongold
45	objects are made of materials; substances; matter	nongold
46	a source of something emits; produces; generates; provides that something	nongold
47	sound is a kind of sound energy	nongold
48	sinking means moving down	nongold
49	waves are made of moving water	nongold
50	to be a source of something means to cause that something	nongold
51	moisture means liquid; liquid water	nongold
52	abrasion is when rocks rub against each other	nongold
53	vibrating matter can produce sound	nongold
54	hitting an object causes the particles in that object to vibrate	nongold
55	rock is a kind of material	nongold
56	rising is a kind of motion	nongold
57	sound wave is similar to sound	nongold
58	Earth is made of rock	nongold
59	material means substance	nongold
60	falling means moving downward	nongold
61	intense sound energy can move objects	nongold
62	sound waves means sound energy	nongold
63	flowing is a kind of motion	nongold
64	particles in objects are a kind of matter	nongold
65	a wave is formed by the vibration of the source spreading around from the source	nongold
66	loud means high in sound energy;sound intensity	nongold
67	a body of water contains water	nongold
68	noise means sound	nongold
69	sound wave is a kind of wave	nongold
70	a wave is a kind of object	nongold
71	a body of water is a kind of environment	nongold
72	earthquake  is a kind of vibration  of the ground	nongold
73	motion is when moves an object; something to a direction	nongold
74	sand  is a kind of material	nongold
75	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
76	soil is a kind of material	nongold
77	liquid is a kind of state of matter	nongold
78	water causes the most soil and rock erosion	nongold
79	sound wave is a kind of mechanical wave	nongold
80	sound requires matter to travel	nongold
81	mechanical energy can  cause objects to move	nongold
82	An example of mechanical energy is an object in motion	nongold
83	metal is a kind of material	nongold
84	soil contains water; humus; weathered rocks; organic matter	nongold
85	to give off means to be the source of	nongold
86	to change means to have an effect	nongold
87	water is a part of an environment	nongold
88	roots are a part of a plant; tree	nongold
89	sand  is a kind of solid	nongold
90	heat means heat energy	nongold
91	sound is a kind of energy	nongold
92	particles in a liquid are close to each other	nongold
93	a violin is a kind of musical instrument	nongold
94	sand  is a kind of substance	nongold
95	the effects of something is a property of that something	nongold
96	motion is a source of kinetic energy in an object	nongold
97	when two objects are touched; are contacted; move against each other , sound is produced	nongold
98	a surface is a part of a material	nongold
99	a motion is a kind of event; action	nongold
