Question	What is the process that produces energy in the Sun for billions of years?	question
Answer	fusion	answer
0	nuclear fusion occurs in the sun's core	nongold
1	nuclear fusion is a kind of process	gold
2	nuclear fusion is a kind of process	nongold
3	nuclear fusion is a source of energy	nongold
4	a source of something emits; produces; generates; provides that something	nongold
5	nuclear fusion in a star's core generates energy for the star to (burn, shine)	gold
6	the sun  is the source of energy for physical cycles on Earth	nongold
7	the Sun is a kind of star	gold
8	generate means produce	gold
9	producing is a kind of process	nongold
10	nuclear fusion is when atomic nuclei of low atomic number fuse	nongold
11	sunlight is a kind of solar energy	nongold
12	converting is similar to producing	nongold
13	a cycle is a kind of process	nongold
14	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
15	solar energy is a kind of energy	nongold
16	a billion is a kind of  number	nongold
17	nuclear fusion is a kind of nuclear reaction	nongold
18	if something generates energy for something else then that something powers that something else	nongold
19	nuclear fusion causes star formation	nongold
20	a process is a kind of event	nongold
21	the sun is the source of solar energy called sunlight	nongold
22	years are a kind of unit for measuring time	nongold
23	small stars burn for billions of years	gold
24	if something causes an increase in something else then that something produces that something else	nongold
25	the sun is a source of light; light energy called sunlight	nongold
26	a part of a process means a stage in a process	nongold
27	emit means produce	nongold
28	to be formed by is similar to being produced by	nongold
29	if something causes a process then that something is required for that process	nongold
30	producing is similar to causing	nongold
31	sunlight means solar energy	nongold
32	nuclear fusion converts hydrogen into helium	nongold
33	a process usually requires all of the stages in that process	nongold
34	the sun is a source of radiation; heat called sunlight	nongold
35	a star produces light and heat	nongold
36	to generate means to form	nongold
37	to be used for something means to be required by that something	nongold
38	to a human a time period of 1000 years or more years is considered very long	nongold
39	to give off means to be the source of	nongold
40	nuclear reactions in stars causes stars to produce light; energy; nuclear energy	nongold
41	sunlight produces heat	nongold
42	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
43	to produce means to result in	nongold
44	if something is a raw material in a process then that something is required for that process	nongold
45	to produce means to provide	nongold
46	a star is a kind of celestial object; celestial body	nongold
47	an event is a kind of action	nongold
48	the Earth revolves around the sun	nongold
49	a source of something increases the amount of that something	nongold
50	the sun is the source of energy for life on Earth	nongold
51	products are formed; are produced; are created	nongold
52	powering is similar to fueling	nongold
53	change is a kind of process	nongold
54	if something comes from something else then that something else is a source of that something	nongold
55	to produce means to create	nongold
56	a star requires energy	nongold
57	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
58	if something requires something else then that something requires a source of that something else	nongold
59	to contribute is similar to produce	nongold
60	a component of something means a part of that something	nongold
61	a step in a process means a stage in a process	nongold
62	energy transformation means one kind of energy changes into another kind of energy	nongold
63	producing is similar to discharging	nongold
64	where something  comes from is a source of that something	nongold
65	a component means a part of	nongold
66	make means produce	nongold
67	Earth is a kind of planet	nongold
68	solar energy is a kind of heat energy	nongold
69	if something transfers something else then that something is a source of something else	nongold
70	high is similar to increase	nongold
71	to provide something means to be the source of that something	nongold
72	sunlight is a kind of light	nongold
73	an increase is a kind of change	nongold
74	to generate means to create	nongold
75	producing is a kind of function	nongold
76	protons and neutrons are formed during nuclear fusion	nongold
77	how long something takes is a kind of measurement of time	nongold
78	increase means more	nongold
79	to add means to increase	nongold
80	to split means to break down	nongold
81	if an event is required for a process then that event must occur before that process can occur	nongold
82	a star is a source of light; light energy through nuclear reactions	nongold
83	decades are a kind of unit for measuring time	nongold
84	can be means able to be	nongold
85	something that happens is a kind of event	nongold
86	a producer is a kind of living thing	nongold
87	if something releases something else then that something is the source of that something else	nongold
88	length of time means period of time	nongold
89	formation of a state of matter is a kind of process	nongold
90	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
91	causing is similar to generating	nongold
92	to convert means to change	nongold
93	if something emits something else then that something increases the amount of that something else	nongold
94	solar energy is a kind of light	nongold
95	answering questions requires information	nongold
96	to power means to provide energy for	nongold
97	annual means once per year	nongold
98	the function of something is what that something  is used to do	nongold
99	a reaction is a kind of process	nongold
