Question	What happens at the boiling point of a substance?	question
Answer	liquid becomes a gas	answer
0	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
1	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
2	boiling is when liquids are heated above their boiling point	gold
3	boiling point is the highest temperature a liquid can reach	nongold
4	the boiling point of water is 212F; 100C; 373K	nongold
5	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
6	boiling is a kind of phase change	nongold
7	boiling point is a property of a substance; material	nongold
8	gas is a kind of substance	nongold
9	to add means to increase	nongold
10	vapor is synonymous with gas	nongold
11	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
12	a liquid is a kind of substance	nongold
13	water is a kind of liquid at room temperature	nongold
14	becoming is similar to changing	gold
15	liquid; solid means nongaseous	nongold
16	temperature is a measure of heat energy	nongold
17	a liquid is a kind of fluid	nongold
18	boiling is a kind of event	nongold
19	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
20	boiling point is a kind of physical  property	nongold
21	boiling means the volume of a liquid decreases	nongold
22	gas is a kind of state of matter	nongold
23	if liquid is boiling then that liquid is hot	nongold
24	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
25	a  gas is a kind of  element	nongold
26	gas is a kind of material	nongold
27	evaporating is a kind of phase change	nongold
28	liquid is a kind of state of matter	nongold
29	heat means heat energy	nongold
30	an increase is a kind of change	nongold
31	to exhale means to release	nongold
32	water is a kind of substance	nongold
33	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
34	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
35	to give off means to be the source of	nongold
36	condensing is when gasses are  cooled below their boiling point	nongold
37	becoming is similar to forming	nongold
38	Matter in the gas phase has variable shape	nongold
39	freezing point is a property of a substance; material	nongold
40	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
41	substances are made of matter	nongold
42	carbon dioxide is a kind of gas	nongold
43	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
44	solid is a kind of state of matter	nongold
45	something that happens is a kind of event	nongold
46	water is a kind of matter	nongold
47	air is usually a thermal; thermal energy insulator	nongold
48	combustion is a kind of chemical change	nongold
49	to happen means to occur	nongold
50	mass has no impact on boiling; melting; freezing point	nongold
51	heat means temperature increases	nongold
52	adding heat means increasing temperature	nongold
53	gas is a kind of nonmetal	nongold
54	to lower means to decrease	nongold
55	boiling point is an intensive property	nongold
56	desublimation; deposition means matter; a substance changes from a gas into a solid by decreasing heat energy	nongold
57	propane;C_{3}H_{8} is a kind of gas at room temperature	nongold
58	melting point means temperature at which a solid melts; above which a solid melts	nongold
59	Matter in the gas phase has variable volume	nongold
60	high is similar to increase	nongold
61	material means substance	nongold
62	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
63	freezing is a kind of phase change	nongold
64	chemical reactions cause chemical change	nongold
65	to emit means to release	nongold
66	oxygen is a kind of gas at room temperature	nongold
67	air temperature is a kind of temperature	nongold
68	heat energy can change the state of matter	nongold
69	to convert means to change	nongold
70	adding something is a kind of change	nongold
71	volume has no impact on boiling; melting; freezing point	nongold
72	a volatile substance gives off gas	nongold
73	a solution is formed by one substance being dissolved in another substance	nongold
74	a decrease is a kind of change	nongold
75	chemical change is a kind of chemical reaction	nongold
76	air is a kind of gas	nongold
77	to turn means to change	nongold
78	a solid is a kind of substance	nongold
79	a phase change is a kind of physical change	nongold
80	gas is a kind of object	nongold
81	materials are made of matter	nongold
82	to change means to cause a change	nongold
83	state means form	nongold
84	to change into means to form	nongold
85	Matter in the liquid phase has variable shape	nongold
86	gaseous means of gas	nongold
87	converting is similar to releasing	nongold
88	forming is similar to converting	nongold
89	air is a kind of matter	nongold
90	becoming is a kind of action	nongold
91	solution is a kind of liquid	nongold
92	a source of something emits; produces; generates; provides that something	nongold
93	chlorine is a kind of green, poisonous gas	nongold
94	chemical change is the opposite of physical change	nongold
95	phase means state	nongold
96	when gas compresses , the temperature of the gas increases	nongold
97	temperature changing can cause phase changes	nongold
98	to reduce means to decrease	nongold
99	reducing is a kind of change	nongold
