Question	What form of energy causes an ice cube to melt?	question
Answer	heat	answer
0	an ice cube is a kind of solid	gold
1	an ice cube is a kind of object	nongold
2	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
3	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
4	form means kind	gold
5	ice cube is made of ice	nongold
6	melting is a kind of phase change	nongold
7	heat means heat energy	gold
8	melting is when solids are heated above their melting point	nongold
9	temperature is a measure of heat energy	nongold
10	heating means adding heat	nongold
11	heat is a kind of energy	gold
12	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
13	freezing causes a solid to form	nongold
14	a cube is a kind of object	nongold
15	ice is a kind of solid	nongold
16	heat means temperature increases	nongold
17	water is a kind of liquid at room temperature	nongold
18	to add means to increase	nongold
19	melting point means temperature at which a solid melts; above which a solid melts	nongold
20	freezing is a kind of phase change	nongold
21	absorbing energy causes objects; materials; substances to heat	nongold
22	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
23	adding heat means increasing temperature	nongold
24	boiling is when liquids are heated above their boiling point	nongold
25	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
26	heating is the opposite of cooling	nongold
27	temperature changing can cause phase changes	nongold
28	state means form	nongold
29	liquid is a kind of state of matter	nongold
30	to reduce means to decrease	nongold
31	solid is a kind of state of matter	nongold
32	a liquid is a kind of substance	nongold
33	freezing means cold temperatures	nongold
34	cooling means temperature decreases	nongold
35	a solid is a kind of substance	nongold
36	to be a source of something means to cause that something	nongold
37	water is a kind of substance	nongold
38	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
39	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
40	heat energy can change the state of matter	nongold
41	frozen means solid	nongold
42	water is a kind of matter	nongold
43	mass has no impact on boiling; melting; freezing point	nongold
44	to lower means to decrease	nongold
45	to change means to cause a change	nongold
46	liquid water cooling causes that liquid water to freeze	nongold
47	ice is a kind of object	nongold
48	water is an thermal; thermal energy conductor	nongold
49	glass is a kind of solid at room temperature	nongold
50	a phase change is a kind of physical change	nongold
51	to change into means to form	nongold
52	an increase is a kind of change	nongold
53	a source of something emits; produces; generates; provides that something	nongold
54	thawing is similar to melting	nongold
55	cool means cold	nongold
56	material means substance	nongold
57	warm up means increase temperature	nongold
58	objects are made of materials; substances; matter	nongold
59	warm; becoming warm means heat is added	nongold
60	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
61	warm means medium heat energy; temperature	nongold
62	cold means low in temperature	nongold
63	boiling is a kind of phase change	nongold
64	thermal energy is a kind of energy	nongold
65	ice is cold in temperature	nongold
66	to give off means to be the source of	nongold
67	if heat is added to a substance then that substance absorbs that heat	nongold
68	absorbing sunlight causes objects to heat	nongold
69	phase means state	nongold
70	a source of something increases the amount of that something	nongold
71	state of matter means physical state	nongold
72	increase means more	nongold
73	affected means changed	nongold
74	warmer means greater; higher in temperature; warmth	nongold
75	state of matter at room temperature is a kind of physical property	nongold
76	materials are made of matter	nongold
77	evaporating is a kind of phase change	nongold
78	ice is colder than water in temperature	nongold
79	heat energy is synonymous with thermal energy	nongold
80	solar energy is a kind of heat energy	nongold
81	metal is a thermal; thermal energy conductor	nongold
82	substances are made of matter	nongold
83	cycles of freezing and thawing water cause ice wedging	nongold
84	a decrease is a kind of change	nongold
85	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
86	water is a kind of object	nongold
87	physical state means state of matter	nongold
88	energy transformation means one kind of energy changes into another kind of energy	nongold
89	melting is a kind of process	nongold
90	high is similar to increase	nongold
91	as the specific heat of a material decreases , the temperature of the material will increase given the same amount of energy	nongold
92	state of matter is a kind of physical property	nongold
93	heat energy  can be used to heat up  an object	nongold
94	conductivity is a property of a material; substance	nongold
95	a glass contains water	nongold
96	ice cream is a kind of solid	nongold
97	temperature drop means cooling	nongold
98	boiling point is the highest temperature a liquid can reach	nongold
99	colder; cooler means lower in temperature	nongold
