Question	Food webs show feeding relationships among different types of organisms. Those organisms each have a specific niche. Which of the following best describes a function of decomposers in food webs?	question
Answer	to recycle nutrients into soil	answer
0	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	gold
1	a decomposer is a kind of living thing	nongold
2	a food web is made of organisms that consume other organisms; that produce their own food	nongold
3	dead organisms are the source of nutrients for decomposers	nongold
4	decomposition is when a decomposer breaks down dead organisms	nongold
5	a decomposer is usually a bacterium; fungus	nongold
6	a microorganism is a kind of decomposer	nongold
7	a bacterium is a kind of decomposer	nongold
8	soil contains nutrients for plants	nongold
9	to recycle means return	nongold
10	decomposer is a kind of role in the food chain process; in an ecosystem	gold
11	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
12	to decompose means to decay	nongold
13	soil is a kind of material	nongold
14	an animal; living thing requires nutrients for survival	nongold
15	an earthworm is a kind of decomposer	nongold
16	In the food chain process fungi have the role of decomposer	nongold
17	food web is synonymous with food chain	gold
18	a worm is a kind of decomposer	nongold
19	In the food chain process bacteria have the role of decomposer	nongold
20	if some nutrients are in the soil then those nutrients are in the food chain	nongold
21	the function of something is what that something  is used to do	nongold
22	to decompose means to separate	nongold
23	renewing soil increases nutrients in the soil	nongold
24	a type is synonymous with a kind	nongold
25	a food contains nutrients for living things	nongold
26	decomposition increases the  amount of nutrients; nitrogen in the soil	nongold
27	roots are a vehicle for absorbing water and nutrients from soil into the plant	nongold
28	soil is usually part of an environment	nongold
29	an organism is a living thing	nongold
30	function is similar to purpose	nongold
31	a plant; living thing requires food for survival	nongold
32	a plant; living thing requires nutrients to grow	nongold
33	the top layer of soil contains the most nutrients	nongold
34	an animal is a kind of living thing	nongold
35	an animal is a kind of organism	nongold
36	an organism is a source of organic matter	nongold
37	nutrients are a kind of material	nongold
38	causing is a kind of function	nongold
39	decomposition  increases amount of organic matter in soil	nongold
40	if two things perform the same function then those two things are similar	nongold
41	a plant requires soil for survival; to grow	nongold
42	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
43	affecting an organism's niche means affecting that organism	nongold
44	roots anchor plants into the soil	nongold
45	role means function	gold
46	soil is made of solid particles	nongold
47	role means niche	nongold
48	a mechanism is a kind of system that performs a function	nongold
49	decomposing is similar to separating	nongold
50	best means most positive	nongold
51	soil is permeable	nongold
52	often soil is found in an environment	nongold
53	to work means to function	nongold
54	nutrient poor soil means low quality soil	nongold
55	a plant is a kind of organism	nongold
56	low quality soil has a small; a low number of nutrients	nongold
57	a plant is a kind of living thing	nongold
58	soil is a kind of nonliving thing	nongold
59	an organism is made of organic matter	nongold
60	soil is a part of the ground outside	nongold
61	soil is found on the surface of the Earth	nongold
62	something's function can be used to describe; identify that something	nongold
63	an animal needs to eat food for nutrients	nongold
64	something is used for that something's purpose	nongold
65	nutrients are a kind of substance	nongold
66	a relationship occurs when two or more things interact with one another	nongold
67	a living thing is a kind of object	nongold
68	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
69	a function is a kind of characteristic	nongold
70	breaking down is a kind of function	nongold
71	to be used for something means to be required by that something	nongold
72	if a living thing requires something then that something has a positive impact on that living thing	nongold
73	to be a vehicle for is a kind of function	nongold
74	producing is a kind of function	nongold
75	a source of something emits; produces; generates; provides that something	nongold
76	roots are a part of a plant; tree	nongold
77	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
78	converting is a kind of function	nongold
79	moving something is a kind of function	nongold
80	to digest means to break down food	nongold
81	dehydrating food is used for preserving food	nongold
82	life means living things	nongold
83	soil usually has layers	nongold
84	to depend on; to rely on; to need means to require	nongold
85	erosion sometimes decreases the amount of nutrients in soil	nongold
86	plant and animal matter means organic matter	nongold
87	if something performs a task then that task is that something's function	nongold
88	animals; living things live and feed in their habitats; near their habitats	nongold
89	absorbing is a kind of function	nongold
90	food is what an animal eats	nongold
91	soil is a renewable resource for growing plants	nongold
92	if something causes a process then that something is required for that process	nongold
93	nutrients are a kind of matter	nongold
94	soil contains water; humus; weathered rocks; organic matter	nongold
95	a function is an activity	nongold
96	organisms are a part of an environment	nongold
97	to add means to increase	nongold
98	can be means able to be	nongold
99	an organism is a source of organic material	nongold
