Question	A student measured the volume of water in a pan. The student boiled the water for thirty minutes and then measured the volume of the water again. The volume of water most likely	question
Answer	decreased	answer
0	a pan;frying pan is a kind of container for cooking; food	nongold
1	boiling means the volume of a liquid decreases	gold
2	a student is a kind of human	nongold
3	pot;pan;frying pan is made of metal for cooking	nongold
4	a pan is a kind of object	nongold
5	temperature is a measure of heat energy	nongold
6	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
7	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
8	an increase is the opposite of a decrease	nongold
9	to reduce means to decrease	nongold
10	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
11	less is similar to decrease	nongold
12	water is a kind of liquid at room temperature	gold
13	water is a kind of substance	nongold
14	as the amount of a source of something decreases , the amount of that something will decrease	nongold
15	low is similar to decrease	nongold
16	to slow; to slow down decreases speed	nongold
17	moisture means liquid; liquid water	nongold
18	an increase is a kind of change	nongold
19	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
20	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
21	a decrease is a kind of change	nongold
22	heat means temperature increases	nongold
23	increase means more	nongold
24	less means a reduced amount	nongold
25	as the temperature of an object increases , the size of that object will increase	nongold
26	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
27	heat means heat energy	nongold
28	as the specific heat of a material decreases , the temperature of the material will increase given the same amount of energy	nongold
29	a liquid is a kind of substance	nongold
30	temperature changing can cause volume of the object to change	nongold
31	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
32	to lower means to decrease	nongold
33	a container contains objects; material; substances	nongold
34	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
35	contents means the substance in a container	nongold
36	high is similar to increase	nongold
37	quantity means amount	nongold
38	to add means to increase	nongold
39	a human is a kind of animal	nongold
40	evaporation causes amount of water to decrease	nongold
41	Matter in the gas phase has variable volume	nongold
42	a liquid is a kind of fluid	nongold
43	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
44	the heat energy in the cooler object increases in thermal conduction	nongold
45	minutes are a kind of unit for measuring time	nongold
46	as the temperature of a liquid increases , the rate of evaporation of that liquid will increase	nongold
47	person is synonymous with human	nongold
48	if one surface; one substance; one object touches something then one is exposed to that something	nongold
49	level is similar to amount; quantity	nongold
50	the volume of a liquid displaced is similar to the volume of a liquid increased	nongold
51	milliliters is a kind of unit for measuring volume of liquids	nongold
52	seconds are a kind of unit for measuring time	nongold
53	gas is a kind of substance	nongold
54	adding heat means increasing temperature	nongold
55	as the cause of something decreases , that something will decrease	nongold
56	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
57	seconds are used to measure time	nongold
58	as the amount of water in a body of water decreases , the water levels will decrease	nongold
59	less is the opposite of more	nongold
60	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
61	Matter in the liquid phase has definite volume	nongold
62	if a container contains something then that container touches that something	nongold
63	a source of something increases the amount of that something	nongold
64	hot means high in heat energy; temperature	nongold
65	material means substance	nongold
66	water is a kind of matter	nongold
67	as the use of something decreases , the use of the source of that something will decrease	nongold
68	as moisture of an object decreases , the friction of that object against another object will increase	nongold
69	affected means changed	nongold
70	little is similar to decrease	nongold
71	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
72	counter means reduce; stop; resist	nongold
73	volume is a property of matter	nongold
74	as amount; size of something increases , the intensive properties of that something will not change	nongold
75	as the surface area of a body of water increases , evaporation of that body of water will increase	nongold
76	boiling is a kind of phase change	nongold
77	food is a kind of substance	nongold
78	heat energy is synonymous with thermal energy	nongold
79	soup is a kind of liquid	nongold
80	water is a kind of object	nongold
81	a container is a kind of object	nongold
82	variable means able to change	nongold
83	as the amount of water in a body of water increases , the amount of water  evaporated from the body of water will increase	nongold
84	the temperature; pH of water has an impact on the health of that water	nongold
85	if heat is added to a substance then that substance absorbs that heat	nongold
86	measuring sometimes requires  recording; learning an amount	nongold
87	being  on something; placed in something; placed over something means touching  that something	nongold
88	if liquid is boiling then that liquid is hot	nongold
89	deplete is similar to decrease	nongold
90	often is similar to likely	nongold
91	volume has no impact on boiling; melting; freezing point	nongold
92	if something has a definite volume , then its volume will not change when transferred into a different container	nongold
93	if an object is made of a material then that object has the properties of that material	nongold
94	if heat is conducted to an object then that object will become hot	nongold
95	as the amount; size of something increases , the extensive properties of that something will increase	nongold
96	if a value decreases then that value may become; may reach zero; 0	nongold
97	as the volume  of a gas in a flexible container increases ,  the volume of the container will increase	nongold
98	as temperature increases , the ability of that liquid to dissolve solids will increase	nongold
99	drying means amount of water; amount of liquid; wetness decreases	nongold
