Question	At what time on a sunny day will the shadow of the school's flagpole be the shortest?	question
Answer	noon	answer
0	shortest means least; smallest in length	gold
1	shorter means smaller; less in  height	nongold
2	shortest means the least amount of time	nongold
3	longest means greatest in length	nongold
4	a flagpole is a kind of object	gold
5	shorter means decreased length	nongold
6	a sunny day has  lots of sunlight	gold
7	long means great in length	nongold
8	lowest means least in value; amount; number	gold
9	noon is a kind of time of day	gold
10	length is a part of size	gold
11	greatest means largest; highest; most amount of something	nongold
12	the sun is located directly overhead at noon	gold
13	furthest; farthest means greatest; most; highest in distance	nongold
14	highest means largest; greatest; most in height	nongold
15	amount of daylight means length of daylight	nongold
16	as a source of light moves directly overhead of an object , the size of the shadow of that object will decrease	gold
17	shadow of an object can be seen by eyes	nongold
18	largest means greatest in size	nongold
19	sunshine means sunlight	nongold
20	daylight means sunlight	nongold
21	wider means greater in width	nongold
22	sunny is a kind of weather	nongold
23	length is a measure of distance from one end of an object to the other end of that object	nongold
24	fewer means lower; less in number	nongold
25	taller means greater in height; size	nongold
26	to shorten means to make shorter	nongold
27	a measure of time is a length of time	nongold
28	meters;centimeters;kilometers are used to describe distance; describe length	nongold
29	sunlight is a kind of light	gold
30	the sunlight occurs during the day	nongold
31	smaller means less; lower in size	nongold
32	dark means a low amount of light	nongold
33	afternoon is a part of day time	nongold
34	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
35	the occurance  of shadow requires the presence  of light	nongold
36	clear weather means sunny; not cloudy; not rainy weather	nongold
37	shade means low sunlight	nongold
38	height is a measure of length from the top of an object to the bottom of an object	nongold
39	fewest means lowest; least in number	nongold
40	length of time means period of time	nongold
41	the afternoon is  a part of the day	nongold
42	the sun is a source of light; light energy called sunlight	nongold
43	a meter is a kind of unit for measuring distance; measuring length	nongold
44	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
45	least is the opposite of greatest	nongold
46	the day time is part of one day	nongold
47	daylight is when the sun shines on a location	nongold
48	as the amount of daylight increases , sunset will occur later in the day	nongold
49	width is a property of size; shape and includes ordered values of narrow; wide	nongold
50	sunlight means solar energy	nongold
51	an object blocking light causes a shadow	nongold
52	to lower means to decrease	gold
53	daylight occurs during the day	nongold
54	less is similar to decrease	nongold
55	low is similar to decrease	nongold
56	dark is the opposite of light	nongold
57	a living thing is a kind of object	nongold
58	when object is in direct light then that object is not shaded	nongold
59	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
60	if an amount of objects decreases then those objects are fewer in number	nongold
61	an increase is the opposite of a decrease	nongold
62	sunlight is a kind of solar energy	nongold
63	length is a property of the shape of an object	nongold
64	days are a kind of unit for measuring time	nongold
65	an animal is a kind of living thing	nongold
66	the amount of daylight is greatest in the summer	nongold
67	the Sun is a kind of star	nongold
68	a human is a kind of animal	nongold
69	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
70	sunrise occurs at the beginning of the day	nongold
71	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
72	to reduce means to decrease	nongold
73	the amount of daylight is least in the winter	nongold
74	not visible means cannot be seen	nongold
75	rainy is a kind of weather	nongold
76	minutes are a kind of unit for measuring time	nongold
77	Earth's angle of tilt causes the length of day and night to vary	nongold
78	the sun is the source of solar energy called sunlight	gold
79	a pulley is used to lift a flag on a flagpole	nongold
80	night is low in light; in visibility	nongold
81	when the Sun is located directly overhead , it is located at the highest point in the sky	nongold
82	darkness occurs at night	nongold
83	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
84	the sun is a kind of yellow dwarf	nongold
85	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
86	the sun rising; setting occurs once per day	nongold
87	a student is a kind of human	nongold
88	if something is outside during the day then that something will receive sunlight	nongold
89	visible means able to be seen	nongold
90	all the time means at day and at night	nongold
91	a decrease is a kind of change	nongold
92	high is similar to increase	nongold
93	hours are a kind of unit for measuring time	nongold
94	how long something takes is a kind of measurement of time	nongold
95	closer means lower; less; a decrease in distance	nongold
96	solar energy is a kind of light	nongold
97	as distance from an object decreases , that object will appear larger	nongold
98	the number of parts of something is a property of that something	nongold
99	the sun is a source of radiation; heat called sunlight	nongold
