Question	Which situation is an example of an inherited trait?	question
Answer	lions preying on zebras	answer
0	a zebra is a kind of animal	gold
1	lion eat zebras	gold
2	a lion is a kind of mammal	nongold
3	a lion is a kind of animal	gold
4	a tiger is a kind of animal	nongold
5	trait is synonymous with characteristic	gold
6	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
7	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
8	an animal is a kind of living thing	nongold
9	a kind of something is an example of that something	nongold
10	a bear is a kind of predator	nongold
11	species is an inherited characteristic	nongold
12	a living thing is a kind of object	nongold
13	reproductive behavior is an inherited characteristic	nongold
14	to prey on an animal means to eat that animal	gold
15	a panther is a kind of predator	nongold
16	fur is usually part of a mammal	nongold
17	predators eat prey	nongold
18	a mammal is a kind of animal	nongold
19	a predator is a kind of animal	nongold
20	an inherited characteristic is a kind of characteristic	nongold
21	an organism is a living thing	nongold
22	an animal is a kind of organism	nongold
23	prey  is a kind of animal	nongold
24	a predator eats other animals for food	nongold
25	a behavior is a kind of characteristic	nongold
26	fur is often part of an animal	nongold
27	a jaguar is a kind of big cat	nongold
28	a predator usually kills its prey to eat it	nongold
29	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
30	an animal; living thing requires nutrients for survival	nongold
31	an organism's environment affects that organism's acquired characteristics	nongold
32	a kangaroo is a kind of animal	nongold
33	a cat is a kind of carnivore	nongold
34	the color of; coloration of fur is an inherited characteristic	nongold
35	prey is a kind of food for predators	nongold
36	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
37	trait means property	nongold
38	the  diet of an animal is an inherited characteristic	gold
39	an adaptation is a kind of characteristic	nongold
40	panda is a kind of animal	nongold
41	leopard is a kind of animal	nongold
42	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
43	animal instinct means instinctive behavior	nongold
44	killing means harming something causing death	nongold
45	a cat is a kind of mammal	nongold
46	an organism eating is a kind of action	nongold
47	if an organism eats something then that something is a source of frood to that organism	nongold
48	a cheetah is a kind of animal	nongold
49	feature is synonymous with characteristic	nongold
50	adaptation is when an organism develops a trait over time for survival	nongold
51	become prey means get eaten	nongold
52	an animal needs to eat food for nutrients	nongold
53	a tiger is big in size	nongold
54	genes are able to determine the inherited characteristics of a living thing	nongold
55	adaptations are used for survival	nongold
56	a bear is a kind of animal	nongold
57	eating prey requires catching prey	nongold
58	characteristic means property	nongold
59	mammals is a kind of class	nongold
60	An example of an instinct is the kangaroo's ability to crawl into its mother's pouch to drink milk	nongold
61	killing means changing a living thing from alive to dead by harming	nongold
62	howling is a kind of behavior	nongold
63	a cat is a kind of animal	nongold
64	an amphibian is a kind of animal	nongold
65	coloration is a kind of adaptation for hiding;camouflage	nongold
66	inherited characteristics can change over several generations	nongold
67	organisms are a part of an environment	nongold
68	hunting requires seeing; sensing prey	nongold
69	An example of camouflage is when something is; has the same color as its environment	nongold
70	the colors of parts of an organism are inherited characteristics	nongold
71	animals learn some behaviors from watching their parents	nongold
72	a type is synonymous with a kind	nongold
73	food is what an animal eats	nongold
74	to eat means to consume food	nongold
75	hunting is a kind of action	nongold
76	wolves eat elk; deer	nongold
77	inherited characteristics are a kind of hereditary information	nongold
78	eating an animal; a plant means killing that animal; that plant	nongold
79	phenotype of an organism means the visible traits of  an organism	nongold
80	survive means live	nongold
81	survive means live	nongold
82	a reptile is a kind of animal	nongold
83	mammals birth; give birth to live young	nongold
84	the condition of parts of an organism are acquired characteristics	nongold
85	to breed is similar to to reproduce	nongold
86	most predators live in; live near the same environment as their prey	nongold
87	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
88	an eagle is a kind of predator	nongold
89	some predators move  quickly to  catch prey	nongold
90	cub is a kind of offspring	nongold
91	food is a kind of object	nongold
92	a bird is a kind of living thing	nongold
93	selective breeding is when an organism receives selective genetic traits from its parents by human design	nongold
94	the number of body parts of an organism is an inherited characteristic	nongold
95	an event is a kind of action	nongold
96	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
97	affected means changed	nongold
98	an animal is a member of an animal species	nongold
99	the size of an organism is an inherited characteristic	nongold
