Question	A student is given a liquid compound in a beaker. Which of the following is the best way to describe this liquid compound?	question
Answer	indefinite shape, definite volume	answer
0	indefinite means variable	gold
1	definite is the opposite of variable	gold
2	Matter in the solid phase has definite shape	nongold
3	if something is definite in shape then that something will not change shape easily	nongold
4	Matter in the liquid phase has definite volume	gold
5	Matter in the solid phase has definite volume	nongold
6	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
7	fixed is similar to definite	nongold
8	a beaker is used for measuring the volume of substances	nongold
9	volume is a property of matter	nongold
10	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
11	Matter in the liquid phase has variable shape	gold
12	shape is a kind of physical property	nongold
13	shape is a property of an object	nongold
14	the volume of an object can be used to describe  the size of that object	nongold
15	a student is a kind of human	nongold
16	Matter in the gas phase has variable shape	nongold
17	shape of the parts of something is a property of that something	nongold
18	definite shape means the shape of an object stays the same when moved to different spot	nongold
19	structure is similar to shape	nongold
20	if something has a definite volume , then its volume will not change when transferred into a different container	nongold
21	a liquid is a kind of substance	nongold
22	the properties of something are used for describing that something	nongold
23	volume has no impact on boiling; melting; freezing point	nongold
24	shape is a property of the appearance of an object	nongold
25	beaker is a kind of container	gold
26	euglena has definite shape	nongold
27	a compound is a kind of substance	gold
28	compound is a kind of chemical	nongold
29	Matter in the gas phase has variable volume	nongold
30	a compound is a kind of material	nongold
31	length is a property of the shape of an object	nongold
32	matter with variable shape changes shape in different container	nongold
33	surface area is a property of shape	nongold
34	variability of shape; variability of volume is a kind of physical property	nongold
35	variable means able to change	nongold
36	a chemical compound is a kind of compound	nongold
37	density is a measure of mass of an object over volume; divided by volume	nongold
38	shape is a kind of characteristic	nongold
39	all elements are a kind of pure substance	nongold
40	a human is a kind of animal	nongold
41	straight is a kind of shape	nongold
42	objects are made of materials; substances; matter	nongold
43	can be means able to be	nongold
44	water is a kind of compound	nongold
45	if a substance is made of one element , then the substance is called an element	nongold
46	an object is made of its parts	nongold
47	size; amount of space means volume	nongold
48	a compound is made of two or more elements that have been chemically combined	nongold
49	elliptical is a kind of shape	nongold
50	elliptical is a kind of shape	nongold
51	if a substance has volume , then the substance takes up space	nongold
52	a compound can be chemically separated into the elements that it is made of	nongold
53	substances are made of molecules	nongold
54	liquid is a kind of state of matter	gold
55	shape is an extensive property	nongold
56	substances are made of elements	nongold
57	a chemical property is the opposite of a physical property	nongold
58	An example of a chemical property is the elements a compound is made of	nongold
59	a source of something emits; produces; generates; provides that something	nongold
60	if an object is made of a material then that object has the properties of that material	nongold
61	heat means heat energy	nongold
62	substances are made of matter	gold
63	chlorine is a kind of element	nongold
64	if something is dissolved , then that something is the solute	nongold
65	the shape  of an object can be discovered through feeling that object; touching that object	nongold
66	a paramecium cannot change its shape	nongold
67	to be made of something means to be formed of that something	nongold
68	if something is made of something; a material then that something contains that something; that material	nongold
69	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
70	an element is a kind of material	nongold
71	substances have chemical properties	nongold
72	an element is a kind of  substance	nongold
73	measuring is used for describing an object	nongold
74	material means substance	nongold
75	matter; materials; substances are made of atoms; particles	nongold
76	if an object has a small volume and large mass , then the object will  have a high density	nongold
77	width is a property of size; shape and includes ordered values of narrow; wide	nongold
78	quantity means amount	nongold
79	a physical property is a kind of property	nongold
80	to add means to increase	nongold
81	when a flexible container is filled with a substance , then the volume of the container will be the volume of the substance	nongold
82	temperature changing can cause volume of the object to change	nongold
83	a solid is a kind of substance	nongold
84	volume is an extensive property	nongold
85	form means kind	nongold
86	composed of means made of	nongold
87	a  chemical property is a kind of  property	nongold
88	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
89	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
90	round means circular in shape	nongold
91	matter is made of molecules	nongold
92	materials are made of matter	nongold
93	placing an object into a liquid causes the volume of the liquid to increase by the volume of object under the liquid	nongold
94	hydrogen is a kind of element	nongold
95	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
96	depth is a property of the shape of an object	nongold
97	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
98	temperature is a measure of heat energy	nongold
99	not is similar to the opposite of	nongold
