Question	The Moon orbits Earth at a speed of approximately one kilometer per second. The Moon is kept in orbit by which of the following?	question
Answer	gravity	answer
0	the moon orbits the Earth	gold
1	to keep something occurring means to cause that something to occur	gold
2	the moon orbiting the Earth occurs approximately 13 times per year	nongold
3	gravity causes orbits	gold
4	the Moon is Earth's moon	nongold
5	to keep a process or event happening is similar to causing that process or event to happen	nongold
6	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
7	moons orbit planets	nongold
8	a moon is a kind of celestial object; body	nongold
9	orbiting is a kind of action	gold
10	revolving  around something means orbiting that something	nongold
11	keeping means staying	nongold
12	Earth is a kind of planet	nongold
13	the moon orbiting the Earth occurs once per month	nongold
14	a moon is a kind of satellite	nongold
15	moons are large; solid; spherical	nongold
16	a planet is a kind of celestial object; body	nongold
17	approximately means about	nongold
18	orbit means orbital path	nongold
19	satellites; spacecraft launched from Earth need to reach a specific speed to escape Earth's surface to overcome earth's gravitational force	nongold
20	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
21	the moon rotates on its axis	nongold
22	the moon's orbit is elliptical	nongold
23	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
24	the Earth revolves around the sun	nongold
25	meters;centimeters;kilometers are used to describe distance; describe length	nongold
26	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
27	a motion is a kind of event; action	nongold
28	gravity is a kind of force	nongold
29	seconds are a kind of unit for measuring time	nongold
30	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
31	faster means an increase; higher in speed	nongold
32	speed is a measure of how fast an object is moving	nongold
33	the earth has more mass than the moon	nongold
34	a revolution occurs when something revolves around something else	nongold
35	an increase is a kind of change	nongold
36	high is similar to increase	nongold
37	rate is similar to speed	nongold
38	type of moon; kind of moon means moon phase	nongold
39	m/s means meters per second	nongold
40	an animal is a kind of living thing	nongold
41	a revolution of the moon around the Earth takes 1; one month	nongold
42	an event is a kind of action	gold
43	speed up means increase	nongold
44	the lowest gravitational pull is during a quarter moon	nongold
45	to create means to make	nongold
46	seconds are used to measure time	nongold
47	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
48	revolving is a kind of motion	nongold
49	a planet's  moon is smaller than that planet	nongold
50	speed is a property of an object and includes values of slow; fast	nongold
51	high speed means fast	nongold
52	a human is a kind of animal	nongold
53	to produce means to create	nongold
54	setting is a kind of motion	nongold
55	keeping is similar to storing	nongold
56	a source of something emits; produces; generates; provides that something	nongold
57	a full moon is a kind of phase of the moon	nongold
58	revolving is a kind of action	nongold
59	pulling is a kind of motion	nongold
60	motion; movement means moving; to move	nongold
61	an orbit is a kind of regular path	nongold
62	if an object escapes the gravitational pull of a planet then that object is no longer affected by the gravitational pull of that planet	nongold
63	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
64	a meter is a kind of unit for measuring distance; measuring length	nongold
65	a change is a kind of event	nongold
66	to keep something from happening means to prevent that something	nongold
67	the Earth rotates on its axis	nongold
68	the moon is the celestial object that is closest to the  Earth	nongold
69	can be means able to be	nongold
70	to slow; to slow down decreases speed	nongold
71	the mass of a planet causes the pull of gravity on that planet	nongold
72	to form means to create	nongold
73	answering questions requires information	nongold
74	a process is a kind of event	nongold
75	twice the speed of is simiar to  faster	nongold
76	to make means to form	nongold
77	slowest means lowest in  speed	nongold
78	if something releases something else then that something is the source of that something else	nongold
79	how long something takes is a kind of measurement of time	nongold
80	the Moon is closer to the Earth than the Sun	nongold
81	creating means making	nongold
82	a moon is located in space	nongold
83	instantaneously means short in time	nongold
84	to generate means to create	nongold
85	to turn means to change	nongold
86	a living thing is a kind of object	nongold
87	orbit is a kind of characteristic	nongold
88	composed of means made of	nongold
89	moving is similar to travelling	nongold
90	to cause means to make	nongold
91	a component means a part of	nongold
92	a component of something means a part of that something	nongold
93	variable means able to change	nongold
94	planets orbit stars	nongold
95	rotation is a kind of motion	nongold
96	if something transfers something else then that something is a source of something else	nongold
97	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
98	make means produce	nongold
99	a full moon occurs after a waxing gibbous moon	nongold
