Question	Which of these are broken down during chemical, but not physical, changes?	question
Answer	compounds	answer
0	chemical change is the opposite of physical change	nongold
1	if something undergoes a physical change then the physical properties of that something will change	nongold
2	if something undergoes physical change then the chemical properties of that something will remain unchanged	nongold
3	chemicals means substances	nongold
4	An example of a chemical change is acid breaking down substances	nongold
5	chemical reactions cause chemical change	nongold
6	if a substance is mixed with another substance then those substances will undergo physical change	nongold
7	a physical property is a kind of property	nongold
8	if something is made of something else then that something can be broken down into that something else	nongold
9	a chemical property is the opposite of a physical property	nongold
10	compound is a kind of chemical	nongold
11	acid can cause chemical change	nongold
12	a compound can be chemically separated into the elements that it is made of	gold
13	a compound is a kind of substance	nongold
14	An example of a chemical property is the elements a compound is made of	nongold
15	substances are made of elements	nongold
16	state of matter is a kind of physical property	nongold
17	substances are made of molecules	nongold
18	chemical composition is a kind of property	nongold
19	state of matter means physical state	nongold
20	break down is the opposite of put together	nongold
21	substances are made of matter	nongold
22	a  chemical property is a kind of  property	nongold
23	physical state means state of matter	nongold
24	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
25	a compound is made of two or more elements that have been chemically combined	nongold
26	organisms are made of organic compounds	nongold
27	matter; materials; substances are made of atoms; particles	nongold
28	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
29	all elements are a kind of pure substance	nongold
30	substances have chemical properties	nongold
31	material composition is a kind of chemical property	nongold
32	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
33	a chemical compound is a kind of compound	nongold
34	chemical reactions cause new substances; different substances to form	nongold
35	combining; mixing two substances chemically causes chemical reactions	nongold
36	a compound is a kind of material	nongold
37	carbon is a kind of element	nongold
38	state of matter at room temperature is a kind of physical property	nongold
39	chemical compounds contain chemical bonds between atoms; between elements	nongold
40	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
41	to change means to cause a change	nongold
42	composition is a property of an object; matter	nongold
43	if an object undergoes chemical change then that object will have new chemical properties	nongold
44	a phase change is a kind of physical change	nongold
45	when two substances together form a compound then those substances cannot be physically separated	gold
46	matter is made of molecules	nongold
47	objects are made of materials; substances; matter	nongold
48	forming something is a kind of change	nongold
49	made up of means contains; made of	nongold
50	plant and animal matter means organic matter	nongold
51	adding something is a kind of change	nongold
52	water is a kind of compound	nongold
53	a change is a kind of event	nongold
54	nitrogen is a kind of element	nongold
55	an increase is a kind of change	nongold
56	if a substance is made of one element , then the substance is called an element	nongold
57	a molecule is the smallest particle; unit that has the properties of a compound	nongold
58	affected means changed	nongold
59	chemical change is a kind of chemical reaction	nongold
60	hydrogen is a kind of element	nongold
61	materials are made of matter	nongold
62	to break down means to break into smaller pieces	nongold
63	an element is a kind of  substance	nongold
64	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
65	nutrients are a kind of matter	nongold
66	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
67	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
68	chemical reaction means chemical bonds change	nongold
69	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
70	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
71	made of is similar to contains	nongold
72	solid is a kind of state of matter	nongold
73	composed of means made of	nongold
74	if solids are combined physically , then the physical properties of the solids will stay the same	nongold
75	an organism is made of organic matter	nongold
76	breaking down is a kind of forming	nongold
77	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
78	classifying means grouping objects; materials by their properties	nongold
79	a physical reaction is a kind of process	nongold
80	living things are made of organic molecules	nongold
81	composition means the (materials, substances) of which something is composed	nongold
82	material means substance	nongold
83	oxygen  is a kind of element	nongold
84	an element is made of one kind of atoms	nongold
85	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
86	variable means able to change	nongold
87	the nitrogen family is a kind of group in periodic table	nongold
88	liquid is a kind of state of matter	nongold
89	to be made of something means to be formed of that something	nongold
90	classifying is when one sorts something by kind; type	nongold
91	if something is made of something; a material then that something contains that something; that material	nongold
92	state means form	nongold
93	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
94	the effects of something is a property of that something	nongold
95	change is a kind of impact	nongold
96	a pure substance is made of only one kind of atom; molecule	nongold
97	can be means able to be	nongold
98	zinc chloride is a kind of compound	nongold
99	changed is the opposite of unchanged	nongold
