Question	Which of the following is an example of how insects are beneficial to humans?	question
Answer	Insects pollinate flowering plants.	answer
0	helping something has a  positive impact on that something	nongold
1	An insect is a pollinating animal	gold
2	pollinator means pollinating animal	nongold
3	pollination requires pollinators; pollinating animals	gold
4	a flower is a part of a plant for attracting pollinators; producing seeds	nongold
5	an insect is a kind of animal	nongold
6	to be good for means to have a positive impact on	nongold
7	pollination is when pollinating animals; wind; water carry pollen from one flower to another flower	nongold
8	a human is a kind of animal	gold
9	an animal is a kind of organism	nongold
10	a flower is a kind of plant	nongold
11	plant reproduction; seed production requires pollination	gold
12	an animal is a kind of living thing	gold
13	a flower is a source of nectar	nongold
14	pollination is a kind of process for plant reproduction	gold
15	good means positive	nongold
16	a plant is a kind of organism	nongold
17	green plants are a kind of producer	nongold
18	a flower contains pollen for sexual reproduction	nongold
19	pollen is part of a flower for reproduction	nongold
20	beneficial means helpful	gold
21	a plant is a kind of living thing	gold
22	to help; to benefit means to be of use	nongold
23	a plant; living thing requires food for survival	nongold
24	an animal; living thing requires nutrients for survival	gold
25	if a living thing requires something then that something has a positive impact on that living thing	gold
26	a kind of something is an example of that something	nongold
27	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
28	an animal needs to eat food for nutrients	gold
29	pollinated means after pollination	nongold
30	In the flowering plant life cycle , pollination is part of reproduction	nongold
31	an organism is a living thing	nongold
32	a flower produces pollen and seeds	nongold
33	human is a kind of organism	nongold
34	nectar is used for attracting pollinators by plants	nongold
35	plant reproduction often requires pollen	nongold
36	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
37	plants are a part of the environment	nongold
38	a producer is a kind of living thing	nongold
39	a human is a kind of mammal	nongold
40	organisms are a part of an environment	nongold
41	a positive impact is  a benefit	nongold
42	a living thing is a kind of object	nongold
43	harming something has a  negative impact on; effect on that something	nongold
44	pollinating is a kind of function	nongold
45	a source of something emits; produces; generates; provides that something	nongold
46	humans sometimes eat seeds	nongold
47	polluting means something harmful; something poisonous is added in an environment causes harm in the environment	nongold
48	In the flowering plant life cycle , flowering is part of reproduction	nongold
49	person is synonymous with human	nongold
50	an insect is a kind of prey	nongold
51	something harmful can cause harm	nongold
52	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
53	a plant; living thing requires nutrients to grow	nongold
54	a flower is a kind of object	nongold
55	bees eat pollen	nongold
56	A bee is a pollinating animal	nongold
57	a plant requires photosynthesis to grow; survive	nongold
58	eating something that contains pollutants has a negative impact on an organism's survival; health; ability to reproduce	nongold
59	a leaf is a part of a  green plant	nongold
60	having food has a positive impact on an organism's health	nongold
61	flowers often have a sweet smell to attract pollinators	nongold
62	a leaf is a kind of plant	nongold
63	to eat means to consume food	nongold
64	requiring is similar to needing help	nongold
65	a mammal is a kind of animal	nongold
66	a pollutant is a kind of substance	nongold
67	negative impact is the opposite of positive impact	nongold
68	as the amount of fragrance of a flower increases , the number of pollinators it will attract increases	nongold
69	many animals are herbivores	nongold
70	to be used for something means to be required by that something	nongold
71	a food contains nutrients for living things	gold
72	an ant is a kind of insect	nongold
73	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
74	consumers eat other organisms	nongold
75	A bird is a pollinating animal	nongold
76	all living things grow	nongold
77	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
78	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
79	In the flowering plant life cycle , fruiting is part of reproduction	nongold
80	to depend on; to rely on; to need means to require	nongold
81	an animal is a kind of consumer	nongold
82	absorbing something harmful has a negative impact on a thing	nongold
83	food is what an animal eats	nongold
84	vegetation means plants	nongold
85	a fern is a kind of plant	nongold
86	insects can have a negative impact on crops	nongold
87	decreasing something negative has a positive impact on a thing	nongold
88	most insects reproduce by sexual reproduction	nongold
89	carnivores; omnivores; herbivores are a kind of animal	nongold
90	a wildflower is a kind of flower	nongold
91	to cause means to have an effect	nongold
92	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
93	polluting means something poisonous is added to an environment	nongold
94	herbivores only eat plants	nongold
95	to change means to have an effect	nongold
96	better means good	nongold
97	a flower's purpose is to produce seeds	nongold
98	living things eat their food source	nongold
99	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
