Question	Which form of energy is needed to change water from a liquid to a gas?	question
Answer	heat	answer
0	form means kind	gold
1	water is a kind of liquid at room temperature	gold
2	water is a kind of substance	nongold
3	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
4	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
5	state means form	nongold
6	temperature is a measure of heat energy	nongold
7	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
8	water is a kind of matter	nongold
9	heat means heat energy	nongold
10	heat is a kind of energy	gold
11	to depend on; to rely on; to need means to require	nongold
12	heating means adding heat	nongold
13	a liquid is a kind of substance	nongold
14	requiring something means needing that something	nongold
15	gas is a kind of substance	nongold
16	heat energy can change the state of matter	nongold
17	to be required means to be necessary	nongold
18	to convert means to change	nongold
19	gas is a kind of state of matter	nongold
20	liquid is a kind of state of matter	nongold
21	an increase is a kind of change	nongold
22	heat energy is synonymous with thermal energy	nongold
23	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
24	to add means to increase	nongold
25	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
26	if something causes a process then that something is required for that process	nongold
27	to be used for something means to be required by that something	nongold
28	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
29	boiling is a kind of phase change	nongold
30	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
31	evaporating is a kind of phase change	nongold
32	adding heat means increasing temperature	gold
33	energy transformation means one kind of energy changes into another kind of energy	nongold
34	thermal energy is a kind of energy	nongold
35	to change means to cause a change	nongold
36	a source of something emits; produces; generates; provides that something	nongold
37	water is a kind of water phase	nongold
38	to change means to have an effect	nongold
39	a liquid is a kind of fluid	nongold
40	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
41	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
42	forming is similar to converting	nongold
43	water is a kind of object	nongold
44	change is a kind of process	nongold
45	solid is a kind of state of matter	nongold
46	water is an thermal; thermal energy conductor	nongold
47	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
48	gas is a kind of material	nongold
49	a decrease is a kind of change	nongold
50	gas is a kind of object	nongold
51	vapor is synonymous with gas	nongold
52	high is similar to increase	nongold
53	variable means able to change	nongold
54	requiring is similar to needing help	nongold
55	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
56	to change into means to form	nongold
57	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
58	melting is a kind of phase change	nongold
59	heat means temperature increases	nongold
60	to turn means to change	nongold
61	phase means state	nongold
62	forming something is a kind of change	nongold
63	if the component of something changed , then the whole thing will change	nongold
64	affected means changed	nongold
65	substances are made of matter	nongold
66	adding something is a kind of change	nongold
67	temperature changing can cause phase changes	nongold
68	heat means the transfer of thermal energy	nongold
69	a container contains objects; material; substances	nongold
70	warm means medium heat energy; temperature	nongold
71	to turn means to convert	nongold
72	can be means able to be	nongold
73	a hot; warm something is a source of heat	nongold
74	if an event occurs by adding something then that event requires that something	nongold
75	hot means high in heat energy; temperature	nongold
76	objects are made of materials; substances; matter	nongold
77	gaseous means of gas	nongold
78	to transform means to convert	nongold
79	convert is similar to transfer	nongold
80	must have means require	nongold
81	materials are made of matter	nongold
82	an increase is the opposite of a decrease	nongold
83	transfer is a kind of change	nongold
84	formation of a state of matter is a kind of process	nongold
85	to make means to form	nongold
86	reducing is a kind of change	nongold
87	boiling is when liquids are heated above their boiling point	gold
88	a  gas is a kind of  element	nongold
89	freezing is a kind of phase change	nongold
90	to give off means to be the source of	nongold
91	moisture means liquid; liquid water	nongold
92	solution is a kind of liquid	nongold
93	to be formed by is similar to being produced by	nongold
94	to modify means to change	nongold
95	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
96	chemical energy is a kind of energy	nongold
97	a change is a kind of event	nongold
98	state of matter means physical state	nongold
99	material means substance	nongold
