Question	Scientists perform experiments to test hypotheses. How do scientists try to remain objective during experiments?	question
Answer	Scientists analyze all results.	answer
0	analyzing all results has a  positive impact on the effort to remain objective during experiments	gold
1	a scientist is a kind of human	nongold
2	experiment is synonymous with test	nongold
3	result means outcome	nongold
4	observations; data are a part of the results of an experiment	nongold
5	to try means to make an effort	gold
6	testing often requires measuring	nongold
7	experimentation requires measuring	nongold
8	performing multiple trials of the same experiment increases the likelihood of obtaining accurate experiment results	nongold
9	a hypothesis is a kind of scientific term	nongold
10	scientists make observations	nongold
11	hypothesis means scientific guess about the cause and effect of an event	nongold
12	examining is a kind of process	nongold
13	to produce means to result in	nongold
14	to cause means to result in	nongold
15	comparing data increases; improves the likelihood of obtaining accurate experiment results	nongold
16	to repeat an experiment means to perform multiple trials of the same experiment	nongold
17	helping something has a  positive impact on that something	nongold
18	if an experiment is repeated then the results are more likely to be correct due to fewer errors being made	nongold
19	negative impact is the opposite of positive impact	nongold
20	a theory is more accepted; tested than a hypothesis	nongold
21	researcher is a kind of scientist	nongold
22	a process is a kind of event	nongold
23	to remain means to not change	nongold
24	if something performs a task then that task is that something's function	nongold
25	chemical splashing sometimes occurs during experiments	nongold
26	investigation sometimes requires experimentation	nongold
27	a theory is a kind of idea that has been tested and supported by results repeatedly	nongold
28	a human is a kind of animal	nongold
29	a process usually requires all of the stages in that process	nongold
30	impact means effect	nongold
31	a source of something emits; produces; generates; provides that something	nongold
32	a result of something is evidence of that something	nongold
33	an event is a kind of action	nongold
34	good means positive	nongold
35	harming something has a  negative impact on; effect on that something	nongold
36	high is similar to increase	nongold
37	process is similar to method	nongold
38	answering questions requires information	nongold
39	an increase is a kind of change	nongold
40	can be means able to be	nongold
41	change is a kind of process	nongold
42	research is used for learning	nongold
43	solution is similar to a positive impact	nongold
44	product means result	nongold
45	a part of a process means a stage in a process	nongold
46	requiring is similar to needing help	nongold
47	better means good	nongold
48	trial is synonymous with test	nongold
49	to create means to make	nongold
50	a reaction is a kind of process	nongold
51	to produce means to create	nongold
52	bias can cause error in an experiment	nongold
53	to remain means to stay where it is	nongold
54	a negative impact is a kind of consequence; risk	nongold
55	to impact means to affect	nongold
56	best means most positive	nongold
57	making a valid conclusion in an investigation requires a testable hypothesis	nongold
58	to be formed by is to be the result of	nongold
59	an organism is a living thing	nongold
60	a scientific inference is a kind of explanation based on facts that is not a direct observation	nongold
61	change is a kind of impact	nongold
62	producing is a kind of process	nongold
63	to happen means to occur	nongold
64	An example of evidence for a scientific theory is observations	nongold
65	a research team is made of humans	nongold
66	high-quality means positive	nongold
67	a type is synonymous with a kind	nongold
68	to be good for means to have a positive impact on	nongold
69	a theory is a kind of scientific term	nongold
70	a change is a kind of event	nongold
71	to form means to create	nongold
72	measuring is a kind of science skill	nongold
73	affected means changed	nongold
74	generate means produce	nongold
75	to change means to have an effect	nongold
76	to provide something means to be the source of that something	nongold
77	a physicist is a kind of scientist	nongold
78	human is a kind of organism	nongold
79	creating means making	nongold
80	the function of something is what that something  is used to do	nongold
81	to conclude means to make a conclusion	nongold
82	if something releases something else then that something is the source of that something else	nongold
83	form means kind	nongold
84	determine is similar to cause	nongold
85	to generate means to create	nongold
86	instrument means tool	nongold
87	something is used for that something's purpose	nongold
88	incomplete is the opposite of complete	nongold
89	to generate means to form	nongold
90	a problem has a negative impact on a thing	nongold
91	if something requires something else then that something requires a source of that something else	nongold
92	emit means produce	nongold
93	to make means to form	nongold
94	formation of a state of matter is a kind of process	nongold
95	a source of something increases the amount of that something	nongold
96	a kind of something is an example of that something	nongold
97	creating is similar to causing	nongold
98	to increase is similar to to create	nongold
99	something that happens is a kind of event	nongold
