Question	Which statement describes all matter?	question
Answer	All matter is made up of atoms.	answer
0	matter; materials; substances are made of atoms; particles	gold
1	made up of means contains; made of	nongold
2	the properties of something are used for describing that something	nongold
3	composed of means made of	nongold
4	an  element is a kind of atom	nongold
5	the basic unit of matter is atom	nongold
6	objects are made of materials; substances; matter	nongold
7	an atom is a kind of object	nongold
8	atoms are made of particles	nongold
9	to be made of means to consist of	nongold
10	materials are made of matter	nongold
11	to be made of something means to be formed of that something	nongold
12	particles in objects are a kind of matter	nongold
13	an atom is the smallest particle; unit that has the properties of an element	nongold
14	substances are made of matter	nongold
15	a pure substance is made of only one kind of atom; molecule	nongold
16	atom cannot be divided into smaller substances	nongold
17	an atom is exceptionally small in size	nongold
18	composition means the (materials, substances) of which something is composed	nongold
19	matter is made of molecules	nongold
20	substances are made of elements	nongold
21	a molecule is made of atoms chemically combined; bonded	nongold
22	composition is a property of an object; matter	nongold
23	if something is made of something else then that something can be broken down into that something else	nongold
24	an element is made of one kind of atoms	nongold
25	all elements are a kind of pure substance	nongold
26	a whole is formed by its parts	nongold
27	measuring is used for describing an object	nongold
28	an object is made of its parts	nongold
29	a molecule is a kind of object	nongold
30	to split means to break down	nongold
31	form means kind	nongold
32	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
33	an element is a kind of  substance	nongold
34	can be means able to be	nongold
35	made of is similar to contains	nongold
36	an atom is made of protons; neutrons; electrons	nongold
37	material means substance	nongold
38	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
39	to split means to divide	nongold
40	structure is a property of an object; a material; a substance	nongold
41	to be formed by is similar to being produced by	nongold
42	a molecule is a kind of particle	nongold
43	composition is a kind of information	nongold
44	if something is made of something; a material then that something contains that something; that material	nongold
45	information is used to describe something	nongold
46	mass; weight is a property of matter; objects; materials	nongold
47	an element is a kind of material	nongold
48	products are formed; are produced; are created	nongold
49	substances are made of molecules	nongold
50	gas is a kind of state of matter	nongold
51	a molecule is the smallest particle; unit that has the properties of a compound	nongold
52	classifying means grouping objects; materials by their properties	nongold
53	interatomic means existing or acting between atoms	nongold
54	hydrogen is a kind of element	nongold
55	state means form	nongold
56	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
57	to disperse means to separate	nongold
58	weight is a property of objects; matter	nongold
59	the parts of something make up that something	nongold
60	a structure of something is synonymous with a part of that something	nongold
61	provide is similar to give; make	nongold
62	hydrogen is a kind of gas at room temperature	nongold
63	to contain means to have inside	nongold
64	make means produce	nongold
65	a component means a part of	nongold
66	a type is synonymous with a kind	nongold
67	to group means to separate	nongold
68	air is a kind of matter	nongold
69	unit is similar to part	nongold
70	including means containing	nongold
71	a container contains objects; material; substances	nongold
72	liquid is a kind of state of matter	nongold
73	something's function can be used to describe; identify that something	nongold
74	formation of a state of matter is a kind of process	nongold
75	to be made of is similar to collection	nongold
76	oxygen  is a kind of element	nongold
77	to form means to create	nongold
78	solid is a kind of state of matter	nongold
79	a molecule is exceptionally small in size	nongold
80	a source of something emits; produces; generates; provides that something	nongold
81	to create means to make	nongold
82	gas is a kind of substance	nongold
83	to produce means to create	nongold
84	a  gas is a kind of  element	nongold
85	mass is a property of objects; matter	nongold
86	a particle is a kind of object	nongold
87	to make means to form	nongold
88	volume is a property of matter	nongold
89	the properties of something can be used to identify; used to describe that something	nongold
90	if something is made of something else , then that something else will be the component of that something	nongold
91	a nonmetal is a kind of element	nongold
92	affected means changed	nongold
93	the volume of an object can be used to describe  the size of that object	nongold
94	break down is the opposite of put together	nongold
95	to cause means to make	nongold
96	to give is similar to to cause	nongold
97	to convert means to change	nongold
98	a living thing is a kind of object	nongold
99	gas is a kind of material	nongold
