Question	Oxygen reacts with iron to produce rust and with hydrogen to produce water. Which statement describes both reactions?	question
Answer	New molecules are formed but the same elements exist.	answer
0	metal rusts	nongold
1	iron in contact with water and oxygen will rust	nongold
2	rust is a kind of compound	nongold
3	rust forming is a kind of chemical change	nongold
4	rust is a kind of substance	nongold
5	rusting means forming rust	nongold
6	chemical reactions cause new substances; different substances to form	gold
7	iron oxide; rust; Fe2O3 is made of iron and oxygen	gold
8	products are formed; are produced; are created	nongold
9	a molecule is made of atoms chemically combined; bonded	nongold
10	new means different from the former one	nongold
11	oxygen  is a kind of element	gold
12	iron is a kind of element	gold
13	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
14	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
15	substances are made of molecules	gold
16	hydrogen is a kind of element	gold
17	iron is a kind of metal	nongold
18	water is made of hydrogen and oxygen	gold
19	iron is a kind of solid	nongold
20	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
21	a source of something emits; produces; generates; provides that something	nongold
22	an element is made of one kind of atoms	nongold
23	an  element is a kind of atom	nongold
24	to be formed by is similar to being produced by	nongold
25	when a metal rusts , that metal becomes orange; flaky on the surface	nongold
26	water is a kind of compound	nongold
27	a metal is a kind of element	nongold
28	form means kind	nongold
29	chemical reactions cause chemical change	nongold
30	chemical reaction means chemical bonds change	nongold
31	oxygen is a part of many organic molecules	nongold
32	a compound is made of two or more elements that have been chemically combined	nongold
33	water is a kind of liquid at room temperature	nongold
34	chemical change is a kind of chemical reaction	nongold
35	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
36	a compound can be chemically separated into the elements that it is made of	nongold
37	if the elements have similar chemical reactivity , then the elements will react with other elements in a similar way	nongold
38	an element is a kind of  substance	nongold
39	generate means produce	nongold
40	to be made of something means to be formed of that something	nongold
41	substances are made of elements	nongold
42	chemical compounds contain chemical bonds between atoms; between elements	nongold
43	the properties of something are used for describing that something	nongold
44	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
45	to cause the formation of means to form	nongold
46	water contains dissolved oxygen	nongold
47	oxygen is a kind of gas at room temperature	nongold
48	forming is similar to converting	nongold
49	converting is similar to producing	nongold
50	combining; mixing two substances chemically causes chemical reactions	nongold
51	water is a kind of matter	nongold
52	hydrogen is a kind of gas at room temperature	nongold
53	metal is a kind of substance	nongold
54	water is a kind of substance	nongold
55	nitrogen is a kind of element	nongold
56	compound is a kind of chemical	nongold
57	emit means produce	nongold
58	forming something is a kind of change	nongold
59	state means form	nongold
60	make means produce	nongold
61	carbon is a kind of element	nongold
62	nitrogen is a kind of gas	nongold
63	oxygen gas is made of only  oxygen element	nongold
64	if there is none of a thing then that thing does not exist	nongold
65	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
66	a pure substance is made of only one kind of atom; molecule	nongold
67	a molecule is the smallest particle; unit that has the properties of a compound	nongold
68	sulfur is a kind of element	nongold
69	water exists in three states on Earth	nongold
70	a  gas is a kind of  element	nongold
71	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
72	photosynthesis is a kind of chemical reaction	nongold
73	substances are made of matter	nongold
74	to change into means to form	nongold
75	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
76	An example of a chemical property is the elements a compound is made of	nongold
77	a molecule is a kind of particle	nongold
78	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
79	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
80	to produce means to create	nongold
81	a chemical compound is a kind of compound	nongold
82	same means identical; equal in value; amount; number; quantity	nongold
83	all elements are a kind of pure substance	nongold
84	a compound is a kind of substance	nongold
85	an element is a kind of material	nongold
86	a molecule is exceptionally small in size	nongold
87	to be formed by is to be the result of	nongold
88	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
89	matter is made of molecules	nongold
90	different is the opposite of the same	nongold
91	to make means to form	nongold
92	the  elements in the chemical reaction stays the same after the reaction	gold
93	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
94	liquid is a kind of state of matter	nongold
95	when one substance is dissolved in another substance then the molecules of that other substance exist in solution	nongold
96	iron sulfide is made of iron and sulfur	nongold
97	hydrogen contains chemical energy	nongold
98	chlorine is a kind of element	nongold
99	many types of molecules can be formed by carbon with covalent bonds	nongold
