Question	Which process allows green plants to control the amount of water stored in their leaves?	question
Answer	transpiration	answer
0	allowing is a kind of controlling	nongold
1	plants control the amount of water in their leaves through transpiration	gold
2	to enable means to allow	nongold
3	transpiration usually happens in the leaves of a plant	gold
4	transpiration is when water vapor moves from plants;leaves into the atmosphere	gold
5	to be used for is similar to allowing	nongold
6	transpiration is a kind of process of the water cycle	gold
7	storing water increases the water available to organisms in a dry environment	nongold
8	In the water cycle , transpiration always follows plant uptake	nongold
9	controlling the amount of pollution is similar to reducing the amount of pollution	nongold
10	controlling is a kind of function	nongold
11	a leaf is a part of a  green plant	nongold
12	storing water is a kind of adaptation	nongold
13	a leaf performs photosynthesis; gas exchange	nongold
14	if something is required for something else then that something allows that something else	nongold
15	a stem is used to store water by some plants	nongold
16	a leaf is a kind of plant	nongold
17	waxy leaves are used for storing water by some plants	nongold
18	causing is similar to allowing	nongold
19	a leaf is a part of a tree	nongold
20	a cactus stem is used for storing water	nongold
21	a tree is a kind of plant	nongold
22	green plants are a kind of producer	nongold
23	a plant is a kind of living thing	nongold
24	vegetation means plants	nongold
25	usually plants store the food they produce for future use	nongold
26	a cactus stores water	nongold
27	a plants; living things require water for survival; to grow	nongold
28	a tree is a kind of living thing	nongold
29	carbohydrates are used for storing;transporting energy	nongold
30	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
31	grass is a kind of green plant	nongold
32	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
33	a plant is a kind of organism	nongold
34	a process is a kind of event	nongold
35	maintain is similar to control	nongold
36	change is a kind of process	nongold
37	a process usually requires all of the stages in that process	nongold
38	In the food chain process a  green plant has the role of  producer	nongold
39	a vehicle for something allows; enables that something to occur	nongold
40	an increase is a kind of change	nongold
41	if a living thing requires something then that something has a positive impact on that living thing	nongold
42	growing is a kind of process	nongold
43	carbohydrates are a vehicle for storing;transporting energy	nongold
44	a leaf is a kind of plant organ	nongold
45	regulating is a kind of function	nongold
46	to store means to hold	nongold
47	requiring is similar to needing help	nongold
48	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
49	increase means more	nongold
50	if something converts one kind of energy into other kinds of energy then that something originally stores that energy as the first kind of energy	nongold
51	a body of water contains water	nongold
52	a part of a process means a stage in a process	nongold
53	to add means to increase	nongold
54	controlling a population is similar to decreasing a population	nongold
55	water is a kind of substance	nongold
56	evaporation is a kind of process	nongold
57	an animal's brain controls that animal	nongold
58	helping something has a  positive impact on that something	nongold
59	plants are a kind of resource	nongold
60	a decrease is a kind of change	nongold
61	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
62	if something causes a process then that something is required for that process	nongold
63	a source of something emits; produces; generates; provides that something	nongold
64	can be means able to be	nongold
65	a reaction is a kind of process	nongold
66	if something is made of something; a material then that something contains that something; that material	nongold
67	a shrub is a kind of plant	nongold
68	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
69	as the amount of water received by a plant increases , rate of growth of that plant will usually increase	nongold
70	water is a kind of liquid at room temperature	nongold
71	a water lily is a kind of green plant	nongold
72	an organism is a living thing	nongold
73	to be used for something means to be required by that something	nongold
74	to enable is similar to cause	nongold
75	roots are a part of a plant; tree	nongold
76	requiring something means needing that something	nongold
77	to depend on; to rely on; to need means to require	nongold
78	to lower means to decrease	nongold
79	determining is similar to controlling	nongold
80	to regulate means to maintain the speed of a process	nongold
81	high is similar to increase	nongold
82	a leaf is a kind of object	nongold
83	growth is a kind of process	nongold
84	a plant is a member of a plant species	nongold
85	roots are a vehicle for absorbing water and nutrients from soil into the plant	nongold
86	plants are a part of the environment	nongold
87	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
88	a leaf is often green in color	nongold
89	a living thing is a kind of object	nongold
90	if something emits something else then that something increases the amount of that something else	nongold
91	In the water cycle , condensation always follows transpiration	nongold
92	if something transfers something else then that something is a source of something else	nongold
93	water is a part of an environment	nongold
94	if something is a part of something else then that something else contains that something	nongold
95	if something releases something else then that something else decreases in that something	nongold
96	a plant is made of plant cells	nongold
97	leaves changing color is a kind of process	nongold
98	a fungus is a kind of organism	nongold
99	a tree is a kind of matter	nongold
