Question	What is the approximate length of time it takes the Moon to complete one lunar cycle?	question
Answer	29 days	answer
0	the Moon completes a lunar cycle over a period of 29 days	gold
1	days are a kind of unit for measuring time	nongold
2	length of time means period of time	gold
3	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
4	1 month is equal to 28-31 days	nongold
5	how long something takes is a kind of measurement of time	nongold
6	1 year is equal to 365 days	nongold
7	a moon phase occurs 28 days after the last time it occurred	nongold
8	a new moon occurs 14 days after a full moon	nongold
9	a rotation of the moon takes 1; one month	nongold
10	a measure of time is a length of time	nongold
11	a moon is a kind of celestial object; body	nongold
12	the moon orbits the Earth	nongold
13	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
14	years are a kind of unit for measuring time	nongold
15	a revolution of the moon around the Earth takes 1; one month	nongold
16	the moon orbiting the Earth occurs once per month	nongold
17	the day time is part of one day	nongold
18	the moon orbiting the Earth occurs approximately 13 times per year	nongold
19	cycles of day and night occur once per day	nongold
20	month is a kind of period of time	nongold
21	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
22	a planet completes one orbit around its star over a period of one planetary year	nongold
23	months are a kind of unit for measuring time	nongold
24	each of the moon's phases occurs once per month	nongold
25	a full moon occurs after a waxing gibbous moon	nongold
26	a full moon is a kind of phase of the moon	nongold
27	period is similar to amount of time	nongold
28	long means great in length	nongold
29	a cycle happens; occurs repeatedly	nongold
30	1 year is equal to 12 months	nongold
31	hours are a kind of unit for measuring time	nongold
32	a planet is a kind of celestial object; body	nongold
33	the Moon is Earth's moon	nongold
34	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
35	a planet's distance from the star causes the length of a planetary year	nongold
36	Earth is a kind of planet	nongold
37	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
38	a new moon is a kind of phase of the moon	nongold
39	length is a part of size	nongold
40	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
41	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
42	an event is a kind of action	nongold
43	longest means greatest in length	nongold
44	Earth's revolution is a kind of cycle	nongold
45	monthly means once per month	nongold
46	August is a kind of month	nongold
47	December is a kind of month	nongold
48	an orbit is a kind of regular path	nongold
49	a unit for measuring time is a kind of time interval	nongold
50	a cycle is a kind of process	nongold
51	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	nongold
52	as the distance of a planet from the star  it orbits increases , the length of a planetary year on that planet will increase	nongold
53	a motion is a kind of event; action	nongold
54	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
55	to a human a time period of 1000 years or more years is considered very long	nongold
56	incomplete is the opposite of complete	nongold
57	the moon's orbit is elliptical	nongold
58	the first quarter phase of the moon occurs after the new moon	nongold
59	astronomical unit is a measure of distance between Earth and the Sun	nongold
60	the night time is part of one day	nongold
61	the moon rotates on its axis	nongold
62	daily means every day; once per day	nongold
63	the new moon is when the lighted half of the moon faces the Sun	nongold
64	the Sun is a kind of star	nongold
65	a meter is a kind of unit for measuring distance; measuring length	nongold
66	a source of something emits; produces; generates; provides that something	nongold
67	a phase of the moon is a kind of state	nongold
68	the new moon is when the dark half of the moon faces the Earth	nongold
69	a last quarter is a kind of phase of the moon	nongold
70	astronomy is the study of celestial (objects, bodies)	nongold
71	Tuesday is a kind of  time	nongold
72	the sun rising; setting occurs once per day	nongold
73	June is a kind of month	nongold
74	all the time means at day and at night	nongold
75	moons orbit planets	nongold
76	lunar phase is synonymous with moon phase	nongold
77	orbit means orbital path	nongold
78	the moon rising occurs once per day	nongold
79	the sun sets in the west	nongold
80	a light-year is used for describing long distances	nongold
81	a first quarter is a kind of phase of the moon	nongold
82	an animal is a kind of living thing	nongold
83	the Earth revolves around the sun	nongold
84	the sun rising and setting causes cycles of day and night	nongold
85	a moon phase is a kind of natural event	nongold
86	type of moon; kind of moon means moon phase	nongold
87	revolving  around something means orbiting that something	nongold
88	yearly means every year	nongold
89	1 week is equal to 7 days	nongold
90	a human is a kind of animal	nongold
91	the solar system contains the moon	nongold
92	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
93	the moon is the celestial object that is closest to the  Earth	nongold
94	events occur at a specific place; at a specific time; with a specific frequency	nongold
95	light year is a measure of the distance light travels in one year	nongold
96	instantaneously means short in time	nongold
97	a process is a kind of event	nongold
98	the sun setting is a kind of event	nongold
99	astronomical body means celestial body	nongold
