Question	The gravitational force exerted by an object depends on its	question
Answer	mass.	answer
0	the mass of an object causes the gravitational force exerted by that object	gold
1	to be dependent on something means to depend on that something	nongold
2	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
3	to depend on; to rely on; to need means to require	nongold
4	to be affected by something is similar to depending on something	nongold
5	gravity is a kind of force	nongold
6	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
7	exerting force on an object means a force acts on an object	nongold
8	as the mass of an object increases , the force of gravity on that object will increase	nongold
9	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
10	mass is a measure of the amount of matter in an object	nongold
11	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
12	if something causes something else then that something else depends on that something	gold
13	mass; weight is a property of matter; objects; materials	nongold
14	An example of exerting force on an object is lifting an object	nongold
15	an object exerts an upward force objects that sit on that object	nongold
16	mass is a property of objects; matter	nongold
17	Weight is  the  force of gravity acting on an object	nongold
18	an increase is a kind of change	nongold
19	weight is a measure of the force of the gravity on the mass of an object	nongold
20	as the mass of an oject decreases , the force of gravity on that object will decrease	nongold
21	weight means the force of gravity acting on an object	nongold
22	objects are made of materials; substances; matter	nongold
23	the mass of a planet causes the pull of gravity on that planet	nongold
24	gravitational fore is a kind of non-contact force	nongold
25	gravity accelerates an object while that object falls by pulling on it	nongold
26	high is similar to increase	nongold
27	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
28	as state of matter changes , mass will not change	nongold
29	change is a kind of impact	nongold
30	mass is similar to size	nongold
31	to impact means to affect	nongold
32	a factor impacts something	nongold
33	affected means changed	nongold
34	a decrease is a kind of change	nongold
35	force requires energy	nongold
36	a motion is a kind of event; action	nongold
37	as the speed of an object increases , the force that object exerts will increase	nongold
38	a pull is a kind of force	nongold
39	a force is a kind of push or pull on an object	nongold
40	matter; materials; substances are made of atoms; particles	nongold
41	a living thing is a kind of object	nongold
42	if there is no gravitational pull , then the weight of an object will be equal to zero	nongold
43	mass is a kind of physical property	nongold
44	pulling is a kind of motion	nongold
45	extreme means very high in value	nongold
46	a particle is a kind of object	nongold
47	materials are made of matter	nongold
48	an animal is a kind of living thing	nongold
49	an event is a kind of action	nongold
50	motion; movement means moving; to move	nongold
51	additional force is similar to outside force	nongold
52	movement is a kind of change	nongold
53	if an object is kicked then force is exerted on that object	nongold
54	a rock is a kind of object	nongold
55	particles in objects are a kind of matter	nongold
56	a planet is a kind of celestial object; body	nongold
57	lowering is a kind of motion	nongold
58	a change is a kind of event	nongold
59	as the mass of an object increases , the force required to push that object will increase	nongold
60	as the force  of gravity changes , the weight of the object will change	nongold
61	mass; weight is an extensive property	nongold
62	needing something means depending on that something	nongold
63	an object is made of its parts	nongold
64	a balance is used for measuring mass;weight of an object; of a substance	nongold
65	as the force of gravity on an animal decreases , the higher that animal can jump generally	nongold
66	increase means more	nongold
67	as the force  of gravity changes , the mass of the object will stay the same	nongold
68	a source of something emits; produces; generates; provides that something	nongold
69	gravitational potential energy is a measure of the product of weight and height	nongold
70	producing thrust causes something; an animal; an object to move	nongold
71	a weight is a kind of object	nongold
72	a landform is a kind of object	nongold
73	a source of something increases the amount of that something	nongold
74	inertia is a property of mass	nongold
75	gas is a kind of object	nongold
76	as the force of gravity increases , the weight of objects will increase	nongold
77	pushing is a kind of motion	nongold
78	motion is a source of kinetic energy in an object	nongold
79	substances are made of matter	nongold
80	An example of an object with kinetic energy is an object in motion	nongold
81	sliding is a kind of motion	nongold
82	raising is a kind of motion	nongold
83	when a force is applied to an object , that force is acting on that object	nongold
84	rising is a kind of motion	nongold
85	massive means great in mass	nongold
86	push is a kind of force; application of force	nongold
87	gravitational potential energy is a kind of potential energy	nongold
88	greater means higher; more in value	nongold
89	falling means moving downward	nongold
90	a land mass is a kind of object	nongold
91	downward means down	nongold
92	to change means to have an effect	nongold
93	variable means able to change	nongold
94	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
95	if something is made by something else then that something is affected by that something else	nongold
96	to create means to make	nongold
97	gas is a kind of state of matter	nongold
98	as the force  of gravity decreases , the weight of the object will decrease	nongold
99	force causes the speed of an object to increase; to decrease	nongold
