Question	Which features are physical properties of an iron nail?	question
Answer	conducts heat, magnetic, solid	answer
0	iron nails are made of iron	gold
1	a nail is a kind of object	gold
2	conductivity is a kind of physical property	gold
3	iron is always magnetic	gold
4	nails are often made of iron	nongold
5	metal is sometimes magnetic	nongold
6	conductivity is a property of a material; substance	nongold
7	a property of something is a feature of that something	gold
8	iron is a kind of solid	gold
9	soft iron; iron is always ferromagnetic; magnetic	nongold
10	a physical property is a kind of property	nongold
11	wax is an electrical; electrical energy insulator	nongold
12	heat means heat energy	nongold
13	rubber is thermal;thermal energy insulator	nongold
14	metal is a thermal; thermal energy conductor	gold
15	temperature is a measure of heat energy	nongold
16	solid is a kind of state of matter	gold
17	state of matter at room temperature is a kind of physical property	gold
18	liquid is a kind of state of matter	nongold
19	objects are made of materials; substances; matter	nongold
20	state of matter is a kind of physical property	nongold
21	heating means adding heat	nongold
22	iron is a kind of metal	gold
23	a structure is a kind of feature	nongold
24	a solid is a kind of substance	nongold
25	wood is an thermal; thermal energy insulator	nongold
26	wood is a thermal; thermal energy insulator	nongold
27	metal is an  electrical; electrical energy conductor	nongold
28	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
29	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
30	if an object is made of a material then that object has the properties of that material	gold
31	materials are made of matter	nongold
32	a metal is usually a solid at room temperature	nongold
33	material means substance	nongold
34	wax is always nonmagnetic	nongold
35	substances are made of matter	nongold
36	feature is synonymous with characteristic	nongold
37	landform means surface feature; physical feature; land feature	nongold
38	a chemical property is the opposite of a physical property	nongold
39	a wax crayon is made of wax	nongold
40	metal is a kind of material	gold
41	an object has properties	nongold
42	friction converts mechanical energy into heat energy	nongold
43	state of matter means physical state	nongold
44	physical state means state of matter	nongold
45	plastic is a kind of thermal insulator	nongold
46	steel; carbon steel is always ferromagnetic; magnetic	nongold
47	a thermal conductor is made of materials that conduct thermal energy	nongold
48	plastic is a kind of electrical insulator	nongold
49	structure is a property of an object; a material; a substance	nongold
50	rubber is a kind of solid	nongold
51	a source of something emits; produces; generates; provides that something	nongold
52	iron is a kind of element	nongold
53	an insulator is the opposite of a conductor	nongold
54	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
55	absorbing energy causes objects; materials; substances to heat	nongold
56	a piece of something is a kind of object	nongold
57	rubber is a kind of material	nongold
58	plastic is usually an electrical insulator	nongold
59	a liquid is a kind of substance	nongold
60	aluminum is a kind of matter	nongold
61	steel is a kind of metal	nongold
62	water is an thermal; thermal energy conductor	nongold
63	electricity means electrical energy	nongold
64	a source of heat can be used to heat something	nongold
65	a source of heat can be used to heat something	nongold
66	a land feature is a kind of physical characteristic	nongold
67	a  chemical property is a kind of  property	nongold
68	heat energy  can be used to heat up  an object	nongold
69	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
70	to conduct is similar to to transfer	gold
71	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	gold
72	material composition is a kind of chemical property	nongold
73	conductivity is a measure of how easily electricity travels through a material	nongold
74	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
75	an object is made of its parts	nongold
76	composition is a property of an object; matter	nongold
77	metal is a kind of substance	nongold
78	friction causes the temperature of an object to increase	nongold
79	heat energy can change the state of matter	nongold
80	if two things have the same features then those two things are alike	nongold
81	if something undergoes a physical change then the physical properties of that something will change	nongold
82	plastic is always nonmagnetic	nongold
83	a good conductor is a conductor	nongold
84	a magnet is a kind of object	nongold
85	a surface is a part of a material	nongold
86	leather is a kind of material	nongold
87	appearance  is a kind of physical property	nongold
88	magnetic force means magnetism	nongold
89	stainless steel is always magnetic; nonmagnetic	nongold
90	a sheet of copper is a kind of object	nongold
91	an element is a kind of material	nongold
92	if heat is added to a substance then that substance absorbs that heat	nongold
93	conducting is similar to exchanging	nongold
94	magnetism is a kind of physical property	gold
95	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
96	characteristic means property	nongold
97	substances are made of elements	nongold
98	friction occurs when two object's surfaces move against each other	nongold
99	metals usually have greater; higher conductivity than nonmetals	nongold
