Question	A person in a dark room looking through a window can clearly see a person outside in the daylight. But a person outside cannot see the person inside. Why does this happen?	question
Answer	There is not enough light being reflected off the person in the room.	answer
0	light reflecting off of an object causes that object to be visible to the observer	nongold
1	if something is in a dark place , then that something will not reflect enough light to be seen	gold
2	if something is outside during the day , then that something will reflect enough light to be seen	gold
3	reflection is when light is reflected from one object; one place to  another object; another place	nongold
4	if an object reflects light toward the eye then that object can be seen	gold
5	a window is a kind of object	nongold
6	sunlight can shine through a window	gold
7	daylight means sunlight	gold
8	a room is a kind of object	nongold
9	if an object reflects more light then that object is more easily seen	nongold
10	reflecting light; sound is the opposite of absorbing light; sound	nongold
11	sunlight is a kind of light	gold
12	seeing requires light	gold
13	if an object is in the light then that object is blocking the light	nongold
14	a person is a kind of animal	gold
15	reflection is a property of light	nongold
16	to reflect light means to scatter light	nongold
17	daylight is when the sun shines on a location	nongold
18	to see means to look	nongold
19	a window is a part of a house	nongold
20	to view means to see	nongold
21	daylight occurs during the day	nongold
22	sight means to see	nongold
23	a window is made of glass	nongold
24	looking at bright objects has a negative impact on the eyes	nongold
25	not looking means not seeing	nongold
26	person is synonymous with human	nongold
27	shiny things; objects reflect light	nongold
28	dark means a low amount of light	gold
29	if something is outside during the day then that something will receive sunlight	nongold
30	dark is the opposite of light	nongold
31	not visible means cannot be seen	nongold
32	human eyes can only see light in the range of visible light	nongold
33	a human is a kind of animal	nongold
34	visible light is a kind of  light	nongold
35	visible means able to be seen	nongold
36	less is similar to decrease	nongold
37	seeing is used for sensing visual things	nongold
38	to receive sunlight means to absorb sunlight	nongold
39	an animal is a kind of organism	nongold
40	when object is in direct light then that object is not shaded	nongold
41	an object blocking light causes a shadow	nongold
42	viewing means observing light	nongold
43	when light hits a reflective object , that light bounces off that object	nongold
44	surroundings means environment	nongold
45	sunlight means solar energy	nongold
46	a surface is a part of an object	nongold
47	if an object is white then that object reflects all visible light	nongold
48	reflection is a kind of process	nongold
49	an image in a mirror is formed by reflecting light	nongold
50	sunlight is a kind of solar energy	nongold
51	human is a kind of organism	nongold
52	to happen means to occur	nongold
53	if an object is translucent , then some light will shine through that object	nongold
54	a mirror reflects light	nongold
55	receiving sunlight  is synonymous with absorbing sunlight	nongold
56	eyes can sense;detect light energy for seeing	nongold
57	an part of an object is smaller than the entire object	nongold
58	an increase is the opposite of a decrease	nongold
59	intensity of sunlight is similar to amount of sunlight	nongold
60	glass; objects made of glass cause refraction of light	nongold
61	a living thing is a kind of object	gold
62	brightness means amount of light	nongold
63	an animal is a kind of living thing	gold
64	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
65	if sunlight is blocked from an area then that area lacks sunlight	nongold
66	low is similar to decrease	nongold
67	out is synonymous with outside	nongold
68	as the light reflected off of an object increases , the object will appear to be brighter	nongold
69	a white object reflects all visible light	nongold
70	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
71	to lower means to decrease	nongold
72	room contains walls	nongold
73	to bounce back means to reflect	nongold
74	to reduce means to decrease	nongold
75	light means light energy	nongold
76	objects in an environment are a part of that environment	nongold
77	the sunlight occurs during the day	nongold
78	if an object reflects a light of a certain color then the object appears to be that color	nongold
79	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
80	sight means vision	nongold
81	sunlight shining means sunlight is provided	nongold
82	sight is a kind of sense	nongold
83	darkness occurs at night	nongold
84	reflection is when particles bounce off a surface	nongold
85	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
86	if something is visible , then that something can be observed	nongold
87	to look like means to have the visual properties of	nongold
88	a mirror is used for reflecting light	nongold
89	light is a kind of wave	nongold
90	sunlight contains infrared light	nongold
91	being in the sun is synonymous with being in the sunlight	nongold
92	visible light is able to be seen without using equipment	nongold
93	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
94	invisible means cannot be seen	nongold
95	eyes are a part of a human for seeing	nongold
96	absorbing sunlight causes objects to heat	nongold
97	if an object is transparent , then light will shine through that object without scattering	nongold
98	the body is a part of an organism	nongold
99	looking is similar to observing	nongold
