Question	The Ohio state tree is the buckeye. Which of these is a trait that is inherited by the buckeye tree in the reproduction process?	question
Answer	change in leaf color during the autumn season	answer
0	a buckeye tree is a kind of deciduous tree	gold
1	a deciduous tree's leaves usually change color in the autumn season	gold
2	leaves changing color occurs when seasons change	nongold
3	the colors of parts of an organism are inherited characteristics	nongold
4	Autumn is a kind of season	nongold
5	trait is synonymous with characteristic	gold
6	coloration means a thing's color	nongold
7	Ohio is a state located in the United States of America	nongold
8	leaves changing color is a kind of process	nongold
9	an animal is a kind of living thing	nongold
10	a tree is a kind of living thing	nongold
11	trait means property	nongold
12	characteristic means property	nongold
13	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
14	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
15	a leaf is a part of a tree	nongold
16	the color of; coloration of fur is an inherited characteristic	nongold
17	spring follows winter	nongold
18	a leaf is a part of a  green plant	nongold
19	reproduction is a kind of process	nongold
20	an organism is a living thing	nongold
21	a tree is a kind of plant	nongold
22	the color of an environment means the color of the things that environment contains	nongold
23	an animal is a kind of organism	nongold
24	a plant is a kind of living thing	nongold
25	a leaf is a kind of plant	nongold
26	reproductive behavior is an inherited characteristic	nongold
27	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
28	each season occurs once per year	nongold
29	different seasons occur during different times of the year	nongold
30	species is an inherited characteristic	gold
31	summer follows spring	nongold
32	a leaf is often green in color	nongold
33	winter is a kind of season	nongold
34	a living thing is a kind of object	nongold
35	inherited characteristics can change over several generations	nongold
36	a plant is a kind of organism	nongold
37	winter follows fall	nongold
38	color is a kind of physical; visual property	nongold
39	summer is a kind of season	nongold
40	changes to the amount of light cause leaves on certain trees to change color in autumn	nongold
41	green is a kind of color	nongold
42	squirrels store food in the autumn to eat during the winter	nongold
43	coloration means a pattern of colors	nongold
44	coloration is a kind of adaptation for hiding;camouflage	nongold
45	an inherited characteristic is a kind of characteristic	nongold
46	An example of camouflage is when something is; has the same color as its environment	nongold
47	an increase is a kind of change	nongold
48	affected means changed	nongold
49	spring is a kind of season	nongold
50	change is a kind of process	nongold
51	state means form	nongold
52	if an organism passes on its traits then future generations will have those traits	nongold
53	changed is the opposite of unchanged	nongold
54	squirrels gather nuts in the autumn to  eat during the winter	nongold
55	spring has warm temperatures; weather	nongold
56	adaptation is when an organism develops a trait over time for survival	nongold
57	an adaptation is a kind of change	nongold
58	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
59	seasons cause change to the environment	nongold
60	a decrease is a kind of change	nongold
61	color is a property of  an object; a material	nongold
62	An example of a seasonal change; adaptation is plants dying;  becoming dormant in the winter	nongold
63	an organism's environment affects that organism's acquired characteristics	nongold
64	a mammal is a kind of animal	nongold
65	winter is a part of the year	nongold
66	to change means to cause a change	nongold
67	reproduction produces; produce offspring	nongold
68	temperature changing does not cause color to change	nongold
69	annual means once per year	nongold
70	classifying is when one sorts something by kind; type	nongold
71	if an animal's fur is a color then that animal is that color	nongold
72	a source of something emits; produces; generates; provides that something	nongold
73	unique  is the opposite of diverse	nongold
74	a type is synonymous with a kind	nongold
75	a seasonal change is a kind of environmental change	nongold
76	winter has cold temperatures;weather	nongold
77	winter is the opposite of summer	nongold
78	An example of camouflage is when something changes color in order to have the same color as its environment	nongold
79	living things can all reproduce	nongold
80	an animal; living thing requires nutrients for survival	nongold
81	a forest environment usually is green in color	nongold
82	pollination is a kind of process for plant reproduction	nongold
83	genes are able to determine the inherited characteristics of a living thing	nongold
84	winter is when a hemisphere is tilted away from the sun	nongold
85	December is during the winter in the northern hemisphere	nongold
86	every summer  is a kind of period of time	nongold
87	colorless means no color	nongold
88	fall means autumn	nongold
89	seasonal changes are made in response to changes in the environment	nongold
90	if something causes an increase in something else then that something produces that something else	nongold
91	a plant; living thing requires food for survival	nongold
92	to reproduce means to have; to produce offspring	nongold
93	as the ability to survive; ability to reproduce of a living thing increases , the likelyhood of  passing on its traits to its decendents will increase	nongold
94	snow falls during the winter in some environments	nongold
95	identical means copy	nongold
96	evolution causes significant trait changes in a species	nongold
97	an adaptation is a kind of characteristic	nongold
98	usually plants die or become dormant during the winter	nongold
99	unchanged means not changed	nongold
