Question	Which of these natural events occurs at time intervals that are the most regular?	question
Answer	high tides and low tides	answer
0	high tide is a stage in the tide cycle process	gold
1	the tide is when ocean levels periodically rise; fall	nongold
2	low tide is a stage in the tide cycle process	gold
3	tidal means related to tides	nongold
4	a tide is a kind of natural event	gold
5	spring tide is when high tide is at its greatest distance from low tide	nongold
6	usual means happens frequently over long periods of time	nongold
7	ocean tides are a kind of phenomenon	nongold
8	spring tide is similar to high tide	nongold
9	the tide cycle occurs regularly twice per day	gold
10	usual means normal	nongold
11	events occur at a specific place; at a specific time; with a specific frequency	nongold
12	a unit for measuring time is a kind of time interval	gold
13	cycles of day and night occur once per day	nongold
14	a cycle happens; occurs repeatedly	nongold
15	event is similar to occurrence	nongold
16	an event is a kind of action	nongold
17	length of time means period of time	nongold
18	to happen means to occur	nongold
19	a motion is a kind of event; action	nongold
20	something that happens is a kind of event	nongold
21	spring tides occur during a new moon	nongold
22	the gravitational pull of the Sun on Earth's oceans causes the tides	nongold
23	a measure of time is a length of time	nongold
24	natural events usually cause changes to Earth's surface	nongold
25	spring tides occur during a full moon	nongold
26	usually means most of the time	nongold
27	if an event is more common then that event will occur more frequently	nongold
28	the gravitational pull of the Moon on Earth's oceans causes the tides	nongold
29	a change is a kind of event	nongold
30	tidal range is a measure of the vertical distance from high tide to low tide	nongold
31	frequency is a property of a wave; a particel of light; an event	nongold
32	high is similar to increase	nongold
33	days are a kind of unit for measuring time	gold
34	an ocean is a kind of body of water	nongold
35	an ocean contains waves	nongold
36	a body of water is a kind of environment	nongold
37	occur is similar to appear	nongold
38	low is similar to decrease	nongold
39	a moon phase is a kind of natural event	nongold
40	waves are made of moving water	nongold
41	ocean wave is a kind of wave	nongold
42	period is similar to amount of time	nongold
43	Tuesday is a kind of  time	nongold
44	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
45	the day time is part of one day	nongold
46	Earth's rotation causes time zones	nongold
47	water is a kind of natural resource	nongold
48	water is a kind of natural resource	nongold
49	annual means once per year	nongold
50	to pass means to occur	nongold
51	mostly means being the most	nongold
52	to a human a time period of 1000 years or more years is considered very long	nongold
53	an earthquake is a kind of natural; geological event	nongold
54	nature means a natural environment	nongold
55	ocean currents is a kind of weather pattern	nongold
56	month is a kind of period of time	nongold
57	a process is a kind of event	nongold
58	weathering; erosion usually occurs over a period of many years	nongold
59	an aquatic animal is a kind of animal	nongold
60	a coast is a kind of environment	nongold
61	a landform is a kind of natural formation	nongold
62	daily means every day; once per day	nongold
63	monthly means once per month	nongold
64	a wave is a kind of object	nongold
65	the night time is part of one day	nongold
66	consistent means usual	nongold
67	a coast is where land meets the edge of a body of water	nongold
68	coastline means coast	nongold
69	usual means does not vary much	nongold
70	all the time means at day and at night	nongold
71	a body of water contains water	nongold
72	storm is a kind of weather; weather event	nongold
73	a body of water is a source of water	nongold
74	hours are a kind of unit for measuring time	nongold
75	high means a lot of something	nongold
76	low is the opposite of high	nongold
77	low means down	nongold
78	yearly means every year	nongold
79	once per means every	nongold
80	most means over 50% of something	nongold
81	an estuary is a kind of body of water	nongold
82	a source of something emits; produces; generates; provides that something	nongold
83	furthest; farthest means greatest; most; highest in distance	nongold
84	Earth's angle of tilt causes the length of day and night to vary	nongold
85	every summer  is a kind of period of time	nongold
86	sea means ocean	nongold
87	greatest means largest; highest; most amount of something	nongold
88	how long something takes is a kind of measurement of time	nongold
89	being buried under soil and mud changes dead plant matter; dead animal matter into oil; natural gas through extreme heat and pressure at the bottom of the sea over a long period of time	nongold
90	consistent means constant	nongold
91	if an event occurs by adding something then that event requires that something	nongold
92	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
93	each of the moon's phases occurs once per month	nongold
94	water is a part of an environment	nongold
95	revolving is a kind of action	nongold
96	an animal is a kind of organism	nongold
97	a component means a part of	nongold
98	instantaneously means short in time	nongold
99	a human is a kind of animal	nongold
