Question	Which kind of rock is produced by deposition and cementation?	question
Answer	sandstone, a sedimentary rock	answer
0	sedimentary rocks are formed by deposition; cementation	gold
1	limestone is a kind of sedimentary rock	nongold
2	sandstone is a kind of sedimentary rock	gold
3	shale is a kind of sedimentary rock	nongold
4	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
5	sedimentary is a kind of rock	gold
6	erosion causes deposition	nongold
7	cementation is a kind of process	nongold
8	nearly all fossils are found in sedimentary rock	nongold
9	granite is a kind of igneous rock	nongold
10	a type is synonymous with a kind	nongold
11	stalactites are formed by deposition	nongold
12	sediment is formed from rock	nongold
13	metamorphic is a kind of rock	nongold
14	to be formed by is similar to being produced by	gold
15	metamorphic rock is a kind of rock	nongold
16	sedimentary rocks are made of small particles	nongold
17	bedrock is a kind of rock	nongold
18	deposition is a kind of natural process	nongold
19	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
20	products are formed; are produced; are created	nongold
21	sediment is formed by weathering	nongold
22	granite is a kind of nonmetal	nongold
23	producing is similar to causing	nongold
24	a source of something emits; produces; generates; provides that something	nongold
25	desublimation; deposition means matter; a substance changes from a gas into a solid by decreasing heat energy	nongold
26	to produce means to create	nongold
27	alteration means change	nongold
28	emit means produce	nongold
29	composed of means made of	nongold
30	make means produce	nongold
31	limestone is formed by water evaporating from a solution of water and minerals	nongold
32	extreme heat and pressure compact sediment into sedimentary rock	nongold
33	organisms can be preserved in sedimentary rock	nongold
34	converting is similar to producing	nongold
35	a producer is a kind of living thing	nongold
36	deposition means to move an object from one location to a  different location	nongold
37	form means kind	nongold
38	to cause means to make	nongold
39	sediment is a kind of matter	nongold
40	producing is a kind of process	nongold
41	metamorphosed rock is a kind of rock	nongold
42	erosion is a kind of process	nongold
43	producing is similar to releasing	nongold
44	produce is similar to release	nongold
45	to produce means to provide	nongold
46	to cause the formation of means to form	nongold
47	to be made of something means to be formed of that something	nongold
48	to contribute is similar to produce	nongold
49	the formation of rock is a kind of process	nongold
50	sand is made of very small rocks; minerals	nongold
51	sediment is similar to soil	nongold
52	to create means to make	nongold
53	a rock is a kind of object	nongold
54	sedimentary rocks often have different colored layers	nongold
55	generate means produce	nongold
56	breaking down is a kind of forming	nongold
57	dissolution is similar to dissolving	nongold
58	class is a measure of how a rock is formed	nongold
59	erosion is a kind of change	nongold
60	creating is similar to causing	nongold
61	to form means to create	nongold
62	to decompose means to separate	nongold
63	fossils are formed when layers of sediment cover the remains of organisms over time	nongold
64	to emit means to release	nongold
65	the formation of something is a kind of process	nongold
66	to decompose means to decay	nongold
67	to belong to a class means to be a kind of something	nongold
68	made up of means contains; made of	nongold
69	to make means to form	nongold
70	rock is hard	nongold
71	no longer means used to be	nongold
72	only fossils formed from organisms that lived in the sea are found in the oldest layers of sedimentary rock	nongold
73	rock is a kind of material	nongold
74	creating means making	nongold
75	deposition is a kind of constructive force	nongold
76	composition means the (materials, substances) of which something is composed	nongold
77	soil is formed by weathering	nongold
78	different classes of rocks are formed by different methods	nongold
79	break down means change from a whole into pieces	nongold
80	category means kind	nongold
81	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
82	a component means a part of	nongold
83	sand  is a kind of substance	nongold
84	igneous is a kind of rock	nongold
85	to be a source of something means to cause that something	nongold
86	made of is similar to contains	nongold
87	to give is similar to to cause	nongold
88	soil contains water; humus; weathered rocks; organic matter	nongold
89	all minerals are formed by natural geological processes	nongold
90	to produce means to result in	nongold
91	to happen means to occur	nongold
92	if something releases something else then that something is the source of that something else	nongold
93	weathering is a kind of process	nongold
94	weathering is a kind of erosion	nongold
95	to be formed by is to be the result of	nongold
96	to generate means to create	nongold
97	shale can be metamorphosed into slate by increased pressure	nongold
98	if something causes a process then that something is required for that process	nongold
99	a process is a kind of event	nongold
