Question	If an environment becomes warmer and drier, the change that would most likely help a species adapt would be an increase in its	question
Answer	ability to store water.	answer
0	drier means lower in amount of water; wetness; moisture	nongold
1	helping means to assist in a change	nongold
2	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
3	to help means to aid	nongold
4	warmer means greater; higher in temperature; warmth	nongold
5	cooler means colder	nongold
6	colder; cooler means lower in temperature	nongold
7	helping something has a  positive impact on that something	gold
8	to help; to benefit means to be of use	nongold
9	requiring is similar to needing help	gold
10	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
11	to be used  for something means to help to do that something	nongold
12	storing water is a kind of adaptation	nongold
13	storing water increases the water available to organisms in a dry environment	gold
14	an increase is the opposite of a decrease	gold
15	adapting is when a living thing responds to a change in an environment	nongold
16	to depend on; to rely on; to need means to require	nongold
17	cooling means temperature decreases	nongold
18	an increase is a kind of change	nongold
19	an animal requires warmth for survival	nongold
20	an adaptation is a kind of change	gold
21	increase means more	nongold
22	warm up means increase temperature	nongold
23	to store means to hold	nongold
24	animals adapt to their environment	nongold
25	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	nongold
26	animals; living things require water for survival	gold
27	an animal usually requires a warm body temperature for survival	nongold
28	a decrease is a kind of change	nongold
29	heat means temperature increases	nongold
30	changes in an environment cause animals; plants to adapt to survive	nongold
31	to reduce means to decrease	nongold
32	to lower means to decrease	nongold
33	temperature is a measure of heat energy	nongold
34	an animal is a kind of living thing	nongold
35	cold means low in temperature	nongold
36	warm; becoming warm means heat is added	nongold
37	an animal; living thing requires nutrients for survival	nongold
38	an animal is a kind of organism	gold
39	high is similar to increase	nongold
40	if a living thing becomes too cold then that living thing will die	nongold
41	living in an environment causes an organism to adapt to that environment	nongold
42	water is a part of an environment	nongold
43	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
44	water is a kind of liquid at room temperature	nongold
45	as temperature in the environment increases , the body temperature  of a reptile in that environment will increase	nongold
46	an organism is a living thing	nongold
47	adding heat means increasing temperature	nongold
48	to enable is to help	nongold
49	providing warmth is synonymous with keeping warm	nongold
50	if a living thing requires something then that something has a positive impact on that living thing	nongold
51	a plant; living thing requires food for survival	nongold
52	inability is the opposite of ability	nongold
53	adaptations are used for survival	nongold
54	a warm environment usually has more food than a cold environment	nongold
55	if an animal relies on plants for food then that animal must store enough food to last through the winter	nongold
56	to add means to increase	nongold
57	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
58	contain is similar to store	nongold
59	the decrease of something required by an organism has a negative impact on that organism's survival; that organism's ability	nongold
60	a climate is synonymous with an environment	nongold
61	adapt is similar to evolve	nongold
62	as temperature in an environment decreases , the amount of water an animal in that environment will lose will decrease	nongold
63	water is a kind of substance	nongold
64	help means advantage	nongold
65	a plants; living things require water for survival; to grow	gold
66	requiring something means needing that something	nongold
67	staying warm has a positive impact on an animal's survival; health	nongold
68	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
69	cold environments usually have little food for animals	nongold
70	the ability to access; to acquire; to find resources has a positive impact on an organism's survival; health	nongold
71	becoming is similar to changing	nongold
72	a source of something increases the amount of that something	nongold
73	a plant is a kind of organism	gold
74	a cactus stores water	nongold
75	an environment means an area	nongold
76	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
77	a living thing is a kind of object	nongold
78	organisms are a part of an environment	nongold
79	affected means changed	nongold
80	as available water in an environment decreases , the amount of available food in that environment will decrease	nongold
81	the increase of something required by an organism has a positive impact on that organism's survival	nongold
82	water is a kind of natural resource	nongold
83	water is a kind of natural resource	nongold
84	keeping warm is the opposite of becoming  cold	nongold
85	warm means warm temperature	nongold
86	less is similar to decrease	nongold
87	a plant is a kind of living thing	nongold
88	Physical adaptation; structural adaptation is a physical  change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
89	warm means medium heat energy; temperature	nongold
90	an environment is similar to an ecosystem	nongold
91	a mammal is a kind of animal	nongold
92	keeping cool means not increasing temperature	nongold
93	as the cause of something decreases , that something will decrease	nongold
94	an adaptation is an adaptive feature	nongold
95	temperature rise means become warmer	nongold
96	good means positive	nongold
97	the temperature; pH of water has an impact on the health of that water	nongold
98	as available resources increases , the population of an organism that uses those resources will increase	nongold
99	the ability to do means be able to do	nongold
