Question	Students stir salt, sand, sawdust, and seashells into a jar filled with water. Which of the materials will form a solution?	question
Answer	salt and water	answer
0	salt water is made of salt and water	nongold
1	seashell is insoluble in water	gold
2	a seashell is a kind of object	nongold
3	salt water is a kind of solution	nongold
4	a seashell is sometimes a part of a water animal	nongold
5	salt is a kind of pure substance	gold
6	ocean shell means seashell	nongold
7	salt is a kind of solid	nongold
8	a jar is a kind of container	nongold
9	In the solution salt water , the solute is salt	nongold
10	sawdust is insoluble in water	gold
11	sand  is a kind of substance	nongold
12	a student is a kind of human	nongold
13	sand  is a kind of material	nongold
14	sand  is a kind of solid	nongold
15	sand  is a kind of mixture	nongold
16	a container contains objects; material; substances	nongold
17	table salt is a kind of salt	nongold
18	solution is a kind of liquid	nongold
19	salt is soluble in water	gold
20	a solution is a kind of mixture	nongold
21	stirring is when something moves an object in a circular motion for mixing	nongold
22	sand is insoluble in water	gold
23	sand is insoluble in water	nongold
24	a seashell is a part of a crab	nongold
25	sand is made of small particles	nongold
26	An example of a mixture is sand; clay; soil mixed together	nongold
27	to be filled with means to contain	nongold
28	a  solution  is a kind of object	nongold
29	a solution is formed by one substance being dissolved in another substance	gold
30	stirring is a kind of first-	nongold
31	a solution is made of one substance dissolved in another substance	nongold
32	water is a kind of substance	gold
33	saltwater is a kind of substance	nongold
34	salt water is an electrical; electrical energy conductor	nongold
35	sand is made of very small rocks; minerals	nongold
36	heating salt water causes the water to evaporate while the salt remains	nongold
37	contents means the substance in a container	nongold
38	moisture means liquid; liquid water	nongold
39	a container is a kind of object	nongold
40	neutralization is when an acid and a base react to form water and salt	nongold
41	an aquatic animal is a kind of animal	nongold
42	salt is made of salt crystals	nongold
43	material means substance	nongold
44	a mixture is a kind of substance	nongold
45	a liquid is a kind of substance	nongold
46	an ocean is a kind of body of water	nongold
47	In the solution salt water , the solvent is water	nongold
48	form means kind	nongold
49	rock is a kind of material	nongold
50	a pot is a kind of container	nongold
51	an mixture is formed by two or more substances combined together physically	nongold
52	solution is similar to a positive impact	nongold
53	both means two	nongold
54	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
55	a living thing is a kind of object	nongold
56	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
57	class is a measure of how a rock is formed	nongold
58	heat means heat energy	nongold
59	boiling is when liquids are heated above their boiling point	nongold
60	sodium chloride means salt	nongold
61	if a container contains something then that container touches that something	nongold
62	a human is a kind of animal	nongold
63	objects are made of materials; substances; matter	nongold
64	if a solution is formed , then the  components of the solution are similar throughout	nongold
65	sea means ocean	nongold
66	answering questions requires information	nongold
67	a rock is a kind of object	nongold
68	sand is a kind of resource	nongold
69	to be made of something means to be formed of that something	nongold
70	a classroom is a kind of a room	nongold
71	water is a kind of liquid at room temperature	nongold
72	the ocean contains large amounts of salt water	nongold
73	water is a kind of object	nongold
74	sand in water settles to the bottom of water	nongold
75	to make means to form	nongold
76	if an object is made of a material then that object has the properties of that material	nongold
77	adding salt to a solid decreases the freezing point of that solid	nongold
78	a mixture usually is made of objects with different physical properties	nongold
79	water is a kind of matter	nongold
80	a body of water contains water	nongold
81	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
82	aquatic animal means water animal	nongold
83	a source of something emits; produces; generates; provides that something	nongold
84	a body of water is a source of water	nongold
85	adding salt to a liquid decreases the melting point of that liquid	nongold
86	a solid is a kind of substance	nongold
87	a can is a kind of container	nongold
88	a bottle is a kind of container	nongold
89	state means form	nongold
90	sand is denser than water	nongold
91	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
92	substances are made of matter	nongold
93	sand has a rough surface	nongold
94	if something is made of something; a material then that something contains that something; that material	nongold
95	particles in objects are a kind of matter	nongold
96	to be used for something means to be required by that something	nongold
97	metal is a kind of material	nongold
98	if something is soluble in something , then that something can be dissolved in something forming a solution	gold
99	a surface is a part of an object	nongold
