Question	When a thin slice from an onion is viewed through a microscope, lots of little box-like shapes are seen. These shapes are most likely	question
Answer	cells.	answer
0	a plant cell is box-like in shape	gold
1	lots means much	nongold
2	a lot means large in amount; quantity	nongold
3	a microscope is a kind of tool for observing small things	nongold
4	microscope is used to see small things; microscopic things; specimens by biologists by making them appear bigger	gold
5	a box is a kind of object	nongold
6	an onion is a kind of vegetable	gold
7	a living thing is made of cells	nongold
8	a cell is a kind of object	nongold
9	a plant cell is a kind of cell	nongold
10	an animal cell is a kind of cell	nongold
11	little means small	gold
12	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
13	a living thing is a kind of object	nongold
14	a cell is very small	gold
15	microscopic means very small in size	nongold
16	little means low in amount	nongold
17	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
18	seeing is used for sensing visual things	nongold
19	visible means able to be seen	nongold
20	to view means to see	nongold
21	a plant is made of plant cells	nongold
22	thin means small in width	nongold
23	shape is a property of an object	nongold
24	form means kind	nongold
25	a human cell is a kind of cell	nongold
26	often is similar to likely	nongold
27	structure is similar to shape	nongold
28	a plant is a kind of living thing	nongold
29	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
30	to see means to look	nongold
31	an electron microscope is used for seeing very small objects by making them appear bigger	nongold
32	an animal is a kind of living thing	nongold
33	answering questions requires information	nongold
34	objects are made of materials; substances; matter	nongold
35	little is similar to decrease	nongold
36	observe means see	nongold
37	shape is a kind of physical property	nongold
38	an animal is a kind of organism	nongold
39	a plant is a kind of organism	nongold
40	an organism is a living thing	nongold
41	look at means observe	nongold
42	shape is a kind of characteristic	nongold
43	shape is a property of the appearance of an object	nongold
44	an part of an object is smaller than the entire object	nongold
45	if something is visible , then that something can be observed	nongold
46	sight means to see	nongold
47	can be means able to be	nongold
48	size; amount of space means volume	nongold
49	viewing means observing light	nongold
50	all living things are made of cells according to the cell theory	nongold
51	the shape  of an object can be discovered through feeling that object; touching that object	nongold
52	material means substance	nongold
53	shape of the parts of something is a property of that something	nongold
54	a type is synonymous with a kind	nongold
55	high means a lot of something	nongold
56	particles in objects are a kind of matter	nongold
57	food is a kind of object	nongold
58	a structure of something is synonymous with a part of that something	nongold
59	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
60	a landform is a kind of object	nongold
61	a source of something emits; produces; generates; provides that something	nongold
62	image means visual depiction of an object	nongold
63	structure is a property of an object; a material; a substance	nongold
64	eyes are usually part of an animal for seeing	nongold
65	an object is made of its parts	nongold
66	food is a kind of substance	nongold
67	composed of means made of	nongold
68	eyes are a part of a human for seeing	nongold
69	plant cells can perform photosynthesis	nongold
70	a human is a kind of animal	nongold
71	studying  something usually requires seeing that something	nongold
72	amount is similar to number	nongold
73	plant and animal matter means organic matter	nongold
74	a unicellular organism has one cell	nongold
75	length is a part of size	nongold
76	the function of something is what that something  is used to do	nongold
77	greatest means largest; highest; most amount of something	nongold
78	if something is made of something; a material then that something contains that something; that material	nongold
79	thickness is a property of an object and includes ordered  values of thin; thick	nongold
80	small is the opposite of large	nongold
81	a cell nucleus is a part of a cell	nongold
82	instrument means device	nongold
83	most means over 50% of something	nongold
84	matter; materials; substances are made of atoms; particles	nongold
85	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
86	observable means visible	nongold
87	length is a property of the shape of an object	nongold
88	a component of something means a part of that something	nongold
89	life means living things	nongold
90	to show means to display	nongold
91	if an object is made of something then the parts of that object are made of that something	nongold
92	all cells perform cellular respiration	nongold
93	the cell is the smallest unit of an organism that can perform all of the processes of life	nongold
94	the parent cell is the original cell	nongold
95	made up of means contains; made of	nongold
96	to be formed by is similar to being produced by	nongold
97	elliptical is a kind of shape	nongold
98	elliptical is a kind of shape	nongold
99	cutting means changing the object from a whole into smaller pieces	nongold
