Question	Which statement identifies an energy source as renewable?	question
Answer	Wind, because it is always available.	answer
0	wind is a renewable; inexhaustible resource	gold
1	wind is a source of energy	nongold
2	inexhaustible means always available	nongold
3	renewable is the opposite of nonrenewable	nongold
4	solar energy is a renewable; inexhaustible resource	nongold
5	an energy source is a kind of resource	gold
6	an inexhaustible resource is a kind of renewable resource	nongold
7	renewable resources are often available for many years	gold
8	a renewable resource is a kind of natural resource	nongold
9	a source of something emits; produces; generates; provides that something	nongold
10	a renewable resource is a kind of naturally replaced resource	nongold
11	resources sometimes are used for energy	nongold
12	fossil fuels are a kind of energy resource	nongold
13	to depend on; to rely on; to need means to require	nongold
14	the amount of something is similar to the availability of something	nongold
15	producing renewable electric energy requires renewable resources	nongold
16	a producer is a source of energy for consumers	nongold
17	solar energy is an inexhaustible resource	nongold
18	to be used for something means to be required by that something	nongold
19	solar power means solar energy	nongold
20	a renewable resource can be renewed	nongold
21	to power means to provide energy for	nongold
22	if something requires something else then that something requires a source of that something else	nongold
23	a renewable resource can be replaced	nongold
24	a fossil fuel is a kind of natural resource	nongold
25	to provide something means to be the source of that something	nongold
26	identifying is similar to determining	nongold
27	the properties of something can be used to identify; used to describe that something	nongold
28	solar energy is a kind of energy	nongold
29	resources becoming available has a positive impact on the things that need those resources	nongold
30	oil is a kind of energy resource	nongold
31	fossil fuels are a nonrenewable resource	nongold
32	oil is a nonrenewable resource	nongold
33	oil is a source of energy	nongold
34	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
35	natural gas is a nonrenewable resource	nongold
36	alternative fuel is usually a renewable resource	nongold
37	renewable resources can be used over again	nongold
38	fossil fuels have high potential energy	nongold
39	requiring something means needing that something	nongold
40	high is similar to increase	nongold
41	if something is powered by something else then that something requires a source of that something else	nongold
42	provide is similar to give; make	nongold
43	a nonrenewable resource is limited in supply	nongold
44	fuel is a kind of energy source	nongold
45	providing something means making;delivering something	nongold
46	100% probability means always	nongold
47	consumption means use	nongold
48	a type is synonymous with a kind	nongold
49	a producer is a kind of living thing	nongold
50	something's function can be used to describe; identify that something	nongold
51	to add means to increase	nongold
52	a supply of something is a source of that something	nongold
53	wind is used for producing electricity	nongold
54	emit means produce	nongold
55	to last longer means to be available longer	nongold
56	renewable resources are replenished more quickly than they are used	nongold
57	form means kind	nongold
58	answering questions requires information	nongold
59	if something causes a process then that something is required for that process	nongold
60	make means produce	nongold
61	to produce means to provide	nongold
62	to identify means to discover	nongold
63	tidal energy is a renewable resource	nongold
64	solar energy is a source of electricity	nongold
65	plants are a kind of resource	nongold
66	to be formed by is similar to being produced by	nongold
67	oil is a kind of fossil fuel	nongold
68	where something  comes from is a source of that something	nongold
69	if something is required then that something must be provided	nongold
70	a consumer is a kind of organism	nongold
71	if something generates energy for something else then that something powers that something else	nongold
72	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
73	a biofuel is a kind of alternative energy resource	nongold
74	sunlight is a kind of solar energy	nongold
75	affected means changed	nongold
76	best means most positive	nongold
77	to run on means to use as an energy source	nongold
78	can be means able to be	nongold
79	if something comes from something else then that something else is a source of that something	nongold
80	must have means require	nongold
81	wave energy is a renewable resource	nongold
82	products are formed; are produced; are created	nongold
83	sunlight means solar energy	nongold
84	generate means produce	nongold
85	potential energy means stored energy	nongold
86	if something transfers something else then that something is a source of something else	nongold
87	person is synonymous with human	nongold
88	generally means usually	nongold
89	good means positive	nongold
90	greatest means largest; highest; most amount of something	nongold
91	as the use of a resource decreases , the length of time that resource will be available increases	nongold
92	if something gains something from something else then that something else is a source of that something	nongold
93	potential energy is a kind of energy	nongold
94	identifying sometimes requires examining	nongold
95	an object; material; substance comes from that object or material's source	nongold
96	nature is the source of natural resources	nongold
97	to input means to add	nongold
98	high-quality means positive	nongold
99	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
