Question	Which of these will best separate a saltwater solution?	question
Answer	allowing the water to evaporate	answer
0	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	gold
1	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
2	saltwater is a kind of substance	nongold
3	salt water is a kind of solution	nongold
4	In the solution salt water , the solvent is water	gold
5	salt water is made of salt and water	nongold
6	to be used for is similar to allowing	nongold
7	evaporation can be used for separating a mixture of a liquid and a solid	nongold
8	In the solution salt water , the solute is salt	gold
9	a solvent is a part of a solution	nongold
10	salt is a kind of solid	nongold
11	a solution is formed by one substance being dissolved in another substance	nongold
12	a solution is made of one substance dissolved in another substance	nongold
13	to enable means to allow	nongold
14	salt is a kind of pure substance	nongold
15	if something is soluble in something , then that something can be dissolved in something forming a solution	nongold
16	heating salt water causes the water to evaporate while the salt remains	nongold
17	solution is a kind of liquid	nongold
18	a solution is a kind of mixture	nongold
19	salt is soluble in water	nongold
20	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
21	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
22	temperature is a measure of heat energy	nongold
23	water is a kind of substance	nongold
24	if heat is added to a substance then that substance absorbs that heat	nongold
25	to add means to increase	nongold
26	salt is made of salt crystals	nongold
27	water is a kind of liquid at room temperature	nongold
28	a liquid is a kind of substance	nongold
29	if something is insoluble in something , then they will remain separated	nongold
30	causing is similar to allowing	nongold
31	heat means heat energy	nongold
32	evaporating is a kind of phase change	nongold
33	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
34	when one substance is dissolved in another substance then the molecules of that other substance exist in solution	nongold
35	if something is used to dissolve substances , then that something is the solvent	nongold
36	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
37	adding heat means increasing temperature	nongold
38	if something is required for something else then that something allows that something else	nongold
39	a liquid is a kind of fluid	nongold
40	to give off means to be the source of	nongold
41	evaporation causes amount of water to decrease	nongold
42	moisture means liquid; liquid water	nongold
43	a mixture is a kind of substance	nongold
44	the ocean contains large amounts of salt water	nongold
45	as the temperature of a liquid increases , that liquid will evaporate quicker	nongold
46	an mixture is formed by two or more substances combined together physically	nongold
47	freshwater is a kind of water	nongold
48	gas is a kind of substance	nongold
49	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
50	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
51	a  solution  is a kind of object	nongold
52	evaporation is a kind of process	nongold
53	absorbing energy causes objects; materials; substances to heat	nongold
54	salt water is an electrical; electrical energy conductor	nongold
55	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
56	adding salt to a liquid decreases the melting point of that liquid	nongold
57	a source of something emits; produces; generates; provides that something	nongold
58	both means two	nongold
59	to conduct is similar to to transfer	nongold
60	a source of heat can be used to heat something	nongold
61	a source of heat can be used to heat something	nongold
62	a solid is a kind of substance	nongold
63	to reduce means to decrease	nongold
64	to disperse means to separate	nongold
65	water is a kind of compound	nongold
66	a solute can be dissolved in a solvent when they are combined	nongold
67	table salt is a kind of salt	nongold
68	An example of a mixture is sand; clay; soil mixed together	nongold
69	to emit means to release	nongold
70	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
71	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
72	vapor is synonymous with gas	nongold
73	an ocean is a kind of body of water	nongold
74	if a solution is formed , then the  components of the solution are similar throughout	nongold
75	neutralization is when an acid and a base react to form water and salt	nongold
76	sodium chloride means salt	nongold
77	most chemical reactions release or absorb heat energy	nongold
78	decomposing is similar to separating	nongold
79	if the water is freshwater , then the water is not a source of salt	nongold
80	In the solution sugar water , the solvent is water	nongold
81	best means most positive	nongold
82	heating means adding heat	nongold
83	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
84	a compound can be chemically separated into the elements that it is made of	nongold
85	sodium chloride dissolves in water when they are combined	nongold
86	An example of evaporation is a body of water drying up by absorbing heat energy	nongold
87	liquid is a kind of state of matter	nongold
88	water is a kind of matter	nongold
89	high is similar to increase	nongold
90	water is a kind of water phase	nongold
91	phase means state	nongold
92	variable means able to change	nongold
93	affected means changed	nongold
94	a container contains objects; material; substances	nongold
95	chemical reactions cause new substances; different substances to form	nongold
96	can be means able to be	nongold
97	when two substances together form a compound then those substances cannot be physically separated	nongold
98	a  solute is a part of a solution	nongold
99	condensing causes a liquid to form	nongold
