Question	A student uses a high-efficiency gasoline lawnmower to cut grass. The term "high efficiency" is used to indicate that the lawnmower	question
Answer	uses less energy than other lawnmowers.	answer
0	a lawnmower is used to cut grass	gold
1	a lawnmower is a kind of device	gold
2	high-efficiency device uses less energy	gold
3	grass is a kind of green plant	nongold
4	a gasoline engine is  a part of gasoline lawn mower	nongold
5	a lawn mower is a kind of machine	nongold
6	less is similar to decrease	nongold
7	gasoline is a kind of fuel	nongold
8	fuel efficient means uses less fuel	nongold
9	to depend on; to rely on; to need means to require	nongold
10	less is the opposite of more	nongold
11	less means a reduced amount	nongold
12	resources sometimes are used for energy	nongold
13	gasoline is a source of chemical energy	nongold
14	a student is a kind of human	nongold
15	high is similar to increase	nongold
16	burning gasoline is a source of  heat energy	nongold
17	consumption means use	nongold
18	using resources decreases those resources	nongold
19	to use means to utilize	nongold
20	using less of a resource means conserving that resource	nongold
21	not efficient means inefficient	nongold
22	gasoline is a kind of chemical power source	nongold
23	grass does not contain wood	nongold
24	a human is a kind of animal	nongold
25	an increase is the opposite of a decrease	nongold
26	using a gasoline engine requires burning  gasoline	nongold
27	to be used for something means to be required by that something	nongold
28	an animal is a kind of living thing	nongold
29	greater means higher; more in value	nongold
30	using less of a resource increases the availability of that resource	nongold
31	vehicles usually require gasoline to operate	nongold
32	a source of something emits; produces; generates; provides that something	nongold
33	to power means to provide energy for	nongold
34	cutting requires rigid tools	nongold
35	if something converts a resource into energy it doesn't use then that something is not using that resource efficiently	nongold
36	using less resources usually causes money to be saved	nongold
37	using gasoline is a source of carbon dioxide	nongold
38	a device requires energy to operate	nongold
39	fewer means lower; less in number	nongold
40	a source of something increases the amount of that something	nongold
41	a plant is a kind of living thing	nongold
42	electric devices require electrical energy to function	nongold
43	an animal requires energy to move	nongold
44	high means a lot of something	nongold
45	cheap means low in cost	nongold
46	person is synonymous with human	nongold
47	a living thing is a kind of object	nongold
48	low is similar to decrease	nongold
49	electrical energy is a kind of energy	nongold
50	heat is a kind of energy	nongold
51	a fuel is used to make energy	nongold
52	negative impact is the opposite of positive impact	nongold
53	An example of managing the use of something is using less of that something	nongold
54	green plants are a kind of producer	nongold
55	if something is powered by something else then that something requires a source of that something else	nongold
56	losing energy decreases the efficiency of an object; of a system	nongold
57	the function of something is what that something  is used to do	nongold
58	cheaper means lower in cost	nongold
59	if something with the same function as something else is being used then the use of that something else decreases	nongold
60	a device is a kind of object	nongold
61	lower means less	nongold
62	if an object is made of a material then that object has the properties of that material	nongold
63	cutting an object requires mechanical force	nongold
64	an animal is a kind of organism	nongold
65	grass is a rough surface	nongold
66	an organism requires energy for growth; repair	nongold
67	a plant is a kind of organism	nongold
68	as a system; a device grows old , that system; device will use more energy	nongold
69	increase means more	nongold
70	a vehicle is a kind of object	nongold
71	a person is a kind of animal	nongold
72	electricity causes less pollution than gasoline	nongold
73	heat means heat energy	nongold
74	a simple machine requires mechanical energy to function	nongold
75	instrument means device	nongold
76	an object; material; substance comes from that object or material's source	nongold
77	tool is similar to appliance	nongold
78	good means positive	nongold
79	an electric motor converts electrical energy into mechanical energy	nongold
80	cutting a material usually requires measuring length	nongold
81	food is a source of energy for animals; plants	nongold
82	an organism is a living thing	nongold
83	low is the opposite of high	nongold
84	electrical devices are used for industrial purposes; household purposes by humans	nongold
85	strong means high in strength	nongold
86	better means good	nongold
87	electricity means electrical energy	nongold
88	instrument means tool	nongold
89	a producer is a kind of living thing	nongold
90	a tool is a kind of object	nongold
91	to lower means to decrease	nongold
92	a producer is a source of energy for consumers	nongold
93	objects are made of materials; substances; matter	nongold
94	conductivity is a property of a material; substance	nongold
95	if something requires something else then that something requires a source of that something else	nongold
96	a material is a kind of resource	nongold
97	metal is a kind of material	nongold
98	solar energy is a kind of energy	nongold
99	friction converts mechanical energy into heat energy	nongold
