Question	A light-year is a measure of	question
Answer	distance.	answer
0	a light-year is used for describing long distances	nongold
1	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	gold
2	light year is a measure of the distance light travels in one year	nongold
3	astronomy is the study of celestial (objects, bodies)	nongold
4	a star is a kind of celestial object; celestial body	nongold
5	years are a kind of unit for measuring time	nongold
6	a planet is a kind of celestial object; body	nongold
7	astronomical unit is a measure of distance between Earth and the Sun	nongold
8	a galaxy is a kind of celestial body; celestial object	nongold
9	furthest; farthest means greatest; most; highest in distance	nongold
10	a galaxy is a kind of celestial body	nongold
11	the Sun is a kind of star	nongold
12	astronomical body means celestial body	nongold
13	measuring is used for describing an object	nongold
14	measuring is a kind of observing	nongold
15	a moon is a kind of celestial object; body	nongold
16	sunlight is a kind of light	nongold
17	a galaxy is made of stars	nongold
18	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
19	answering questions requires information	nongold
20	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
21	the sun is a kind of yellow dwarf	nongold
22	a galaxy is a kind of very large system of stars	nongold
23	Earth is a kind of planet	nongold
24	galaxies are located  millions of light years from Earth	nongold
25	stars are located light years apart from each other	nongold
26	a white dwarf is a kind of star	nongold
27	a planet is a kind of location	nongold
28	a measurement is a kind of data	nongold
29	astronomy is a kind of branch of science	nongold
30	to measure means to calculate	nongold
31	a galaxy contains dust; stars; planets	nongold
32	yellow dwarf is a kind of small star	nongold
33	high is similar to increase	nongold
34	far means great in distance	nongold
35	a planet's distance from the star causes the length of a planetary year	nongold
36	measuring requires reading a measurement	nongold
37	a yellow dwarf is a kind of main-sequence star	nongold
38	distance is a property of space and includes ordered values of close; far	nongold
39	meters;centimeters;kilometers are used to describe distance; describe length	nongold
40	distant means great in distance	nongold
41	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
42	length is a measure of distance from one end of an object to the other end of that object	nongold
43	property is similar to measurement	nongold
44	a measure of time is a length of time	nongold
45	a unit for measuring time is a kind of time interval	nongold
46	calculation means measurement	nongold
47	days are a kind of unit for measuring time	nongold
48	a hypothesis is a kind of scientific term	nongold
49	light is a kind of wave	nongold
50	can be means able to be	nongold
51	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
52	galaxies are usually thousands of light years in diameter	nongold
53	a galaxy is a kind of structure	nongold
54	a galaxy is made of a group of objects in space	nongold
55	determining often requires measuring; observing	nongold
56	far is the opposite of close	nongold
57	the Sun is the  star that is closest to Earth	nongold
58	brightness means amount of light	nongold
59	the sun is a source of light; light energy called sunlight	nongold
60	a particle is a kind of object	nongold
61	a source of something emits; produces; generates; provides that something	nongold
62	motion is when moves an object; something to a direction	nongold
63	an event is a kind of action	nongold
64	annual means once per year	nongold
65	a star produces light and heat	nongold
66	length of time means period of time	nongold
67	matter; materials; substances are made of atoms; particles	nongold
68	events occur at a specific place; at a specific time; with a specific frequency	nongold
69	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
70	the properties of something are used for describing that something	nongold
71	stars can be classified by temperature; color; chemical composition; brightness	nongold
72	to discover means to make a discovery	nongold
73	1 year is equal to 365 days	nongold
74	to a human a time period of 1000 years or more years is considered very long	nongold
75	a comet is a kind of celestial object	nongold
76	a  solution  is a kind of object	nongold
77	Neptune has the longest solar year; planetary year in the solar system	nongold
78	light is made of photons	nongold
79	affected means changed	nongold
80	a planet is a kind of place	nongold
81	an increase is a kind of change	nongold
82	distance moved; distance travelled is a measure of how far an object moves	nongold
83	distant means far away	nongold
84	a comet is a kind of celestial body	nongold
85	an animal is a kind of living thing	nongold
86	as the distance of a planet from the star  it orbits increases , the length of a planetary year on that planet will increase	nongold
87	classifying is when one sorts something by kind; type	nongold
88	sunlight is a kind of solar energy	nongold
89	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
90	observations; data are a part of the results of an experiment	nongold
91	the Moon is Earth's moon	nongold
92	main-sequences stars are a kind of star	nongold
93	period is similar to amount of time	nongold
94	the sun setting is a kind of event	nongold
95	knowing the properties of something means knowing information about that something	nongold
96	months are a kind of unit for measuring time	nongold
97	to tell the difference between things means to classify those things	nongold
98	yearly means every year	nongold
99	a meter is a kind of unit for measuring distance; measuring length	nongold
