Question	Which is the best example of a pure substance?	question
Answer	gold	answer
0	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
1	gold is a kind of metal	nongold
2	gold is a kind of solid	nongold
3	gold is a kind of element	gold
4	all elements are a kind of pure substance	gold
5	a kind of something is an example of that something	nongold
6	salt is a kind of pure substance	nongold
7	a pure substance is made of only one kind of atom; molecule	nongold
8	sugar is a kind of pure substance	nongold
9	silver is a kind of metal	nongold
10	gold is soft	nongold
11	metal is a kind of substance	nongold
12	a mineral is a kind of solid; natural material	nongold
13	diamond is a kind of mineral	nongold
14	gold is always nonmagnetic	nongold
15	gold can be used for making jewelry	nongold
16	mercury  is a kind of metal	nongold
17	substances are made of elements	nongold
18	sterling silver is a kind of metal	nongold
19	matter; materials; substances are made of atoms; particles	nongold
20	pure water is neutral; 7 in pH level	nongold
21	a liquid is a kind of substance	nongold
22	gold is located in group 11 on the periodic table	nongold
23	material means substance	nongold
24	substances have chemical properties	nongold
25	metal is a kind of material	nongold
26	metals are made of metal	nongold
27	a mineral is a kind of object	nongold
28	objects are made of materials; substances; matter	nongold
29	a solid is a kind of substance	nongold
30	nickel is a kind of metal	nongold
31	substances are made of matter	nongold
32	mercury is a kind of element	nongold
33	an element is a kind of  substance	nongold
34	An example of a chemical property is the elements a compound is made of	nongold
35	a metal is a kind of element	nongold
36	mercury is liquid at room temperature	nongold
37	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
38	Platinum is always magnetic	nongold
39	a coin is a kind of object	nongold
40	if an object is made of a material then that object has the properties of that material	nongold
41	a metal is usually a solid at room temperature	nongold
42	electronics contain gold	nongold
43	sterling silver is a kind of alloy	nongold
44	An example of a chemical property is how a material reacts chemically	nongold
45	a goldfish is a kind of fish	nongold
46	water is a kind of substance	nongold
47	an element is a kind of material	nongold
48	if a substance is made of one element , then the substance is called an element	nongold
49	zinc is a kind of metal	nongold
50	vein deposits of gold and silver are formed by igneous intrusion	nongold
51	Nevada produces more gold than any other state	nongold
52	silver is always nonmagnetic	nongold
53	water is a kind of compound	nongold
54	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
55	salt is a kind of solid	nongold
56	aluminum is a kind of matter	nongold
57	combining; mixing two substances chemically causes chemical reactions	nongold
58	materials are made of matter	nongold
59	a compound is a kind of substance	nongold
60	a compound is a kind of material	nongold
61	potassium is a kind of element	nongold
62	can be means able to be	nongold
63	carbon is a kind of element	nongold
64	a compound is made of two or more elements that have been chemically combined	nongold
65	best means most positive	nongold
66	a source of something emits; produces; generates; provides that something	nongold
67	silver nitrate is a kind of molecule	nongold
68	an atom is the smallest particle; unit that has the properties of an element	nongold
69	if something is made of something; a material then that something contains that something; that material	nongold
70	compound is a kind of chemical	nongold
71	greatest means largest; highest; most amount of something	nongold
72	antimony is a kind of metalloid	nongold
73	Mercury is a kind of planet	nongold
74	melting point can be used to identify a pure substance	nongold
75	a chemical compound is a kind of compound	nongold
76	an element is made of one kind of atoms	nongold
77	a solution is made of one substance dissolved in another substance	nongold
78	copper is a kind of metal	nongold
79	chemical compounds contain chemical bonds between atoms; between elements	nongold
80	calcium is a kind of element	nongold
81	silt is a kind of substance	nongold
82	zinc is a kind of mineral	nongold
83	a solution is formed by one substance being dissolved in another substance	nongold
84	concentration means amount	nongold
85	computers contain gold	nongold
86	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
87	substances are made of molecules	nongold
88	rock is made of minerals	nongold
89	argon is a kind of element	nongold
90	water is a kind of matter	nongold
91	a molecule is the smallest particle; unit that has the properties of a compound	nongold
92	high is similar to increase	nongold
93	copper is a kind of element	nongold
94	a compound can be chemically separated into the elements that it is made of	nongold
95	an element is not an alloy	nongold
96	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
97	a  solution  is a kind of object	nongold
98	rock is a kind of material	nongold
99	to be formed by is similar to being produced by	nongold
