Question	Which class of elements best conducts electricity?	question
Answer	metals	answer
0	metal is an  electrical; electrical energy conductor	gold
1	metal is a thermal; thermal energy conductor	nongold
2	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
3	electricity means electrical energy	nongold
4	best means most positive	gold
5	a metal is a kind of element	gold
6	an element is a kind of material	nongold
7	electricity is used as an energy source by electrical devices	nongold
8	metal is a kind of material	nongold
9	to belong to a class means to be a kind of something	gold
10	a thermal conductor is made of materials that conduct thermal energy	nongold
11	a source of something emits; produces; generates; provides that something	nongold
12	metals are made of metal	nongold
13	an  element is a kind of atom	nongold
14	substances are made of elements	nongold
15	conductivity is a property of a material; substance	nongold
16	to conduct is similar to to transfer	nongold
17	if something is powered by something else then that something requires a source of that something else	nongold
18	conductivity is a measure of how easily electricity travels through a material	nongold
19	iron is a kind of metal	nongold
20	steel is a kind of metal	nongold
21	metal is a kind of substance	nongold
22	an element is a kind of  substance	nongold
23	copper is a kind of element	nongold
24	wax is an electrical; electrical energy insulator	nongold
25	if something transfers something else then that something is a source of something else	nongold
26	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
27	copper is a kind of metal	nongold
28	a good conductor is a conductor	gold
29	sending electricity through a conductor causes electricity; electric current to flow through that conductor	nongold
30	an insulator is the opposite of a conductor	nongold
31	aluminum is a kind of metal	nongold
32	plastic is usually an electrical insulator	nongold
33	plastic is a kind of electrical insulator	nongold
34	water is an thermal; thermal energy conductor	nongold
35	tungsten is a kind of metal	nongold
36	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
37	aluminum is a kind of element	nongold
38	electrical energy is a kind of energy	nongold
39	electricity is made of moving charges; moving charged particles	nongold
40	classifying is when one sorts something by kind; type	nongold
41	better means good	nongold
42	a metal is usually a solid at room temperature	nongold
43	An electrical conductor is a vehicle for the flow of electricity	nongold
44	electromagnets can be powered by electricity	nongold
45	a source of heat can be used to heat something	nongold
46	a source of heat can be used to heat something	nongold
47	electricity sometimes is used for heating buildings; substances	nongold
48	an element is made of one kind of atoms	nongold
49	generating power is a kind of positive impact	nongold
50	an element is not an alloy	nongold
51	carbon is a kind of element	nongold
52	sodium is a kind of metal	nongold
53	wood is an thermal; thermal energy insulator	nongold
54	iron is a kind of element	nongold
55	an insulator is a kind of material	nongold
56	iron is a kind of solid	nongold
57	salt water is an electrical; electrical energy conductor	nongold
58	zinc is a kind of metal	nongold
59	wood is a thermal; thermal energy insulator	nongold
60	electrical current means electrical energy	nongold
61	objects are made of materials; substances; matter	nongold
62	a power plant converts chemical energy from energy source into electricity	nongold
63	conductivity is a kind of physical property	nongold
64	electric devices require electrical energy to function	nongold
65	natural gas is used for generating heat by burning in a furnace; in a stove	nongold
66	sodium is a kind of element	nongold
67	metals usually have greater; higher conductivity than nonmetals	nongold
68	all elements are a kind of pure substance	nongold
69	rubber is thermal;thermal energy insulator	nongold
70	chromium is a kind of metal	nongold
71	an electrical insulator slows; prevents the transfer of; flow of electricity	nongold
72	conducting is similar to exchanging	nongold
73	if an object is made of a material then that object has the properties of that material	nongold
74	copper is a kind of transition metal	nongold
75	a wire is a part of an electrical circuit for conducting electricity	nongold
76	conduction is a kind of process	nongold
77	metals are found on the left side of the periodic table of elements	nongold
78	classifying means grouping objects; materials by their properties	nongold
79	electrical devices are used for industrial purposes; household purposes by humans	nongold
80	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
81	an electromagnet contains a wire; cylindrical ferrous metal	nongold
82	a nonmetal is a kind of element	nongold
83	matter; materials; substances are made of atoms; particles	nongold
84	nuclear reactor generates electrical power	nongold
85	to be used for something means to be required by that something	nongold
86	nonmetal means not metal	nongold
87	heating coils are a kind of heating elements	nongold
88	to give off means to be the source of	nongold
89	electrocution causes harm to an organism	nongold
90	lead is a kind of element	nongold
91	a battery converts chemical energy into electrical energy for powering electrical devices	nongold
92	a burner is made of metal	nongold
93	if a substance is made of one element , then the substance is called an element	nongold
94	a stove is used for cooking by generating heat	nongold
95	an electromagnet is a kind of electric magnet	nongold
96	mercury is a kind of element	nongold
97	an incandescent light bulb converts electrical energy; electricity into light energy and heat energy by sending electricity through a filament	nongold
98	materials are made of matter	nongold
99	silver is a kind of metal	nongold
