Question	Which statement is true about the particles of a liquid compared to the particles of a gas?	question
Answer	Particles of a liquid are slower and closer together.	answer
0	particles in a liquid are slower than particles in a gas	gold
1	particles in a liquid are closer together than particles in a gas	gold
2	matter; materials; substances are made of atoms; particles	nongold
3	gas is a kind of substance	nongold
4	particles in a liquid are close to each other	nongold
5	particles in objects are a kind of matter	nongold
6	particles in a solid are closer together than particles in a liquid	nongold
7	particles in a solid are slower than particles in a liquid	nongold
8	a liquid is a kind of substance	nongold
9	substances are made of matter	nongold
10	gas is a kind of state of matter	nongold
11	gas is a kind of object	nongold
12	faster means an increase; higher in speed	nongold
13	to slow; to slow down decreases speed	nongold
14	a particle is a kind of object	nongold
15	objects are made of materials; substances; matter	nongold
16	closer means lower; less; a decrease in distance	nongold
17	a molecule is a kind of particle	nongold
18	liquid is a kind of state of matter	nongold
19	fast is the opposite of slow	nongold
20	materials are made of matter	nongold
21	atoms are made of particles	nongold
22	gas is a kind of material	nongold
23	far is the opposite of close	nongold
24	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
25	apart is the opposite of together	nongold
26	can be means able to be	nongold
27	faster means increased rate	nongold
28	break down is the opposite of put together	nongold
29	a container contains objects; material; substances	nongold
30	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
31	gaseous means of gas	nongold
32	speed is a property of an object and includes values of slow; fast	nongold
33	towards means closer to something	nongold
34	high is similar to increase	nongold
35	affected means changed	nongold
36	particles in a gas have more kinetic energy than particles in a liquid	nongold
37	as the temperature of a substance; of an object decreases , the molecules in that substance will move slower; closer	nongold
38	an increase is a kind of change	nongold
39	to add means to increase	nongold
40	a  gas is a kind of  element	nongold
41	to change means to become different	nongold
42	variable means able to change	nongold
43	matter is made of molecules	nongold
44	charged particles are a kind of high-energy particles	nongold
45	comparing requires measuring	nongold
46	mass; weight is a property of matter; objects; materials	nongold
47	temperature is a measure of heat energy	nongold
48	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
49	Matter in the gas phase has variable shape	nongold
50	an increase is the opposite of a decrease	nongold
51	form means kind	nongold
52	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
53	composed of means made of	nongold
54	heat means heat energy	nongold
55	solid is a kind of state of matter	nongold
56	Matter in the gas phase has variable volume	nongold
57	to convert means to change	nongold
58	definite is the opposite of variable	nongold
59	material means substance	nongold
60	water is a kind of matter	nongold
61	close means low in distance	nongold
62	together means in a group	nongold
63	causing means influencing	nongold
64	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
65	a decrease is a kind of change	nongold
66	Matter in the liquid phase has definite volume	nongold
67	vapor is synonymous with gas	nongold
68	atoms in a gas move independently of one another	nongold
69	a container is a kind of object	nongold
70	Matter in the liquid phase has variable shape	nongold
71	a molecule is a kind of object	nongold
72	less is similar to decrease	nongold
73	to be formed by is similar to being produced by	nongold
74	mass is a property of objects; matter	nongold
75	to change means to cause a change	nongold
76	heat is a kind of energy	nongold
77	near; close is the opposite of far; away	nongold
78	a liquid is a kind of fluid	nongold
79	low is similar to decrease	nongold
80	not is similar to the opposite of	nongold
81	if two objects are apart from each other then matter is between those two objects	nongold
82	heat energy can change the state of matter	nongold
83	a pure substance is made of only one kind of atom; molecule	nongold
84	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
85	mass is a measure of the amount of matter in an object	nongold
86	a source of something emits; produces; generates; provides that something	nongold
87	extreme means very high in value	nongold
88	counter means reduce; stop; resist	nongold
89	volume is a property of matter	nongold
90	phase means state	nongold
91	to turn means to change	nongold
92	near means close	nongold
93	made up of means contains; made of	nongold
94	composition is a property of an object; matter	nongold
95	to be made of something means to be formed of that something	nongold
96	being pushed together is similar to colliding	nongold
97	plasma is a kind of state of matter	nongold
98	gas is a kind of nonmetal	nongold
99	stay the same means not changing	nongold
