Question	Many products are made from trees. Which is the best way to manage the use of trees?	question
Answer	plant a tree each time one is cut down	answer
0	resource management means managing the use of resources	nongold
1	An example of managing; maintaining the number; the use of something is replacing that something	gold
2	An example of managing the use of something is using less of that something	nongold
3	a tree can be replaced by planting a new tree each time one is cut down	gold
4	cutting down a forest means cutting down the trees in that forest	nongold
5	a tree is a kind of plant	nongold
6	if a tree is cut down then that tree will die	nongold
7	a tree is a kind of living thing	nongold
8	planting trees is the opposite of cutting down trees	nongold
9	green plants are a kind of producer	nongold
10	timber companies cut down trees	nongold
11	roots are a part of a plant; tree	nongold
12	removing a forest means cutting down a forest	nongold
13	best means most positive	nongold
14	cutting down trees has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
15	many means high in number	nongold
16	a plant is a kind of living thing	nongold
17	removing a forest means cutting down the trees in that forest	nongold
18	materials are used for making products by manufacturers	nongold
19	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
20	an object; material; substance comes from that object or material's source	nongold
21	to be used for something means to be required by that something	nongold
22	a product is a kind of object	nongold
23	a producer is a kind of living thing	nongold
24	building usually requires cutting down trees	nongold
25	trees are a kind of natural resource	nongold
26	logging is when humans cut down trees; forests for wood	nongold
27	if a living thing is destroyed then the resources used by that living thing will become available	nongold
28	deforestation is the process of cutting down trees	nongold
29	trees are a renewable resource	nongold
30	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
31	a plant is a kind of organism	nongold
32	cutting down trees in a forest causes the number of trees to decrease in that forest	nongold
33	a leaf is a part of a  green plant	nongold
34	trees are a kind of resource	nongold
35	providing something means making;delivering something	nongold
36	products are formed; are produced; are created	nongold
37	destroying a forest means cutting down the trees in that forest	nongold
38	a forest contains  lots of plants; trees	nongold
39	managing the number of something is similar to replacing that something	nongold
40	better means good	nongold
41	a tree contains wood	nongold
42	wood is a kind of resource	nongold
43	a leaf is a part of a tree	nongold
44	wood is a renewable resource	nongold
45	clearing a forest means humans cutting down the trees	nongold
46	plants are a part of the environment	nongold
47	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
48	make means produce	nongold
49	plants are a kind of resource	nongold
50	to help; to benefit means to be of use	nongold
51	deforested area means an area where trees have been cut down	nongold
52	person is synonymous with human	nongold
53	good means positive	nongold
54	if something is required for a process then that something positively impacts that process	nongold
55	negative impact is the opposite of positive impact	nongold
56	making something requires resources	nongold
57	a plant; living thing requires nutrients to grow	nongold
58	a part of a process means a stage in a process	nongold
59	if something is a raw material in a process then that something is required for that process	nongold
60	if something is a raw material then that something comes directly from a source	nongold
61	processes sometimes produce waste products	nongold
62	production is similar to making	nongold
63	if something causes a process then that something is required for that process	nongold
64	a source of something emits; produces; generates; provides that something	nongold
65	if something comes from something else then that something else is a source of that something	nongold
66	if something is given off of something , then something is the product of something	nongold
67	if a living thing requires something then that something has a positive impact on that living thing	nongold
68	creating paper requires cutting down trees	nongold
69	the function of something is what that something  is used to do	nongold
70	solution is similar to a positive impact	nongold
71	producing is a kind of process	nongold
72	a type is synonymous with a kind	nongold
73	cutting means changing the object from a whole into smaller pieces	nongold
74	to produce means to provide	nongold
75	high-quality means positive	nongold
76	maintain is similar to control	nongold
77	high is similar to increase	nongold
78	where something  comes from is a source of that something	nongold
79	a forest is a kind of environment	nongold
80	harvesting is a kind of using	nongold
81	product means result	nongold
82	made of is similar to is built from	nongold
83	some species of tree are deciduous	nongold
84	a living thing is a kind of object	nongold
85	loss is similar to removal	nongold
86	answering questions requires information	nongold
87	a leaf is a kind of plant	nongold
88	usually means most of the time	nongold
89	being used for is similar to providing	nongold
90	In the food chain process a  green plant has the role of  producer	nongold
91	a plant requires soil for survival; to grow	nongold
92	producers pass materials they use through the food chain	nongold
93	creating wood-free paper does not require cutting down trees	nongold
94	replanting  a plant means replacing that plant	nongold
95	a producer produces its own food	nongold
96	a stem is often a part of plant	nongold
97	a plant; living thing requires food for survival	nongold
98	people can plant trees	nongold
99	low means down	nongold
