Question	Harmful ultraviolet rays from the Sun are primarily absorbed by	question
Answer	ozone.	answer
0	ozone absorbs harmful ultraviolet rays from the Sun	gold
1	ultraviolet rays means ultraviolet light	nongold
2	absorbing ultraviolet light by ozone cause the breakdown of ozone into oxygen	nongold
3	ultraviolet light is a kind of light	nongold
4	ultraviolet light is a kind of electromagnetic energy	nongold
5	sunlight contains ultraviolet light	nongold
6	sunlight is made of ultraviolet, infrared, and visible light	nongold
7	ultraviolet radiation is ionizing	nongold
8	ozone is located in stratosphere in the atmosphere	nongold
9	harming something has a  negative impact on; effect on that something	nongold
10	the sun is a source of radiation; heat called sunlight	nongold
11	absorbing something harmful has a negative impact on a thing	nongold
12	the sun is a source of light; light energy called sunlight	nongold
13	something harmful can cause harm	nongold
14	light is a kind of electromagnetic radiation	nongold
15	if something comes from something else then that something else is a source of that something	nongold
16	adverse effect means negative impact	nongold
17	an object; material; substance comes from that object or material's source	nongold
18	being exposed to the ultraviolet light has a negative  impact on living organisms	nongold
19	the sun is the source of solar energy called sunlight	nongold
20	ultraviolet light has very short wavelength	nongold
21	ozone molecules are a kind of substance	nongold
22	light rays means light	nongold
23	damage means harm	nongold
24	rays of the sun means sunlight	nongold
25	to give off means to be the source of	nongold
26	sunlight is a kind of light	nongold
27	sunlight contains infrared light	nongold
28	solar radiation means solar energy	nongold
29	if something absorbs something else then that something will contain that something else	nongold
30	sunlight is a kind of solar energy	nongold
31	something dangerous can cause harm	nongold
32	solar energy is a kind of light	nongold
33	negative impact is the opposite of positive impact	nongold
34	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
35	UV mean ultraviolet	nongold
36	if something transfers something else then that something is a source of something else	nongold
37	harm means danger	nongold
38	destroying something causes harm to that something	nongold
39	where something  comes from is a source of that something	nongold
40	electromagnetic radiation means electromagnetic energy	nongold
41	absorption is a kind of process	nongold
42	absorbance is when a wave absorbs at; stops at a surface	nongold
43	pollution has a negative impact on the environment; air quality; water quality; society	nongold
44	the sun is the source of energy for life on Earth	nongold
45	the Sun is a kind of star	nongold
46	ozone absorbing sunlight causes the temperature of stratosphere to increase with altitude	nongold
47	light is a kind of wave	nongold
48	if something releases something else then that something is the source of that something else	nongold
49	absorbing something from the air means removing that something from Earth's atmosphere	nongold
50	gas is a kind of substance	nongold
51	to be a source of something means to cause that something	nongold
52	light means light energy	nongold
53	a source of something emits; produces; generates; provides that something	nongold
54	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
55	visible light is a kind of  light	nongold
56	visible light is a part of the electromagnetic spectrum	nongold
57	light is a kind of energy	nongold
58	light is a kind of energy	nongold
59	protecting something means preventing harm to that something	nongold
60	absorption is a kind of event	nongold
61	decreasing something negative has a positive impact on a thing	nongold
62	receiving sunlight  is synonymous with absorbing sunlight	nongold
63	if something transfers energy to something else then that something else absorbs that energy	nongold
64	emit means produce	nongold
65	ultraviolet light causes sunburn	nongold
66	to emit means to release	nongold
67	emit means send out	nongold
68	if something is a source of something else then that something usually contains that something else	nongold
69	gas is a kind of material	nongold
70	burning a living thing usually causes harm to that living thing	nongold
71	to hurt means to harm	nongold
72	damage has a negative impact on a thing	nongold
73	to provide something means to be the source of that something	nongold
74	if something requires something else then that something requires a source of that something else	nongold
75	if something is a raw material then that something comes directly from a source	nongold
76	to absorb means to capture	nongold
77	the sun  is the source of energy for physical cycles on Earth	nongold
78	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
79	decreasing something positive has a negative impact on a thing	nongold
80	if something gains something from something else then that something else is a source of that something	nongold
81	absorbing something from the air decreases the  amount of  that something in the air	nongold
82	Earth is a kind of planet	nongold
83	radiation is a kind of process	nongold
84	solar energy is a kind of energy	nongold
85	if an object is blue , then that object absorbs all the lights except blue light	nongold
86	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
87	a negative impact is a kind of consequence; risk	nongold
88	absorbing is a kind of function	nongold
89	a positive impact is  a benefit	nongold
90	impact means effect	nongold
91	radiation is when electromagnetic waves transfers heat and light energy	nongold
92	if something is made of something; a material then that something contains that something; that material	nongold
93	ionizing radiation is a kind of electromagnetic wave	nongold
94	to be used for something means to be required by that something	nongold
95	light is made of photons	nongold
96	killing means harming something causing death	nongold
97	danger has a negative impact on a thing	nongold
98	mostly means being the most	nongold
99	infrared wave is a kind of  electromagnetic wave	nongold
