Question	Which element makes up most of the air we breathe.	question
Answer	nitrogen	answer
0	nitrogen is a kind of element	gold
1	nitrogen is a kind of gas	nongold
2	the Earth's atmosphere is made of 78 percent nitrogen by mass	gold
3	most means over 50% of something	gold
4	made up of means contains; made of	nongold
5	oxygen  is a kind of element	nongold
6	the parts of something make up that something	nongold
7	oxygen gas is made of only  oxygen element	nongold
8	an  element is a kind of atom	nongold
9	an element is made of one kind of atoms	nongold
10	hydrogen is a kind of element	nongold
11	carbon is a kind of element	nongold
12	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
13	nitrogen is a kind of nutrient for plant growth	nongold
14	ammonia is made of nitrogen and hydrogen	nongold
15	an element is a kind of  substance	nongold
16	a  gas is a kind of  element	nongold
17	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
18	atmosphere means  air	gold
19	substances are made of elements	nongold
20	an atom is the smallest particle; unit that has the properties of an element	nongold
21	if a substance is made of one element , then the substance is called an element	nongold
22	nitrogen as an elemental gas is more stable than nitrogen compounds	nongold
23	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
24	to be made of means to consist of	nongold
25	all elements are a kind of pure substance	nongold
26	an animal; bacterium requires oxygen for survival; to breathe	nongold
27	usually means most of the time	nongold
28	air is a kind of gas	nongold
29	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
30	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
31	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
32	made of is similar to contains	nongold
33	chlorine is a kind of element	nongold
34	oxygen is more common than hydrogen on Earth	nongold
35	all the other means the rest of	nongold
36	nitrogen fixation is when nitrogen becomes fixed by bacteria in the soil	nongold
37	hydrogen is a kind of gas at room temperature	nongold
38	carbon dioxide is a kind of gas	nongold
39	to breathe in means to absorb air	nongold
40	denitrification is when nitrogen becomes part of the lithosphere	nongold
41	water is made of hydrogen and oxygen	nongold
42	breathing is when animals convert oxygen into carbon dioxide	nongold
43	N means nitrogen	nongold
44	an element is a kind of material	nongold
45	oxygen is a kind of gas at room temperature	nongold
46	composed of means made of	nongold
47	the atmosphere contains gases; liquids; solids	nongold
48	a compound can be chemically separated into the elements that it is made of	nongold
49	breathing  is when a lung converts from oxygen in air into oxygen in blood	nongold
50	the waste of an animal contains nitrogen	nongold
51	breathing is a kind of process	nongold
52	breathing out is when animals exhale carbon dioxide from their lungs into the air	nongold
53	air is a kind of matter	nongold
54	the nitrogen cycle is a cyclical process, with stages of nitrogen fixation, nitrification, assimilation, ammonification, denitrification	nongold
55	largest amount means most	nongold
56	gaseous means of gas	nongold
57	legumes contain nitrogen	nongold
58	an object is made of its parts	nongold
59	atom cannot be divided into smaller substances	nongold
60	a compound is made of two or more elements that have been chemically combined	nongold
61	liquid; solid means nongaseous	nongold
62	hydrogen contains chemical energy	nongold
63	An example of a chemical property is the elements a compound is made of	nongold
64	an atom is a kind of object	nongold
65	substances are made of matter	nongold
66	carbon dioxide can be found in the air	nongold
67	a source of something emits; produces; generates; provides that something	nongold
68	the air is a kind of substance	nongold
69	the basic unit of matter is atom	nongold
70	ammonia is a kind of base	nongold
71	carbon monoxide is a kind of gas	nongold
72	sulfur is a kind of element	nongold
73	elements in noble gases family are gases at room temperature	nongold
74	elements in nitrogen family have five; 5 valence electrons	nongold
75	atmospheric means of the atmosphere	nongold
76	greatest means largest; highest; most amount of something	nongold
77	gas is a kind of substance	nongold
78	a component means a part of	nongold
79	breath contains water vapor	nongold
80	a metal is a kind of element	nongold
81	combustion is a kind of chemical change	nongold
82	to exhale means to release	nongold
83	a component of something means a part of that something	nongold
84	vapor is synonymous with gas	nongold
85	exhaling  is when an animal expels air from the lungs	nongold
86	quantity means amount	nongold
87	plants are a source of oxygen through photosynthesis	nongold
88	emit means produce	nongold
89	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
90	to be formed by is similar to being produced by	nongold
91	material means substance	nongold
92	make means produce	nongold
93	a halogen is a kind of element	nongold
94	a nonmetal is a kind of element	nongold
95	guanine is a kind of nitrogenous base in DNA; RNA	nongold
96	denser means more dense	nongold
97	unit is similar to part	nongold
98	state means form	nongold
99	an alkaline earth metal is a kind of element	nongold
