Question	Some birds build nests in the spring. This nest building is a seasonal adaptation that occurs to help the birds	question
Answer	protect their young	answer
0	nest building is a kind of adaptation	gold
1	birds build nests in the spring	gold
2	protecting a living thing has a  positive impact on that living thing's survival; health	gold
3	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
4	a nest is used for protecting young by birds	gold
5	to protect means to defend	nongold
6	to help; to benefit means to be of use	nongold
7	nest building is a kind of behavior	nongold
8	spring is a kind of season	gold
9	protecting something means preventing harm to that something	nongold
10	helping something has a  positive impact on that something	gold
11	a nest is a kind of shelter for birds	nongold
12	helping means to assist in a change	nongold
13	a bird is a kind of living thing	nongold
14	to protect means to make safe	nongold
15	to be used  for something means to help to do that something	nongold
16	to help means to aid	nongold
17	construction means building	nongold
18	a bird is a kind of animal	nongold
19	adaptations are used for survival	nongold
20	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
21	shelter is a kind of place;building;structure for protection	nongold
22	an animal is a kind of living thing	nongold
23	an adaptation is a kind of characteristic	nongold
24	requiring is similar to needing help	nongold
25	some birds are predators	nongold
26	protecting is a kind of function	nongold
27	spring follows winter	nongold
28	annual means once per year	nongold
29	summer is a kind of season	nongold
30	to enable is to help	nongold
31	a spring is a kind of object	nongold
32	adapting is when a living thing responds to a change in an environment	nongold
33	an adaptation is an adaptive feature	nongold
34	an adaptation is a kind of change	nongold
35	each season occurs once per year	nongold
36	winter is a kind of season	nongold
37	a living thing is a kind of object	nongold
38	an animal is a kind of organism	nongold
39	yearly means every year	nongold
40	harming something has a  negative impact on; effect on that something	nongold
41	to happen means to occur	nongold
42	summer follows spring	nongold
43	An example of an inherited behavior is a bird building a nest	nongold
44	Physical adaptation; structural adaptation is a physical  change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
45	a home is a kind of building	nongold
46	spring increases the amount of available food in an environment	nongold
47	adaptation is when an organism develops a trait over time for survival	nongold
48	every summer  is a kind of period of time	nongold
49	spring has warm temperatures; weather	nongold
50	Autumn is a kind of season	nongold
51	if a living thing requires something then that something has a positive impact on that living thing	nongold
52	answering questions requires information	nongold
53	a house is a kind of building	nongold
54	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
55	an organism is a living thing	nongold
56	a nest is a kind of resource for a bird	nongold
57	An example of an adaptation for flight in birds is feathers; wings; hollow bones	nongold
58	shelter can protect animals;humans from weather	nongold
59	something hard; something strong can be used for protection	nongold
60	different seasons occur during different times of the year	nongold
61	young means immature	nongold
62	seasonal changes are made in response to changes in the environment	nongold
63	Behavioral adaptation is a behavioral change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
64	children; young is synonymous with offspring	nongold
65	to depend on; to rely on; to need means to require	nongold
66	shelter building is an inherited characteristic	nongold
67	good means positive	nongold
68	high is similar to increase	nongold
69	animals adapt to their environment	nongold
70	help means advantage	nongold
71	an animal requires shelter	nongold
72	An example of a seasonal change; adaptation is plants dying;  becoming dormant in the winter	nongold
73	to make something easier means to help	nongold
74	a part of a living thing is a natural structure	nongold
75	winter is a part of the year	nongold
76	killing means harming something causing death	nongold
77	adapt is similar to evolve	nongold
78	best means most positive	nongold
79	a structure of something is synonymous with a part of that something	nongold
80	to hurt means to harm	nongold
81	negative impact is the opposite of positive impact	nongold
82	a hatchling is a kind of newborn; baby; young bird	nongold
83	seasons cause change to the environment	nongold
84	protection means resistance to damage increases	nongold
85	shelter is used for protection by animals against weather	nongold
86	a nest is made of branches	nongold
87	reproductive behavior is an inherited characteristic	nongold
88	winter is the opposite of summer	nongold
89	a chick is a kind of young; baby chicken	nongold
90	increase means more	nongold
91	fall is a kind of season	nongold
92	better means good	nongold
93	winter follows fall	nongold
94	a structure is a kind of feature	nongold
95	protecting nature has a positive impact on the environment	nongold
96	structure is a property of an object; a material; a substance	nongold
97	covering something is a kind of protection	nongold
98	migration is a kind of adaptation	nongold
99	fall follows summer	nongold
