Question	Mounds and ridges in the Snake Range area of Nevada are composed of boulders, sand, and gravel. These landforms were most likely formed by	question
Answer	melting glaciers.	answer
0	boulders; sand; gravel are formed by glaciers melting sometimes	gold
1	a boulder is a kind of rock	nongold
2	a mound is a kind of landform	gold
3	a boulder is a kind of large rock	nongold
4	the Sierra Nevada is a kind of mountain range	nongold
5	a ridge is a kind of landform	gold
6	sand is made of very small rocks; minerals	nongold
7	sometimes piles of rock are formed by  melting glaciers depositing rocks	nongold
8	to be made of something means to be formed of that something	nongold
9	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
10	a landform is a kind of object	gold
11	a landform is a kind of natural formation	nongold
12	sand  is a kind of substance	nongold
13	composed of means made of	gold
14	to cause the formation of means to form	nongold
15	a glacier is a kind of body of water	nongold
16	piles of rock are a kind of landform	nongold
17	a snake is a kind of animal	nongold
18	sand is similar to soil	nongold
19	landform means surface feature; physical feature; land feature	nongold
20	sand  is a kind of solid	nongold
21	Nevada is a state located in the United States of America	nongold
22	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
23	a landform is a kind of place	nongold
24	a landform is a kind of place	nongold
25	sand  is a kind of material	nongold
26	to be made of means to consist of	nongold
27	sand is made of small particles	nongold
28	a structure of something is synonymous with a part of that something	nongold
29	if an object is made of something then the parts of that object are made of that something	gold
30	sediment is formed by weathering	nongold
31	land is a kind of landform	nongold
32	a rock is a kind of object	nongold
33	gravel particles are bigger in size than sand particles	nongold
34	a land mass is a kind of object	nongold
35	to form means to create	nongold
36	an object is made of its parts	gold
37	rock means stone	nongold
38	pile is a kind of motion	nongold
39	soil contains water; humus; weathered rocks; organic matter	nongold
40	to make means to form	gold
41	objects are made of materials; substances; matter	nongold
42	to be formed by is similar to being produced by	nongold
43	a glacier is made of ice	nongold
44	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
45	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
46	soil is formed by weathering	nongold
47	Nevada produces more gold than any other state	nongold
48	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
49	weathering; erosion usually occurs over a period of many years	nongold
50	sediment is formed from rock	nongold
51	to change into means to form	nongold
52	panda is a kind of animal	nongold
53	gravel is a rough surface	nongold
54	a mountain is a kind of landform	nongold
55	sand dunes; arches are formed by the wind transporting and depositing sand	nongold
56	a glacier is made of a large buildup of ice; snow	nongold
57	a whole is formed by its parts	nongold
58	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
59	sinkholes; caves are formed by precipitation; infiltration	nongold
60	a glacier causes mechanical weathering	nongold
61	if something is made of something else then the formation of that something requires that something else	nongold
62	Earth is made of rock	nongold
63	class is a measure of how a rock is formed	nongold
64	glaciers are a kind of major reservoir for fresh water	nongold
65	different classes of rocks are formed by different methods	nongold
66	state means form	nongold
67	soil is formed by rocks eroding	nongold
68	a mountain is made of rocks; soil	nongold
69	made up of means contains; made of	nongold
70	rock is a kind of material	nongold
71	a sand dune is a kind of land formation	nongold
72	if rocks in an area have many scratches then that area was once covered by glaciers	nongold
73	sediment is similar to soil	nongold
74	often is similar to likely	nongold
75	sediment is a kind of matter	nongold
76	if something is made of something else then that something can be broken down into that something else	nongold
77	the climate in Nevada is low in humidity	nongold
78	a volcano is a kind of landform	nongold
79	the parts of something make up that something	nongold
80	melting is a kind of phase change	nongold
81	to be formed means to be originated	nongold
82	if an object breaks off of another object then that object is formed from the same materials as that other object	nongold
83	a mountain; mountain range is a kind of environment	nongold
84	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
85	composition means the (materials, substances) of which something is composed	nongold
86	sand has a rough surface	nongold
87	a surface is a part of an object	nongold
88	sometimes weathering smooths; rounds rocks	nongold
89	some deep lakes; bowl-shaped lakes are formed by glaciers	nongold
90	made of is similar to is built from	nongold
91	sand  is a kind of mixture	nongold
92	to be formed by is to be the result of	nongold
93	form means kind	nongold
94	bedrock is a kind of rock	nongold
95	breaking down is a kind of forming	nongold
96	sedimentary rocks are formed by deposition; cementation	nongold
97	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
98	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
99	a piece of something is a kind of object	nongold
