Question	What form of energy is stored in a battery?	question
Answer	chemical	answer
0	storing energy in batteries means charging batteries	nongold
1	a battery contains chemical energy	gold
2	a battery is a source of electrical energy; electricity	nongold
3	a battery converts chemical energy into electrical energy for powering electrical devices	nongold
4	form means kind	gold
5	carbohydrates store chemical energy	nongold
6	charging a battery is when energy is converted into potential energy in the battery to store the energy	nongold
7	batteries convert chemical energy to electrical energy	nongold
8	if something converts one kind of energy into other kinds of energy then that something originally stores that energy as the first kind of energy	nongold
9	state means form	nongold
10	chemical energy is a kind of energy	gold
11	objects contain chemical energy	nongold
12	a battery is a kind of object	nongold
13	cellular energy is a kind of chemical energy	nongold
14	a  battery  is a kind of electrical power source	nongold
15	photosynthesis stores; captures energy	nongold
16	hydrogen contains chemical energy	nongold
17	food is a kind of chemical energy	nongold
18	carbohydrates are used for storing;transporting energy	nongold
19	electrical energy is a kind of energy	nongold
20	carbohydrates are a vehicle for storing;transporting energy	nongold
21	fossil fuel contains chemical energy	nongold
22	fuel contains chemical energy	nongold
23	light is a kind of energy	nongold
24	light is a kind of energy	nongold
25	electricity means electrical energy	nongold
26	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
27	to store means to hold	nongold
28	if something is a part of something else then that something else contains that something	nongold
29	substances contain chemical bond energy	nongold
30	if something is made of something; a material then that something contains that something; that material	nongold
31	a battery-operated device is a kind of electrical device	nongold
32	to be made of something means to be formed of that something	nongold
33	chemical energy is a kind of potential energy	nongold
34	battery-powered is similar to battery-operated	nongold
35	chemicals means substances	nongold
36	a source of something emits; produces; generates; provides that something	nongold
37	substances have chemical properties	nongold
38	the bonds of chemical compounds contain chemical energy	nongold
39	solar energy is a kind of energy	nongold
40	to change into means to form	nongold
41	made up of means contains; made of	nongold
42	gasoline is a source of chemical energy	nongold
43	a device is a kind of object	nongold
44	if something is a source of something else then that something usually contains that something else	nongold
45	if something transfers something else then that something is a source of something else	nongold
46	contain is similar to store	gold
47	compound is a kind of chemical	nongold
48	can be means able to be	nongold
49	heat is a kind of energy	nongold
50	chemical compounds contain chemical bonds between atoms; between elements	nongold
51	matter; energy is always conserved in any physical or chemical process	nongold
52	metal is an  electrical; electrical energy conductor	nongold
53	if something is a part of something then that something can be found in that something	nongold
54	chemical reactions cause new substances; different substances to form	nongold
55	substances are made of molecules	nongold
56	where something  comes from is a source of that something	nongold
57	acid can cause chemical change	nongold
58	chemical reactions cause chemical change	nongold
59	different substances usually have different amount of chemical energy	nongold
60	to form means to create	nongold
61	composed of means made of	nongold
62	batteries can be used to power electrical devices	nongold
63	substances are made of matter	nongold
64	if something is powered by something else then that something requires a source of that something else	nongold
65	carbon is a kind of element	nongold
66	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
67	to create means to make	nongold
68	electricity is used as an energy source by electrical devices	nongold
69	a  chemical property is a kind of  property	nongold
70	to convert means to change	nongold
71	matter; materials; substances are made of atoms; particles	nongold
72	to produce means to create	nongold
73	combustion means fire converts chemical energy into light energy and heat energy	nongold
74	materials are made of matter	nongold
75	answering questions requires information	nongold
76	a molecule is made of atoms chemically combined; bonded	nongold
77	to generate means to form	nongold
78	if something is in something , then something is exposed to something	nongold
79	forming is similar to converting	nongold
80	a compound can be chemically separated into the elements that it is made of	nongold
81	exergonic chemical reactions only release energy	nongold
82	combustibility is a kind of  chemical property	nongold
83	light means light energy	nongold
84	a chemical compound is a kind of compound	nongold
85	microbial fuel cells convert chemical energy into electrical energy	nongold
86	a generator is a kind of  device	nongold
87	An example of a chemical change is electrical energy breaking down a compound	nongold
88	converting is similar to producing	nongold
89	objects are made of materials; substances; matter	nongold
90	to conserve means to not change	nongold
91	emit means produce	nongold
92	keeping is similar to storing	nongold
93	to make means to form	nongold
94	all elements are a kind of pure substance	nongold
95	chlorine is a kind of element	nongold
96	a component of something means a part of that something	nongold
97	a component means a part of	nongold
98	chemical weathering is a kind of weathering	nongold
99	to generate means to create	nongold
